
[00:00:00.000 --> 00:00:06.200]  我想任何人都想不到
[00:00:06.200 --> 00:00:08.880]  一個小小的病毒
[00:00:08.880 --> 00:00:16.120]  可以引起我們日常的生活不日常
[00:00:16.120 --> 00:00:20.160]  有很多的轉變、有很多的適應
[00:00:20.160 --> 00:00:23.200]  但是感謝主我們足之於可以回來
[00:00:23.200 --> 00:00:27.920]  盡量在家裏面一齊去實體的敬拜
[00:00:27.920 --> 00:00:31.720]  經過了差不多四個月了
[00:00:31.720 --> 00:00:35.920]  我們往常的崇拜
[00:00:35.920 --> 00:00:39.880]  我想你有很多複雜的心情
[00:00:39.880 --> 00:00:42.680]  有很多的適應
[00:00:42.680 --> 00:00:46.800]  求主讓我們回來的時候
[00:00:46.800 --> 00:00:52.080]  我們都有主的恩典來適應我們回來
[00:00:52.080 --> 00:00:59.160]  各種的防疫的措施、一些的安排
[00:00:59.160 --> 00:01:01.600]  我相信上帝的恩典夠用的
[00:01:01.600 --> 00:01:04.880]  所以我們要懷著一個信心
[00:01:04.880 --> 00:01:09.640]  一個彼此來忍耐的心
[00:01:09.640 --> 00:01:13.600]  來參與教會的聚會
[00:01:13.600 --> 00:01:17.120]  因為陸陸續續會有團契、會有諸學那些
[00:01:17.120 --> 00:01:22.320]  所以我們要去適應 求主幫助我們
[00:01:22.320 --> 00:01:26.520]  我們再一次低頭祈禱
[00:01:26.520 --> 00:01:30.360]  上帝的而且確地
[00:01:30.360 --> 00:01:32.720]  我們很歡喜快樂
[00:01:32.720 --> 00:01:36.320]  回到主的聖殿裏面敬拜
[00:01:36.320 --> 00:01:43.520]  因為這就是祢創造我們的目的
[00:01:43.520 --> 00:01:46.720]  要永遠祢尊崇祢
[00:01:46.720 --> 00:01:54.480]  主啊 求祢將一個學武的心放在我們裏面
[00:01:54.480 --> 00:01:58.080]  我們渴望敬拜祢 尊崇祢
[00:01:58.080 --> 00:02:05.520]  渴望祢的話語幫助我們來生活
[00:02:05.520 --> 00:02:08.720]  懇求聖靈在這段時間
[00:02:08.720 --> 00:02:14.040]  來幫助我們進入自己的話語裏面
[00:02:14.040 --> 00:02:18.880]  讓我們明白 讓祢光照我們
[00:02:18.880 --> 00:02:22.520]  我們禱告 奉耶穌基督的聖名祈求
[00:02:22.520 --> 00:02:24.520]  阿們
[00:02:24.520 --> 00:02:40.120]  我相信我們每一個人都可以選擇我們的生活
[00:02:40.120 --> 00:02:45.240]  但是同時間我們要了解和明白
[00:02:45.240 --> 00:02:50.880]  我們要承擔我們所選擇的
[00:02:50.880 --> 00:02:58.640]  在2005年日本名人天皇的獨女
