
[00:00:00.000 --> 00:00:02.500]  港島也有很大壓力
[00:00:02.500 --> 00:00:03.700]  有什麼壓力呢?
[00:00:03.700 --> 00:00:07.100]  港島預備了很多時間
[00:00:07.100 --> 00:00:09.400]  一分鐘就預備一小時
[00:00:09.400 --> 00:00:10.900]  所以預備三十個小時
[00:00:10.900 --> 00:00:13.700]  預備了很長時間之後
[00:00:13.700 --> 00:00:15.700]  在十月十五日一個颱風
[00:00:15.700 --> 00:00:17.200]  不預計會來
[00:00:17.200 --> 00:00:18.300]  就不用我說
[00:00:18.300 --> 00:00:19.900]  多大壓力啊
[00:00:19.900 --> 00:00:22.100]  當日很不開心
[00:00:22.100 --> 00:00:24.500]  但是八點鐘回來教會開會
[00:00:24.500 --> 00:00:25.400]  是早上
[00:00:25.400 --> 00:00:26.800]  回來
[00:00:26.800 --> 00:00:28.800]  看著空空的禮堂
[00:00:29.300 --> 00:00:32.500]  看見有幾個在這裏住的街坊走上來
[00:00:32.500 --> 00:00:33.600]  今天沒有崇拜嗎?
[00:00:33.600 --> 00:00:36.400]  開心心地來
[00:00:36.400 --> 00:00:38.200]  悠悠愁愁地上樓
[00:00:38.200 --> 00:00:39.900]  所以今天
[00:00:39.900 --> 00:00:41.200]  我講兩篇道
[00:00:41.200 --> 00:00:43.400]  我真的很大壓力
[00:00:43.400 --> 00:00:44.500]  一小時後
[00:00:44.500 --> 00:00:46.500]  幹事就提醒我
[00:00:46.500 --> 00:00:49.200]  講兩篇道
[00:00:49.200 --> 00:00:51.700]  這篇道就是十五號那篇
[00:00:51.700 --> 00:00:53.700]  我希望用五分鐘
[00:00:53.700 --> 00:00:55.300]  講了它
[00:00:55.300 --> 00:00:57.900]  這個特定誠意
[00:00:57.900 --> 00:00:59.800]  原來這個誠意
[00:00:59.800 --> 00:01:03.300]  是藉著約書亞一個很特別的設計
[00:01:03.300 --> 00:01:06.000]  藉著摩西約書亞一個很特別的設計
[00:01:06.000 --> 00:01:08.300]  在二十章
[00:01:08.300 --> 00:01:10.600]  在一段裏面
[00:01:10.600 --> 00:01:12.400]  可以下了
[00:01:12.400 --> 00:01:15.600]  是跟約書亞說
[00:01:15.600 --> 00:01:17.900]  你吩咐以色列人要自己藉著摩西吩咐
[00:01:17.900 --> 00:01:19.500]  為自己設立屠城
[00:01:19.500 --> 00:01:22.400]  屠城的意思是什麼呢?
[00:01:22.400 --> 00:01:23.500]  就是避難
[00:01:23.500 --> 00:01:26.300]  有些人犯了誤殺
[00:01:26.700 --> 00:01:28.100]  就可以走入這個城
[00:01:28.100 --> 00:01:31.700]  這個城就是在不同的
[00:01:31.700 --> 00:01:33.800]  支派裏面他們的地方
[00:01:33.800 --> 00:01:35.100]  要
[00:01:35.100 --> 00:01:36.100]  歸出來
[00:01:36.100 --> 00:01:38.800]  給神設立這個屠城
[00:01:38.800 --> 00:01:40.600]  在河東有三個
[00:01:40.600 --> 00:01:41.800]  河西又有三個
[00:01:41.800 --> 00:01:45.000]  在六個城裏面
[00:01:45.000 --> 00:01:46.300]  每個差不多
[00:01:46.300 --> 00:01:48.300]  都有他們的地方
[00:01:48.300 --> 00:01:50.100]  就不可以說這個城不行
[00:01:50.100 --> 00:01:52.200]  不可以在那裏來的
[00:01:52.200 --> 00:01:53.900]  都是殺人犯
[00:01:53.900 --> 00:01:54.700]  不可以
[00:01:54.700 --> 00:01:55.200]  不喜歡
