
[00:00:00.000 --> 00:00:06.120]  崇拜的弟兄姊妹,會記得聖經的主題是天國
[00:00:06.120 --> 00:00:08.980]  如果你聽到有些人有不同的意見
[00:00:08.980 --> 00:00:13.180]  尤其是舊約和新約有不同的主題的話
[00:00:13.180 --> 00:00:17.360]  你要自己從聖經的說話去思考一下
[00:00:17.360 --> 00:00:21.120]  是不是可以同意呢?
[00:00:21.120 --> 00:00:24.700]  天國和我們所生活的世界
[00:00:24.700 --> 00:00:27.420]  其實都是上帝創造的
[00:00:27.420 --> 00:00:30.160]  天國的王是耶穌基督
[00:00:30.160 --> 00:00:31.880]  上帝要創造人
[00:00:31.880 --> 00:00:34.280]  是因為祂想在天國裏面
[00:00:34.280 --> 00:00:37.340]  有一群對上帝忠心的人
[00:00:37.340 --> 00:00:41.000]  和祂一起去享受永恆
[00:00:41.000 --> 00:00:45.000]  在舊約裏面時常提到一句說話
[00:00:45.000 --> 00:00:52.960]  「我要與你們同在,作你們的上帝,你們要作我的子民」
[00:00:52.960 --> 00:00:56.240]  到聖經最後一卷書《啟示錄》
[00:00:56.240 --> 00:00:58.920]  結束之前亦都說
[00:00:58.920 --> 00:01:02.080]  我聽見有大聲音從寶座出來說
[00:01:02.080 --> 00:01:11.740]  「可那上帝的帳幕在人間,祂要與人同住,他們要作祂的子民」
[00:01:11.740 --> 00:01:18.880]  上帝要親自與他們同在,作他們的上帝
[00:01:18.880 --> 00:01:26.320]  馬可福音一開始就說主耶穌來傳道時說「天國近了」
[00:01:26.320 --> 00:01:28.920]  今天我們看馬可福音最後一章
[00:01:28.920 --> 00:01:33.520]  我們要問天國來了沒有呢?
[00:01:33.520 --> 00:01:35.640]  開始了沒有呢?
[00:01:35.640 --> 00:01:38.600]  我們會先思想今天的經文
[00:01:38.600 --> 00:01:42.160]  然後回答天國來了沒有的問題
[00:01:42.160 --> 00:01:47.000]  今天的經文主要是記載耶穌的埋葬和復活
[00:01:47.000 --> 00:01:49.600]  但我想先稍為溫習一下
[00:01:49.600 --> 00:01:55.840]  上星期梁牧師與我們思想過主耶穌被釘十字架的痛苦
[00:01:55.840 --> 00:01:59.800]  包括心靈和肉體的痛苦
[00:01:59.800 --> 00:02:04.800]  我特別留意到梁牧師解釋十五章三十四節
[00:02:04.800 --> 00:02:11.520]  主耶穌在十字架上說
[00:02:11.520 --> 00:02:16.400]  「我的上帝,我的上帝,祢為什麼離棄我?」
[00:02:16.400 --> 00:02:22.080]  梁牧師說這是表達耶穌心靈的痛苦
[00:02:22.080 --> 00:02:25.680]  但由於時間關係梁牧師沒有詳細解釋
[00:02:25.680 --> 00:02:30.920]  而我自己也聽過不少神學家和資深牧師
[00:02:30.920 --> 00:02:36.440]  都很喜歡按字面來解釋
[00:02:36.440 --> 00:02:40.160]  認為上帝真的離開了耶穌
[00:02:40.160 --> 00:02:47.040]  所以耶穌才會問「我的上帝,我的上帝,祢為什麼離棄我?」
[00:02:47.040 --> 00:02:54.400]  聖經沒有記載上帝回答主耶穌這個問題
[00:02:54.400 --> 00:02:59.560]  於是很多神學家和牧師就想了一個理由來解釋
[00:02:59.560 --> 00:03:02.880]  上帝為什麼會離開耶穌呢?
[00:03:02.880 --> 00:03:07.080]  他們的結論是上帝要離開耶穌
