
[00:00:00.000 --> 00:00:02.820]  各位靈子慧平安
[00:00:02.820 --> 00:00:07.000]  我們這段時間思想的是聖經的希伯來書
[00:00:07.000 --> 00:00:10.460]  亦不斷勉勵我們信靠神
[00:00:10.460 --> 00:00:12.880]  而且不單只是今天相信
[00:00:12.880 --> 00:00:16.060]  而是一直信靠主到底
[00:00:16.060 --> 00:00:18.300]  我們都很願意在這段日子
[00:00:18.300 --> 00:00:20.300]  常常勉勵我們的信心
[00:00:20.300 --> 00:00:23.340]  一直很堅定地信靠主
[00:00:23.340 --> 00:00:25.200]  大家再和我一起再祈禱
[00:00:25.200 --> 00:00:27.200]  我們仰望主帶領我們
[00:00:30.980 --> 00:00:32.980]  因主我們感謝祢
[00:00:32.980 --> 00:00:36.240]  因為祢是信實的主
[00:00:36.240 --> 00:00:38.240]  祢永不改變
[00:00:38.240 --> 00:00:40.980]  主呀!天地都要滅沒
[00:00:40.980 --> 00:00:43.720]  但是主呀!祢永遠長存
[00:00:43.720 --> 00:00:46.800]  因為祢自己應許
[00:00:46.800 --> 00:00:48.000]  祢拯救我們
[00:00:48.000 --> 00:00:50.000]  要拯救我們到底
[00:00:50.000 --> 00:00:53.900]  祢過去透過犧牲十字架
[00:00:53.900 --> 00:00:55.900]  顯明祢對我們的愛
[00:00:55.900 --> 00:00:58.480]  不單止祢過去如此
[00:00:58.480 --> 00:01:00.480]  祢也告訴我們
[00:01:00.480 --> 00:01:02.480]  祢愛我們到底
[00:01:02.480 --> 00:01:04.480]  主這次我們到祢面前
[00:01:04.480 --> 00:01:06.480]  為了祢自己的信實
[00:01:06.480 --> 00:01:08.480]  祢不變的慈愛
[00:01:08.480 --> 00:01:10.480]  我們感謝祢
[00:01:10.480 --> 00:01:12.480]  也在祢面前仰望因主
[00:01:12.480 --> 00:01:14.480]  直到祢自己聖經的說話
[00:01:14.480 --> 00:01:16.480]  常常勉勵我們的心
[00:01:16.480 --> 00:01:18.480]  同樣愛祢到底
[00:01:18.480 --> 00:01:20.480]  同樣信靠祢到底
[00:01:20.480 --> 00:01:22.480]  求祢今天當我們讀
[00:01:22.480 --> 00:01:24.480]  祢自己聖經的時候
[00:01:24.480 --> 00:01:27.480]  求祢再次將這份堅定的心賜給我們
[00:01:27.480 --> 00:01:29.480]  讓我們可以在祢面前
[00:01:29.480 --> 00:01:31.480]  蒙受恩惠
[00:01:31.480 --> 00:01:33.480]  我們仰望祈禱
[00:01:33.480 --> 00:01:35.480]  奉耶穌聖名祈求
[00:01:35.480 --> 00:01:37.480]  阿們
[00:01:37.480 --> 00:01:39.480]  我們再一起見分開聖經
[00:01:39.480 --> 00:01:41.480]  希伯來書第三章的經文
[00:01:41.480 --> 00:01:47.480]  剛才施班帶領我們唱一首詩歌
[00:01:47.480 --> 00:01:49.480]  要為主忠心至死
[00:01:49.480 --> 00:01:53.480]  我就很快就唱回一首詩歌
[00:01:53.480 --> 00:01:55.480]  特別最近有機會
[00:01:55.480 --> 00:01:57.480]  參加幾次有關見道神學院的聚會
[00:01:57.480 --> 00:01:59.480]  他們唱他們的校歌
[00:01:59.480 --> 00:02:01.480]  大家知不知道
[00:02:01.480 --> 00:02:03.480]  見道神學院的校歌
[00:02:03.480 --> 00:02:05.480]  是甚麼名字
[00:02:05.480 --> 00:02:07.480]  三個字
[00:02:07.480 --> 00:02:09.480]  要忠心
[00:02:09.480 --> 00:02:11.480]  這首詩歌曾經是對很多人
[00:02:11.480 --> 00:02:13.480]  帶來很大的激勵
[00:02:13.480 --> 00:02:15.480]  亦都在描述很多
[00:02:15.480 --> 00:02:17.480]  很多歷代的教徒
[00:02:17.480 --> 00:02:19.480]  他們雖然面對著
[00:02:19.480 --> 00:02:21.480]  不同的挑戰困難
[00:02:21.480 --> 00:02:23.480]  但他們信靠主的心
[00:02:23.480 --> 00:02:25.480]  堅持到底
[00:02:25.480 --> 00:02:27.480]  我歡迎這首詩歌的副歌
[00:02:27.480 --> 00:02:29.480]  特別提及
[00:02:29.480 --> 00:02:31.480]  要忠心
[00:02:31.480 --> 00:02:33.480]  縱使別人
[00:02:33.480 --> 00:02:35.480]  都是便捷退後
[00:02:35.480 --> 00:02:37.480]  無論甚麼境況
[00:02:37.480 --> 00:02:39.480]  你要站主旁
[00:02:39.480 --> 00:02:41.480]  願主常見你忠心
[00:02:41.480 --> 00:02:45.480]  願主常見到我們
[00:02:45.480 --> 00:02:47.480]  都是忠心跟隨他
[00:02:47.480 --> 00:02:49.480]  無論在甚麼階段
[00:02:49.480 --> 00:02:51.480]  仍然是這樣
[00:02:51.480 --> 00:02:53.480]  堅定跟隨他
[00:02:53.480 --> 00:02:55.480]  不會中途便捷
[00:02:55.480 --> 00:02:57.480]  不會對主不忠
[00:02:57.480 --> 00:02:59.480]  而是由始到終
[00:02:59.480 --> 00:03:01.480]  一直信靠主
[00:03:01.480 --> 00:03:03.480]  信從主
[00:03:03.480 --> 00:03:05.480]  聖經希伯來書
[00:03:05.480 --> 00:03:07.480]  正是這樣提醒
[00:03:07.480 --> 00:03:09.480]  當時很多猶太的教徒
[00:03:09.480 --> 00:03:11.480]  沒錯他們信了耶穌
[00:03:11.480 --> 00:03:13.480]  但他們中間有些人
[00:03:13.480 --> 00:03:15.480]  他們開始轉回
[00:03:15.480 --> 00:03:17.480]  他們以前的猶太教
[00:03:17.480 --> 00:03:19.480]  靠著律法
[00:03:19.480 --> 00:03:21.480]  而在這個地方
[00:03:21.480 --> 00:03:23.480]  希伯來書的作者提醒他們
[00:03:23.480 --> 00:03:25.480]  你要將你的焦點
[00:03:25.480 --> 00:03:27.480]  永遠放在耶穌的身上
[00:03:27.480 --> 00:03:29.480]  因為祂比天使更加尊榮
[00:03:29.480 --> 00:03:31.480]  比摩西更加尊榮
[00:03:31.480 --> 00:03:33.480]  因為祂是唯一
[00:03:33.480 --> 00:03:35.480]  獨一的上帝
[00:03:35.480 --> 00:03:37.480]  配得我們由始到終
[00:03:37.480 --> 00:03:39.480]  一直跟隨祂
[00:03:39.480 --> 00:03:41.480]  信靠祂
[00:03:41.480 --> 00:03:43.480]  聖經提到這位主
[00:03:43.480 --> 00:03:45.480]  祂是信實的主
[00:03:45.480 --> 00:03:47.480]  而正因為祂信實
[00:03:47.480 --> 00:03:49.480]  我們就可以很平安
[00:03:49.480 --> 00:03:51.480]  帶著把握的
[00:03:51.480 --> 00:03:53.480]  來到每一天生活
[00:03:53.480 --> 00:03:55.480]  因此聖經都勉勵我們
[00:03:55.480 --> 00:03:57.480]  既然祂是這位最尊榮的上帝
[00:03:57.480 --> 00:03:59.480]  信實的上帝
[00:03:59.480 --> 00:04:01.480]  我們都應當堅定自己
[00:04:01.480 --> 00:04:03.480]  不要改變
[00:04:03.480 --> 00:04:05.480]  一生來跟隨祂
[00:04:05.480 --> 00:04:07.480]  這也是聖經第三章
[00:04:07.480 --> 00:04:09.480]  開始時一直所講述
[00:04:09.480 --> 00:04:11.480]  這位主既然信實
[00:04:11.480 --> 00:04:13.480]  我們就應該將可跨的盼望
[00:04:13.480 --> 00:04:15.480]  持守到底
[00:04:15.480 --> 00:04:17.480]  然後聖經就開始在第七節
[00:04:17.480 --> 00:04:19.480]  就講述到今天
[00:04:19.480 --> 00:04:21.480]  我們特別想到的
[00:04:21.480 --> 00:04:23.480]  就是在舊約以色列人當中
[00:04:23.480 --> 00:04:25.480]  他們的一種的經歷
[00:04:25.480 --> 00:04:27.480]  提醒我們
[00:04:27.480 --> 00:04:29.480]  作為我們的監戒
[00:04:29.480 --> 00:04:31.480]  要去信主到底
[00:04:31.480 --> 00:04:33.480]  大家先看回第七節的經文
[00:04:33.480 --> 00:04:37.480]  聖經就說
[00:04:37.480 --> 00:04:39.480]  所以就像聖靈所說的
[00:04:39.480 --> 00:04:41.480]  如果你們今天聽從祂的聲音
[00:04:41.480 --> 00:04:43.480]  就不要硬著心
[00:04:43.480 --> 00:04:45.480]  好像在曠野
[00:04:45.480 --> 00:04:47.480]  惹祂發怒
[00:04:47.480 --> 00:04:49.480]  試探祂的日子一樣
[00:04:49.480 --> 00:04:51.480]  在那裡你們的祖先
[00:04:51.480 --> 00:04:53.480]  以試驗來試探我
[00:04:53.480 --> 00:04:55.480]  觀看我的作為
[00:04:55.480 --> 00:04:57.480]  有四十年之久
[00:04:57.480 --> 00:04:59.480]  我們很願意
[00:04:59.480 --> 00:05:01.480]  一路堅定的信靠主
[00:05:01.480 --> 00:05:03.480]  但是你發覺
[00:05:03.480 --> 00:05:05.480]  有些事情出現
[00:05:05.480 --> 00:05:07.480]  是破壞了我們對主的忠誠
[00:05:07.480 --> 00:05:09.480]  聖經就特別提及到
[00:05:09.480 --> 00:05:11.480]  當以色列人在曠野的時候
[00:05:11.480 --> 00:05:13.480]  他們經歷很多困難
[00:05:13.480 --> 00:05:15.480]  沒錯,生活上有所缺乏
[00:05:15.480 --> 00:05:19.480]  沒有水喝,沒有食物吃
[00:05:19.480 --> 00:05:21.480]  遇到很多危險
[00:05:21.480 --> 00:05:23.480]  有敵人,有強悍的敵人
[00:05:23.480 --> 00:05:25.480]  在前面
[00:05:25.480 --> 00:05:27.480]  在這情況之下,聖經就說
[00:05:27.480 --> 00:05:29.480]  他們埋怨神
[00:05:29.480 --> 00:05:31.480]  為什麼會帶我們來這個地方呢?
[00:05:31.480 --> 00:05:33.480]  聖經就說
