
[00:00:00.000 --> 00:00:02.440]  在開始之前我們一起祈禱
[00:00:30.000 --> 00:00:34.800]  感謝主,禱告奉教主耶穌基督,得聖名字祈求,阿們
[00:00:34.800 --> 00:00:36.400]  有一個故事是這樣的
[00:00:36.400 --> 00:00:38.200]  有一個很出名的教授
[00:00:38.200 --> 00:00:39.600]  他學識淵博
[00:00:39.600 --> 00:00:42.400]  供應他是一個非常有智慧的人
[00:00:42.400 --> 00:00:45.200]  他去到一間大學任教
[00:00:45.200 --> 00:00:48.800]  於是就要搬到這間大學的宿舍裏面
[00:00:48.800 --> 00:00:51.800]  這間大學的宿舍環境優美
[00:00:51.800 --> 00:00:56.000]  後面還有一個很大的內湖可以被人釣魚
[00:00:56.000 --> 00:01:01.000]  於是這個教授第二天早上就去到湖裏面去釣魚
[00:01:01.000 --> 00:01:04.400]  剛好那裏也有兩個年青人
[00:01:04.400 --> 00:01:07.200]  相信都是大學的學生
[00:01:07.200 --> 00:01:09.200]  當他去釣釣魚的時候
[00:01:09.200 --> 00:01:13.000]  其中有一位年青人就起來要上廁所
[00:01:13.000 --> 00:01:18.000]  他突然二話不說就從湖邊踏出去湖裏面
[00:01:18.000 --> 00:01:21.600]  然後在水上彈彈彈
[00:01:21.600 --> 00:01:25.600]  就去到湖中心那個小屋的洗手間裏面
[00:01:25.600 --> 00:01:31.800]  之後他又彈彈彈在湖上彈回來湖邊
[00:01:31.800 --> 00:01:35.400]  這個教授看到之後就覺得很驚訝
[00:01:35.400 --> 00:01:39.000]  難道這個就是傳說中的水上漂
[00:01:39.000 --> 00:01:41.400]  但是教授就沉著氣
[00:01:41.400 --> 00:01:43.800]  沒有表現出他很驚訝的樣子
[00:01:43.800 --> 00:01:46.000]  因為畢竟他是教授
[00:01:46.000 --> 00:01:50.200]  但是教授心裏就百思不得其解
[00:01:50.200 --> 00:01:56.000]  他當時就在想到底這個水上漂當中的奧秘是怎樣的呢?
[00:01:56.000 --> 00:02:00.200]  突然間另一位年青人又走去上廁所
[00:02:00.200 --> 00:02:03.800]  於是他同樣在水上彈彈彈
[00:02:03.800 --> 00:02:07.600]  這樣彈到湖中心那個小屋的洗手間裏面
[00:02:07.600 --> 00:02:12.400]  之後又彈彈彈彈回去湖邊
[00:02:12.400 --> 00:02:14.400]  嘩!教授就想了
[00:02:14.400 --> 00:02:16.800]  這間大學真是高手雲集
[00:02:16.800 --> 00:02:20.000]  他們一定是計算好水面的張力
[00:02:20.000 --> 00:02:21.800]  周圍分子的變化
[00:02:21.800 --> 00:02:25.200]  和水上的動力的速度等等等等
[00:02:25.200 --> 00:02:27.600]  教授就說真是厲害了
[00:02:27.600 --> 00:02:30.800]  於是他繼續很努力地去思考
[00:02:30.800 --> 00:02:32.200]  在這個時候
[00:02:32.200 --> 00:02:35.600]  咦!教授都很需要去洗手間
[00:02:35.600 --> 00:02:39.200]  不過回去自己宿舍好像又很遠
[00:02:39.200 --> 00:02:41.200]  於是他把心一橫
[00:02:41.200 --> 00:02:45.600]  我都可以去湖裏面湖中心那個洗手間
[00:02:45.600 --> 00:02:48.400]  沒理由那兩個學生能夠水上漂
[00:02:48.400 --> 00:02:49.600]  我不行的
[00:02:49.600 --> 00:02:51.600]  剛才我已經很仔細地
[00:02:51.600 --> 00:02:54.600]  觀察到第二個學生他怎樣做了
[00:02:54.600 --> 00:02:56.600]  於是教授就鼓起勇氣
[00:02:56.600 --> 00:02:57.600]  踏出去
[00:02:57.600 --> 00:03:01.200]  他想著只要有速度就可以做到的了
[00:03:01.200 --> 00:03:04.000]  於是他很快地跑第一步
[00:03:04.000 --> 00:03:05.000]  咦!ok喎
[00:03:05.000 --> 00:03:06.000]  再跑第二步
[00:03:06.000 --> 00:03:07.000]  都ok喎
[00:03:07.000 --> 00:03:10.000]  噢!但第三步就跌了下水了
[00:03:10.000 --> 00:03:11.600]  兩個年青人見到之後
[00:03:11.600 --> 00:03:14.000]  嘩!就馬上去救這個教授
[00:03:14.000 --> 00:03:15.600]  教授終於忍不住了
[00:03:15.600 --> 00:03:17.000]  就問這兩個學生
[00:03:17.000 --> 00:03:21.600]  你們怎樣可以計算這個水上漂的分子力學原理呢?
[00:03:21.600 --> 00:03:23.200]  那兩個學生就說
[00:03:23.200 --> 00:03:26.000]  吓!哪有這麼厲害啊?
[00:03:26.000 --> 00:03:28.000]  這裏其實是有一條橋
[00:03:28.000 --> 00:03:30.200]  但因為內河的水漲了
[00:03:30.200 --> 00:03:31.600]  你看不到而已
[00:03:31.600 --> 00:03:33.200]  但我們每天都在這裏
[00:03:33.200 --> 00:03:36.800]  我們就知道怎樣在這條橋裏走
[00:03:36.800 --> 00:03:39.200]  這位教授學識淵博
[00:03:39.200 --> 00:03:41.600]  人人都覺得他充滿智慧
[00:03:41.600 --> 00:03:43.000]  人問他什麼問題
[00:03:43.000 --> 00:03:45.200]  他都很容易一一解答
