
[00:00:00.000 --> 00:00:02.000]  祈禱兩姐妹們平安
[00:00:02.000 --> 00:00:04.000]  我們先一起祈禱
[00:00:04.000 --> 00:00:06.000]  昨天我們感謝你自己的恩典
[00:00:06.000 --> 00:00:09.000]  讓我們在復活節的時候
[00:00:09.000 --> 00:00:11.000]  我們都可以一同來聚集
[00:00:11.000 --> 00:00:14.000]  來讚美你、紀念主你的復活
[00:00:14.000 --> 00:00:17.000]  扶你一聲令在我當中幫助我們
[00:00:17.000 --> 00:00:20.000]  明白司徒約翰寫下的訊息
[00:00:20.000 --> 00:00:22.000]  讓我們都得著鼓勵
[00:00:22.000 --> 00:00:24.000]  奉耶穌基督的名祈禱
[00:00:24.000 --> 00:00:26.000]  阿們
[00:00:26.000 --> 00:00:31.000]  教會今年的主題是「全心全意」
[00:00:31.000 --> 00:00:35.000]  其實這個主題有一個含意
[00:00:35.000 --> 00:00:38.000]  就是說很多信徒會友
[00:00:38.000 --> 00:00:42.000]  信耶穌都不是很全心全意
[00:00:42.000 --> 00:00:44.000]  所以教會的牧師們
[00:00:44.000 --> 00:00:47.000]  去年開會的時候就決定今年的主題
[00:00:47.000 --> 00:00:49.000]  我們要鼓勵大家
[00:00:49.000 --> 00:00:53.000]  我們要全心全意去跟隨主
[00:00:53.000 --> 00:00:56.000]  今年的復活節
[00:00:56.000 --> 00:01:02.000]  我們就是從司徒彼得的生命去思想
[00:01:02.000 --> 00:01:07.000]  主耶穌怎樣幫助他全心全意的
[00:01:07.000 --> 00:01:10.000]  進行耶穌給他的使命
[00:01:10.000 --> 00:01:12.000]  為天國努力
[00:01:12.000 --> 00:01:15.000]  去得人如魚
[00:01:15.000 --> 00:01:17.000]  去牧養教會
[00:01:17.000 --> 00:01:21.000]  如果你兩天之前有來參加
[00:01:21.000 --> 00:01:24.000]  英文堂的「受難節崇拜」的話
[00:01:24.000 --> 00:01:26.000]  就會知道
[00:01:26.000 --> 00:01:32.000]  那個講道是講到彼得三次不認主
[00:01:32.000 --> 00:01:37.000]  彼得在主耶穌未曾被釘十字架之前
[00:01:37.000 --> 00:01:40.000]  曾經對主耶穌說
[00:01:40.000 --> 00:01:43.000]  我就是必須與你同死
[00:01:43.000 --> 00:01:48.000]  也絕不會不認你
[00:01:48.000 --> 00:01:50.000]  當主耶穌在赫西瑪利園
[00:01:50.000 --> 00:01:53.000]  被人逮捕的時候
[00:01:53.000 --> 00:01:57.000]  也是彼得帶了一把刀
[00:01:57.000 --> 00:02:02.000]  砍了那個大祭司的捕人的一隻耳朵下來
[00:02:02.000 --> 00:02:08.000]  彼得我耶穌的心可以說是可見一斑
[00:02:08.000 --> 00:02:12.000]  但是在大祭司府裡面的時候
[00:02:12.000 --> 00:02:15.000]  他由於害怕
[00:02:15.000 --> 00:02:17.000]  由於怕被人抓
[00:02:17.000 --> 00:02:21.000]  他就三次否認耶穌
