
[00:00:00.000 --> 00:00:02.540]  有些訊息大家都很喜歡聽的
[00:00:02.540 --> 00:00:04.780]  就是一些通常說怎樣可以
[00:00:04.780 --> 00:00:07.140]  得到神更多的祝福
[00:00:07.140 --> 00:00:12.420]  或者婚姻怎樣可以有突破
[00:00:12.420 --> 00:00:15.160]  又或者在說
[00:00:15.160 --> 00:00:17.040]  總之有很多它的益處
[00:00:17.040 --> 00:00:19.460]  那些說到通常都很受歡迎
[00:00:19.460 --> 00:00:21.580]  但是今天我和大家分享的訊息
[00:00:21.580 --> 00:00:23.580]  就不是這樣的
[00:00:23.580 --> 00:00:24.720]  就不是這樣的
[00:00:24.720 --> 00:00:27.580]  你不要想著拿很多東西
[00:00:27.580 --> 00:00:31.380]  以及求神在我們當中工作
[00:00:31.380 --> 00:00:33.380]  如果神在我們當中工作
[00:00:33.380 --> 00:00:36.180]  我相信未來一個星期、一個月
[00:00:36.180 --> 00:00:38.180]  你的食慾都會大減
[00:00:38.180 --> 00:00:40.180]  這個是我的希望
[00:00:40.180 --> 00:00:43.740]  我先來做一個統計
[00:00:43.740 --> 00:00:48.500]  看一下大家對神的說話
[00:00:48.500 --> 00:00:50.620]  或者你生命裏面的
[00:00:50.620 --> 00:00:53.380]  屬靈操練的情況是怎樣
[00:00:53.380 --> 00:00:56.100]  我想問一下你過往半年裏面
[00:00:56.100 --> 00:00:58.100]  過往半年
[00:00:58.100 --> 00:01:00.100]  剛剛好
[00:01:00.100 --> 00:01:02.100]  有華語堂開始
[00:01:02.100 --> 00:01:04.100]  半年裏面有沒有人
[00:01:04.100 --> 00:01:06.100]  你有印象的
[00:01:06.100 --> 00:01:08.500]  試過至少有一次
[00:01:08.500 --> 00:01:12.500]  在資源上或者金錢上幫助其他人的
[00:01:12.500 --> 00:01:14.500]  有沒有這樣的弟兄姊妹或者朋友
[00:01:14.500 --> 00:01:17.300]  這個我再講一點
[00:01:17.300 --> 00:01:20.740]  也不是令你覺得很不開心
[00:01:20.740 --> 00:01:23.460]  或者我不是想令你覺得
