
[00:00:00.000 --> 00:00:02.000]  我們跟心禱告
[00:00:02.000 --> 00:00:06.000]  真愛主我們眾弟兄姊妹們
[00:00:06.000 --> 00:00:09.000]  就近在您的面前
[00:00:09.000 --> 00:00:12.000]  我們歌頌讚美您
[00:00:12.000 --> 00:00:14.000]  我們向您獻上感恩的祭
[00:00:14.000 --> 00:00:17.000]  如今我們要聽您的話語
[00:00:17.000 --> 00:00:21.000]  求您給我們每一個弟兄姊妹們都有美好的耳朵
[00:00:21.000 --> 00:00:23.000]  我們聽一見您的話語
[00:00:23.000 --> 00:00:26.000]  我們將您的話語放在我們心裏面
[00:00:26.000 --> 00:00:28.000]  反覆思想
[00:00:29.000 --> 00:00:32.000]  讓您的話語成為我們的光明
[00:00:32.000 --> 00:00:34.000]  成為我們的力量
[00:00:34.000 --> 00:00:36.000]  主啊
[00:00:36.000 --> 00:00:38.000]  求您憐憫我們
[00:00:38.000 --> 00:00:40.000]  幫助我們
[00:00:40.000 --> 00:00:42.000]  我們這樣的禱告
[00:00:42.000 --> 00:00:44.000]  是奉主耶穌基督的名字
[00:00:44.000 --> 00:00:46.000]  阿們
[00:00:46.000 --> 00:00:51.000]  剛才我們讀過約書亞記一章一至九節
[00:00:51.000 --> 00:00:56.000]  不知道大家有什麼看見
[00:00:57.000 --> 00:01:01.000]  我看見在當中的一些弟兄姊妹們
[00:01:01.000 --> 00:01:05.000]  他們進入生命的交界
[00:01:05.000 --> 00:01:09.000]  有些剛剛讀完DSE
[00:01:09.000 --> 00:01:12.000]  香港中學文憑試的弟兄姊妹們
[00:01:12.000 --> 00:01:15.000]  準備要分派到各間大學
[00:01:15.000 --> 00:01:18.000]  或者有些要去找學校
[00:01:18.000 --> 00:01:21.000]  或者有些要去找工作
[00:01:21.000 --> 00:01:26.000]  我又看見一些剛剛在大學畢業的弟兄姊妹們
[00:01:27.000 --> 00:01:29.000]  他們在生命的交界當中
[00:01:29.000 --> 00:01:33.000]  他們要進入職場去工作
[00:01:33.000 --> 00:01:36.000]  我又看見一些弟兄姊妹們
[00:01:36.000 --> 00:01:38.000]  年輕的弟兄姊妹們
[00:01:38.000 --> 00:01:40.000]  他們沉沉覓覓
[00:01:40.000 --> 00:01:43.000]  他們要享受愛情
[00:01:43.000 --> 00:01:45.000]  等待愛情
[00:01:45.000 --> 00:01:48.000]  有些準備婚嫁
[00:01:48.000 --> 00:01:50.000]  準備新家庭的開始
[00:01:50.000 --> 00:01:54.000]  我又看見一些弟兄姊妹們
[00:01:54.000 --> 00:01:56.000]  他們剛剛有BB
[00:01:56.000 --> 00:02:01.000]  開始要預養他們下一代的階段
[00:02:01.000 --> 00:02:05.000]  他們都是在生命的交界
[00:02:05.000 --> 00:02:09.000]  經歷著平安和憂慮
[00:02:09.000 --> 00:02:12.000]  喜樂和憂傷
[00:02:12.000 --> 00:02:15.000]  我們又看見這個世界當中
[00:02:15.000 --> 00:02:18.000]  有一些人生活在交界當中
[00:02:18.000 --> 00:02:20.000]  他們是很害怕
[00:02:20.000 --> 00:02:22.000]  他們是絕望
[00:02:22.000 --> 00:02:24.000]  有些是轉了工
[00:02:24.000 --> 00:02:27.000]  有些陷入在很複雜的人際關係當中
[00:02:27.000 --> 00:02:30.000]  有些面對身體的病患
[00:02:30.000 --> 00:02:34.000]  有些的家庭是分裂
[00:02:34.000 --> 00:02:37.000]  兩夫婦結婚了幾十年了
[00:02:37.000 --> 00:02:42.000]  丈夫說我再不愛你
[00:02:42.000 --> 00:02:45.000]  他要找新歡
[00:02:45.000 --> 00:02:51.000]  有些人失去自親自愛的家人
[00:02:52.000 --> 00:02:54.000]  在上兩個星期
[00:02:54.000 --> 00:02:57.000]  德國發生了最少兩宗的襲擊案
[00:02:57.000 --> 00:03:01.000]  一名18歲的德國伊朗雙重國籍的青年
[00:03:01.000 --> 00:03:07.000]  在慕尼黑的麥當勞和商場去射殺
[00:03:07.000 --> 00:03:09.000]  射殺了很多人
[00:03:09.000 --> 00:03:11.000]  當中有弟弟
[00:03:11.000 --> 00:03:16.000]  最低限度有9死27傷
[00:03:16.000 --> 00:03:20.000]  其中一名希臘青年19歲
[00:03:20.000 --> 00:03:22.000]  他為了保護他的姐妹
[00:03:22.000 --> 00:03:25.000]  用身體去擋那些子彈
[00:03:25.000 --> 00:03:27.000]  因此他離世
[00:03:27.000 --> 00:03:31.000]  本來是很快樂的一天
[00:03:31.000 --> 00:03:36.000]  誰知成為生命的犧牲
[00:03:36.000 --> 00:03:39.000]  離別自己的親人
[00:03:39.000 --> 00:03:42.000]  這些受害的家人
[00:03:42.000 --> 00:03:44.000]  都是面對著生命的幽谷
[00:03:44.000 --> 00:03:46.000]  生命的交界
[00:03:47.000 --> 00:03:52.000]  真的,我們的四周充滿著
[00:03:52.000 --> 00:03:58.000]  惶恐、驚懼、不安,甚至是絕望
[00:03:58.000 --> 00:04:03.000]  我們有些在當中驚惶失措
[00:04:03.000 --> 00:04:06.000]  感覺到前路不確定
