
[00:00:00.000 --> 00:00:01.640]  各位星星姐妹早晨
[00:00:01.640 --> 00:00:05.640]  我今天能夠繼續跟大家去思想
[00:00:05.640 --> 00:00:07.680]  聖經神的話語
[00:00:07.680 --> 00:00:10.420]  大家有沒有壓力啊?
[00:00:10.420 --> 00:00:14.560]  大家在你的生活當中有沒有壓力啊?
[00:00:14.560 --> 00:00:16.020]  如果有的
[00:00:16.020 --> 00:00:18.460]  你不介意舉手給我看嗎?
[00:00:18.460 --> 00:00:20.260]  有的喔
[00:00:20.260 --> 00:00:23.040]  大家有沒有一些沒有壓力的
[00:00:23.040 --> 00:00:24.600]  都可以舉手給我看?
[00:00:24.600 --> 00:00:26.600]  也有人沒有壓力的喔
[00:00:26.600 --> 00:00:29.440]  那沒有壓力的那些呢
[00:00:30.700 --> 00:00:32.040]  就不用說了
[00:00:32.040 --> 00:00:34.200]  有壓力的那些呢
[00:00:34.200 --> 00:00:36.440]  你用什麼方法去減壓啊?
[00:00:36.440 --> 00:00:38.040]  我不是叫你回答我
[00:00:38.040 --> 00:00:39.800]  如果不是的話就會是
[00:00:39.800 --> 00:00:43.440]  我只是聽到一堆聲音
[00:00:43.440 --> 00:00:44.840]  都不知道你說什麼
[00:00:44.840 --> 00:00:47.640]  你猜我有沒有壓力啊?
[00:00:47.640 --> 00:00:49.640]  有的是不是啊?
[00:00:49.640 --> 00:00:52.400]  不過我很感謝一件事
[00:00:52.400 --> 00:00:54.760]  我真的很感謝一件事
[00:00:54.760 --> 00:00:56.280]  它讓我能夠
[00:00:56.280 --> 00:00:58.840]  可以差不多每一個主日
[00:00:58.840 --> 00:01:02.280]  我也有機會分享聖經神的話語
[00:01:02.280 --> 00:01:06.320]  我減壓的方法呢
[00:01:06.320 --> 00:01:07.920]  靜態的
[00:01:07.920 --> 00:01:09.840]  大家知道什麼叫做靜態了
[00:01:09.840 --> 00:01:11.720]  就是睡覺
[00:01:11.720 --> 00:01:13.920]  睡午覺
[00:01:13.920 --> 00:01:17.040]  或者是早上出門之前
[00:01:17.040 --> 00:01:18.800]  我買了一張很小的
