
[00:00:00.000 --> 00:00:02.640]  各位聽眾、各位朋友 新年快樂
[00:00:02.640 --> 00:00:03.880]  希望大家新的一年
[00:00:03.880 --> 00:00:08.520]  在2021年大家更加快樂、更加喜樂
[00:00:08.520 --> 00:00:13.760]  更加經歷到神充滿你們的平安和恩典
[00:00:13.760 --> 00:00:15.760]  今天想和大家分享一個題目叫做
[00:00:15.760 --> 00:00:19.400]  《拉闊領域衝破界限》
[00:00:19.400 --> 00:00:24.040]  基本是來自《以賽亞書》第54章的第一到第三節
[00:00:24.040 --> 00:00:30.040]  根據美國研究季刊曾經報導過一個真實的實驗
[00:00:30.040 --> 00:00:37.480]  這個實驗就是想證明想像練習對改善投籃的技術有沒有果效
[00:00:37.480 --> 00:00:42.920]  第一組的學生在20天裡面每天都練習去投籃
[00:00:42.920 --> 00:00:44.480]  是實際地去練習
[00:00:44.480 --> 00:00:48.440]  將第一天和最後一天的成績記錄下來
[00:00:48.440 --> 00:00:53.600]  而第二組的學生也記錄了第一天和最後一天的成績
[00:00:53.600 --> 00:00:56.960]  但是這個期間裡面他們從來都不練習
[00:00:56.960 --> 00:01:00.600]  而第三組的學生就記錄了第一天的成績
[00:01:00.600 --> 00:01:07.280]  然後每一天就大約花20分鐘來做想像去投籃
[00:01:07.280 --> 00:01:12.160]  然後最後一天就真的讓他們實際去投籃
[00:01:12.160 --> 00:01:13.600]  結果是怎樣呢?
[00:01:13.600 --> 00:01:16.080]  結果簡直是難以置信
[00:01:16.080 --> 00:01:19.760]  第一組經過調查之後
[00:01:19.760 --> 00:01:25.000]  他們發現他們的投籃的準繩度增加了24%
[00:01:25.000 --> 00:01:28.080]  然後第二組因為他們沒有練習
[00:01:28.080 --> 00:01:29.840]  結果就毫無進步
[00:01:29.840 --> 00:01:35.560]  第三組想像不到的就是他們每天花了20分鐘去想像投籃
[00:01:35.560 --> 00:01:37.280]  去夢想一下怎樣射進去
[00:01:37.280 --> 00:01:39.280]  射得不好的時候怎樣改善
[00:01:39.280 --> 00:01:42.720]  結果他們最後一天的投籃
[00:01:42.720 --> 00:01:48.000]  想不到是有26%的增長
[00:01:48.000 --> 00:01:50.560]  這個原來被他們發現到
[00:01:50.560 --> 00:01:52.320]  原來當我們想像的時候
[00:01:52.320 --> 00:01:55.240]  當我們只要去夢想一下
[00:01:55.240 --> 00:01:56.520]  想像一下
[00:01:56.520 --> 00:01:58.280]  花時間去想一想
[00:01:58.280 --> 00:02:02.600]  我們原來都會想出好成績出來
[00:02:02.600 --> 00:02:04.760]  在愛因斯坦16歲那一年
[00:02:04.760 --> 00:02:06.640]  我不知道大家認不認識愛因斯坦
[00:02:06.640 --> 00:02:07.720]  在他16歲那一年
[00:02:07.720 --> 00:02:09.040]  他曾經這樣想過
[00:02:09.040 --> 00:02:14.160]  他說如果我騎著一道光線去追趕另一道光線
[00:02:14.160 --> 00:02:14.960]  很遠吧?
[00:02:14.960 --> 00:02:16.720]  你猜會產生些什麼呢?
[00:02:16.720 --> 00:02:20.560]  原來就會產生了很多奇妙的事情
[00:02:20.560 --> 00:02:22.240]  他的這種創造性
[00:02:22.240 --> 00:02:23.640]  這種想像力
[00:02:23.640 --> 00:02:25.760]  結果令他繼續去討論的時候
[00:02:25.760 --> 00:02:27.920]  繼續去思考的時候
[00:02:27.920 --> 00:02:30.480]  就創立了相對論
[00:02:30.480 --> 00:02:31.520]  換句話說
[00:02:31.520 --> 00:02:34.560]  如果我們為了一件事去想多一點
[00:02:34.560 --> 00:02:35.480]  去想多一點
[00:02:35.480 --> 00:02:37.400]  在腦海裡面去思索
[00:02:37.400 --> 00:02:39.320]  去尋索多一點的時候
[00:02:39.320 --> 00:02:40.720]  假以時日
[00:02:40.720 --> 00:02:44.600]  分分鐘會有驚人的發現也說不定
