
[00:00:00.000 --> 00:00:04.780]  上個月 Pastor Tim 和我們分享了提摩太前書
[00:00:04.780 --> 00:00:09.760]  很棒 有 Pastor Timothy 和我們講解三次 Timothy 的書信
[00:00:09.760 --> 00:00:16.440]  從中我們認識到一個合神心意的教會或者群體應該是怎樣
[00:00:16.440 --> 00:00:21.200]  而在這個月我們會跳一跳 我們會看福音書
[00:00:21.200 --> 00:00:23.120]  去看看 聽一下耶穌
[00:00:23.120 --> 00:00:28.360]  主耶穌要我們成為一個怎樣的基督徒或者侍奉者
[00:00:28.360 --> 00:00:33.760]  請聽我讀出馬太福音的二十章一至到七節 好嗎?
[00:00:33.760 --> 00:00:37.100]  聽我讀出馬太福音二十章一至到七節
[00:00:37.100 --> 00:00:38.120]  他是這麼說的
[00:00:38.120 --> 00:00:41.720]  他說因為天國好比一家的主人清早
[00:00:41.720 --> 00:00:45.360]  去到故人進他的葡萄園做工
[00:00:45.360 --> 00:00:48.920]  他婆工人趕定一天一個的銀幣
[00:00:48.920 --> 00:00:52.080]  就打發他們進葡萄園去
[00:00:52.080 --> 00:00:54.320]  約在上午九點鐘出去
[00:00:54.320 --> 00:00:57.440]  看見市場上還有閒站的人
[00:00:57.440 --> 00:00:58.920]  就對那些人說
[00:00:58.920 --> 00:01:00.960]  你們都進葡萄園去
[00:01:00.960 --> 00:01:03.560]  我會給你們合理的工錢
[00:01:03.560 --> 00:01:05.440]  他們就進去了
[00:01:05.440 --> 00:01:09.600]  約在正午和下午三點鐘又出去
[00:01:09.600 --> 00:01:11.600]  他也是這麼做的
[00:01:11.600 --> 00:01:14.640]  然後約在下午的五點鐘再出去
[00:01:14.640 --> 00:01:17.080]  他看見還有人站在那裡
[00:01:17.080 --> 00:01:18.080]  就問他們
[00:01:18.080 --> 00:01:21.280]  你們為什麼整天在這裡閒站呢?
[00:01:21.280 --> 00:01:22.320]  他們就說
[00:01:22.320 --> 00:01:24.760]  因為沒有人顧我們
[00:01:24.760 --> 00:01:29.320]  他就說你們也進葡萄園去
[00:01:29.320 --> 00:01:30.760]  這個故事很特別
[00:01:30.760 --> 00:01:32.440]  經文一開始就說
[00:01:32.440 --> 00:01:35.640]  這個是關乎天國的比喻
[00:01:35.640 --> 00:01:36.920]  天國的比喻
[00:01:36.920 --> 00:01:38.840]  就是說耶穌要告訴我們
[00:01:38.840 --> 00:01:40.480]  天上的國度
[00:01:40.480 --> 00:01:42.280]  天國的這個國度
[00:01:42.280 --> 00:01:44.160]  應該是怎麼樣的
[00:01:44.160 --> 00:01:46.640]  背後的意思也就是告訴我們
[00:01:46.640 --> 00:01:50.880]  天上的國度和地上的國度是不一樣的
[00:01:50.880 --> 00:01:52.000]  有什麼不同?
[00:01:52.000 --> 00:01:54.360]  我們一起來看看
[00:01:54.360 --> 00:01:57.080]  首先這個比喻裡面的主人
[00:01:57.080 --> 00:01:59.480]  他說有一個葡萄園
[00:01:59.480 --> 00:02:03.400]  當時剛好到了收割的季節
[00:02:03.400 --> 00:02:05.920]  所以這個主人或者園主
[00:02:05.920 --> 00:02:09.160]  他需要大量的工人在葡萄園裡面
[00:02:09.160 --> 00:02:11.160]  幫忙去收割
[00:02:11.160 --> 00:02:12.920]  於是聖經這裡就說
[00:02:12.920 --> 00:02:18.480]  他這麼早就去市集那裡請人來上班
[00:02:18.480 --> 00:02:23.000]  當時很有可能是早上六點鐘這麼早
[00:02:23.000 --> 00:02:27.320]  因為在古時候人們在日出就要上班
[00:02:27.320 --> 00:02:32.720]  可能是在早上日光六點鐘開始
[00:02:32.720 --> 00:02:36.880]  一直做到下午六點沒有太陽那樣
[00:02:36.880 --> 00:02:40.720]  而且他們的人工是端日計的
[00:02:40.720 --> 00:02:42.720]  就是說他們上完一天工
[00:02:42.720 --> 00:02:46.120]  然後就會在黃昏的時候出糧
[00:02:46.120 --> 00:02:48.120]  所以這個葡萄園的主人
[00:02:48.120 --> 00:02:50.040]  在六點鐘去市集
[00:02:50.040 --> 00:02:54.800]  當時有很多人在排隊聚集等人去請
[00:02:54.800 --> 00:02:59.000]  很快很快這個主人就找到第一批的工人
[00:02:59.000 --> 00:03:01.680]  並且他跟他們講清楚
[00:03:01.680 --> 00:03:05.480]  你們上一天工就會有一個銀幣
[00:03:05.480 --> 00:03:08.320]  就是當時一天的工資
[00:03:08.320 --> 00:03:12.680]  然後主人就打發他們去葡萄園上班
[00:03:12.680 --> 00:03:15.480]  大家記得當時是六點鐘
[00:03:15.480 --> 00:03:17.160]  後面經文就說
[00:03:17.160 --> 00:03:20.800]  去到上午的九點這個主人不知道為什麼
[00:03:20.800 --> 00:03:25.320]  他需要更加多的工人去為他去處理那些收成
[00:03:25.320 --> 00:03:29.040]  因此他再一次回到這個市集裡面去請人
