
[00:00:00.000 --> 00:00:01.420]  各位聽衆姐妹們,平安!
[00:00:01.420 --> 00:00:05.240]  過去這個禮拜,你覺得好不好?
[00:00:05.240 --> 00:00:07.640]  OK啦
[00:00:07.640 --> 00:00:10.140]  到了暑假呢,我很喜歡問一個問題
[00:00:10.140 --> 00:00:12.640]  無論你放暑假還是你繼續工作也好
[00:00:12.640 --> 00:00:14.020]  我很喜歡問一個問題,就是
[00:00:14.020 --> 00:00:17.200]  過去這個禮拜,你做了些什麼有意義的事?
[00:00:17.200 --> 00:00:18.820]  或者這樣問
[00:00:18.820 --> 00:00:22.020]  過去這個禮拜你做了些什麼你覺得有意義的事?
[00:00:22.020 --> 00:00:24.480]  想一想
[00:00:24.480 --> 00:00:27.300]  特別是放假的同學,想一想
[00:00:27.300 --> 00:00:30.600]  過去這個禮拜,你做了些什麼你覺得有意義的事?
[00:00:30.600 --> 00:00:33.820]  今天我想問多一個問題
[00:00:33.820 --> 00:00:35.240]  過去這個禮拜
[00:00:35.240 --> 00:00:38.440]  有些什麼事,令你很不開心的?
[00:00:38.440 --> 00:00:40.880]  令你覺得很不值得的?
[00:00:40.880 --> 00:00:44.200]  令你覺得,哎呀,浪費了點時間
[00:00:44.200 --> 00:00:45.920]  哎呀,做錯了
[00:00:45.920 --> 00:00:49.360]  想不想到?
[00:00:49.360 --> 00:00:52.720]  有些人噏頭,有些人在疑惑
[00:00:53.520 --> 00:00:57.580]  過去這個禮拜呢,我就常常去想想有些什麼很有意義的事
[00:00:57.580 --> 00:01:00.680]  雖然你知道,其實上班,在教會侍奉,很多事都很有意義的
[00:01:00.680 --> 00:01:04.040]  不過當你每天都這麼生活的時候,你就忘記了那些事有多有意義
[00:01:04.040 --> 00:01:06.060]  所以當我想想有什麼有意義的時候呢
[00:01:06.060 --> 00:01:08.800]  就想起了,很多人去說
[00:01:08.800 --> 00:01:11.820]  我們生命要追求最好的
[00:01:11.820 --> 00:01:15.100]  爲什麼這麼說呢?因爲我有一天在家裏出門口
[00:01:15.100 --> 00:01:18.400]  我家住在村屋,大家都知道的
[00:01:18.400 --> 00:01:21.340]  住在村屋,我沒什麼鄰居的
[00:01:21.340 --> 00:01:24.100]  左右上下,幾戶而已
[00:01:24.100 --> 00:01:27.140]  我出門口,走去車站
[00:01:27.140 --> 00:01:29.640]  居然走去車站的過程裏面
[00:01:29.640 --> 00:01:33.840]  就碰到一個朋友,應該不是在我村住的朋友
[00:01:33.840 --> 00:01:35.200]  他就行山
[00:01:35.200 --> 00:01:38.040]  他就經過我村,行山
[00:01:38.040 --> 00:01:41.260]  經過放假,行山,就跟我打招呼
[00:01:41.260 --> 00:01:44.140]  就問我,你好嗎?
[00:01:44.140 --> 00:01:46.120]  我說,多好啊
[00:01:46.120 --> 00:01:48.760]  接着第二個就問我,你在哪裏發財?
[00:01:48.820 --> 00:01:51.860]  我說,我都不發財,我沒什麼發財
[00:01:51.860 --> 00:01:54.080]  在教會工作
[00:01:54.080 --> 00:01:57.020]  哦,多好啊,你做的事多有意義
[00:01:57.020 --> 00:01:59.780]  他覺得除了發財之外,就是有意義
[00:01:59.780 --> 00:02:03.020]  如果不發財又不有意義,就沒意義了,就聊了一會兒
[00:02:03.020 --> 00:02:06.460]  接着他就跟我說,近來他有個小朋友
[00:02:06.460 --> 00:02:09.260]  他小朋友就跟他說,其實都不少的
[00:02:09.260 --> 00:02:12.280]  他的兒子好像都中學了,中一二了
[00:02:12.280 --> 00:02:16.660]  就跟他說,爸爸,你不要相信現在的廣告
[00:02:16.860 --> 00:02:19.840]  爲什麼呢?他說,因爲有些廣告
[00:02:19.840 --> 00:02:22.720]  或者電視節目,就是說,我們現在生命裏追求
[00:02:22.720 --> 00:02:25.540]  就不是追求最好,因爲沒有最好
[00:02:25.540 --> 00:02:26.540]  只有什麼?
[00:02:26.540 --> 00:02:28.140]  只有更好
[00:02:28.140 --> 00:02:30.720]  他就想跟爸爸說,不停地洗爸爸腦
[00:02:30.720 --> 00:02:33.880]  沒有的,這個世界,沒有更好的,盡了力了,我很好
