
[00:00:00.000 --> 00:00:01.760]  在1918年
[00:00:01.760 --> 00:00:06.080]  葛培里出生在北卡羅來納州的一個長老會的家庭
[00:00:06.080 --> 00:00:08.080]  他是家中的長子
[00:00:08.080 --> 00:00:10.080]  少年時代的他
[00:00:10.080 --> 00:00:13.280]  除了比較喜歡打棒球之外
[00:00:13.280 --> 00:00:16.720]  他並沒有其他很多個人的地方
[00:00:16.720 --> 00:00:18.240]  到了1934年
[00:00:18.240 --> 00:00:20.240]  在一次的粉卿會裏面
[00:00:20.240 --> 00:00:21.800]  他深受感動
[00:00:21.800 --> 00:00:23.800]  他決志奉獻
[00:00:23.800 --> 00:00:25.800]  而且更換了他的宗派
[00:00:25.800 --> 00:00:27.800]  去到美男浸信會
[00:00:27.800 --> 00:00:30.800]  這件事就改變了他的一生
[00:00:30.800 --> 00:00:33.800]  在韓國世界最大的教會
[00:00:33.800 --> 00:00:35.800]  的牧師趙榮基牧師
[00:00:35.800 --> 00:00:38.800]  他的一家原先是佛教徒
[00:00:38.800 --> 00:00:40.800]  17歲時的他
[00:00:40.800 --> 00:00:43.800]  患了一個很嚴重的肺結核病
[00:00:43.800 --> 00:00:46.800]  就因著他妹妹的一個基督徒的朋友
[00:00:46.800 --> 00:00:49.800]  去安慰他,為他祝福祈禱
[00:00:49.800 --> 00:00:51.800]  他就信了耶穌
[00:00:51.800 --> 00:00:54.800]  而隨後他有一連串的屬靈的經歷
[00:00:54.800 --> 00:00:58.800]  包括他經歷了講方言
[00:00:58.800 --> 00:01:01.800]  也見到耶穌基督的異象等等
[00:01:01.800 --> 00:01:04.800]  他就相信了神呼召他去侍奉
[00:01:04.800 --> 00:01:08.800]  他就開始了成為一個美國的宣教士的翻譯
[00:01:08.800 --> 00:01:10.800]  到了1956年
[00:01:10.800 --> 00:01:12.800]  他就接受了獎學金
[00:01:12.800 --> 00:01:17.800]  在首爾的純福音學校裏面去學習神學
[00:01:17.800 --> 00:01:19.800]  去裝備自己
[00:01:19.800 --> 00:01:21.800]  至於在1958年開始
[00:01:21.800 --> 00:01:24.800]  他就開始建立教會
[00:01:24.800 --> 00:01:26.800]  到一年前
[00:01:26.800 --> 00:01:29.800]  他就卸下他教會主任牧師的身份
[00:01:29.800 --> 00:01:31.800]  交給接棒人的時候
[00:01:31.800 --> 00:01:34.800]  經歷了差不多50年的時間
[00:01:34.800 --> 00:01:39.800]  他的教會已經增長到超過80萬的人
[00:01:39.800 --> 00:01:41.800]  說回我們香港
[00:01:41.800 --> 00:01:44.800]  陳欣明牧師可能大家都熟悉
[00:01:44.800 --> 00:01:48.800]  原先他生長在一個基督化的家庭裏面
[00:01:48.800 --> 00:01:50.800]  他從小已經認識了神
[00:01:50.800 --> 00:01:53.800]  但是因為他遇到感情的失敗
[00:01:53.800 --> 00:01:55.800]  他對罪沒有發聲過
[00:01:55.800 --> 00:01:57.800]  於是就開始自暴自棄
[00:01:57.800 --> 00:01:59.800]  放縱自己
[00:01:59.800 --> 00:02:01.800]  過著一些很頹廢的生活
[00:02:01.800 --> 00:02:03.800]  根據他所說
[00:02:03.800 --> 00:02:05.800]  他很喜歡留年在迪斯科
[00:02:05.800 --> 00:02:06.800]  亂搞男女關係
[00:02:06.800 --> 00:02:07.800]  他曾經說過
[00:02:07.800 --> 00:02:08.800]  我迷失
[00:02:08.800 --> 00:02:12.800]  當時我知道我生命不應該是這樣的
[00:02:12.800 --> 00:02:13.800]  但是我無能為力
[00:02:13.800 --> 00:02:15.800]  我無法勝過
[00:02:15.800 --> 00:02:18.800]  但是神是那個有恩典有憐憫的神
[00:02:18.800 --> 00:02:21.800]  神為他預備了一個很好的媽媽
[00:02:21.800 --> 00:02:23.800]  對他的愛不離不棄
[00:02:23.800 --> 00:02:26.800]  不斷為陳欣明牧師祈禱
[00:02:26.800 --> 00:02:29.800]  以至於將他的生命還回
[00:02:29.800 --> 00:02:31.800]  就在他22歲的時間
[00:02:31.800 --> 00:02:35.800]  陳欣明牧師就向上帝闖開他的生命
[00:02:35.800 --> 00:02:38.800]  自此就經歷了180度的轉變
[00:02:38.800 --> 00:02:41.800]  他說他從此不再逃避
[00:02:41.800 --> 00:02:48.800]  雖然他說他每天都不會犯罪
[00:02:48.800 --> 00:02:52.800]  但是他仍然依靠著我們的上帝
[00:02:52.800 --> 00:02:56.800]  他不會再被惡者和私慾去操控
[00:02:56.800 --> 00:02:59.800]  他說他以前曾經每天吃兩包煙
[00:02:59.800 --> 00:03:03.800]  自此之後就一支煙都不需要吃
[00:03:03.800 --> 00:03:05.800]  雖然今天我們很多時候見到
[00:03:05.800 --> 00:03:07.800]  陳欣明牧師四處去的時候
[00:03:07.800 --> 00:03:13.800]  仍然很喜歡駕駛哈利·Davidson的電單車
[00:03:13.800 --> 00:03:15.800]  我就是這樣很喜歡
[00:03:15.800 --> 00:03:19.800]  經常去看一些神很重用的僕人
[00:03:19.800 --> 00:03:23.800]  他們的生命,他們的悔改得救的見證
[00:03:23.800 --> 00:03:25.800]  從這些見證裏面
[00:03:25.800 --> 00:03:28.800]  我看到神怎樣轉化人的生命
[00:03:28.800 --> 00:03:31.800]  我每一次都很被激勵
[00:03:31.800 --> 00:03:33.800]  我在教會裏面
[00:03:33.800 --> 00:03:36.800]  除了在牧區和敬拜侍奉之外
[00:03:36.800 --> 00:03:39.800]  我亦都負責一些迎新的後期工作
[00:03:39.800 --> 00:03:41.800]  對一些缺志的
