
[00:00:00.000 --> 00:00:02.000]  頂主佛祖安
[00:00:02.000 --> 00:00:04.000]  在夏天裏面
[00:00:04.000 --> 00:00:06.000]  我們繼續思想到耶穌的題目
[00:00:06.000 --> 00:00:08.000]  今天選了題目是
[00:00:08.000 --> 00:00:10.000]  拯救和重用小人物的耶穌
[00:00:10.000 --> 00:00:12.000]  這個都是我自己很喜歡的訊息
[00:00:12.000 --> 00:00:14.000]  一個很簡單的訊息
[00:00:14.000 --> 00:00:16.000]  但當默想的時候
[00:00:16.000 --> 00:00:18.000]  都是很甘甜
[00:00:18.000 --> 00:00:20.000]  和很多安慰的訊息
[00:00:20.000 --> 00:00:22.000]  人生裏面我們自己
[00:00:22.000 --> 00:00:24.000]  有時一個很大的題目就是
[00:00:24.000 --> 00:00:26.000]  當世局很多的變化裏面
[00:00:26.000 --> 00:00:28.000]  其實我們自己所需要的
[00:00:28.000 --> 00:00:30.000]  我們能做的
[00:00:30.000 --> 00:00:32.000]  其實都是很少
[00:00:32.000 --> 00:00:34.000]  或者我們自己心裏面想學求的
[00:00:34.000 --> 00:00:36.000]  都是一些可能用這個字眼
[00:00:36.000 --> 00:00:38.000]  就是一個小人物想學求的事情
[00:00:38.000 --> 00:00:40.000]  我們能做到都是一個小人物
[00:00:40.000 --> 00:00:42.000]  能做到的事情
[00:00:42.000 --> 00:00:44.000]  聖經有個很大的恩典就是
[00:00:44.000 --> 00:00:46.000]  縱然我們是小人物
[00:00:46.000 --> 00:00:48.000]  神愛我們
[00:00:48.000 --> 00:00:50.000]  神願意用我們
[00:00:50.000 --> 00:00:52.000]  神就是用一個呼召小人物的人
[00:00:52.000 --> 00:00:54.000]  神
[00:00:54.000 --> 00:00:56.000]  耶穌基督來到地上
[00:00:56.000 --> 00:00:58.000]  就好像一個小人物的形態
[00:00:58.000 --> 00:01:00.000]  祂來到地上
[00:01:00.000 --> 00:01:02.000]  祂呼召滿途
[00:01:02.000 --> 00:01:04.000]  特別是當代的小人物
[00:01:04.000 --> 00:01:06.000]  我看今天三段經文
[00:01:06.000 --> 00:01:08.000]  馬考夫音 常傳 林前
[00:01:08.000 --> 00:01:10.000]  我們用契約的方式
[00:01:10.000 --> 00:01:12.000]  第一頁讀契 姊妹讀應
[00:01:12.000 --> 00:01:14.000]  我讀完這幾段經文 第一頁開始
[00:01:14.000 --> 00:01:16.000]  耶穌順著
[00:01:16.000 --> 00:01:18.000]  加利利的海邊走
[00:01:18.000 --> 00:01:20.000]  看見西門和西門的
[00:01:20.000 --> 00:01:22.000]  兄弟安得烈在海裏
[00:01:22.000 --> 00:01:24.000]  撒網 他們本是
