
[00:00:00.000 --> 00:00:02.600]  無論我們信了主多久也好
[00:00:02.600 --> 00:00:06.000]  或者我們暫時未信耶穌也好
[00:00:06.000 --> 00:00:10.600]  或許我們不多不少都聽過約白這個名字
[00:00:10.600 --> 00:00:13.300]  有時我們信主越久的弟兄姊妹
[00:00:13.300 --> 00:00:17.700]  就會覺得上帝千萬不要讓我做約白
[00:00:17.700 --> 00:00:19.100]  即是你不要看得起我
[00:00:19.100 --> 00:00:20.200]  今日我的題目就是
[00:00:20.200 --> 00:00:21.800]  「被神看得起的約白」
[00:00:21.800 --> 00:00:22.900]  你千萬不要看得起我
[00:00:22.900 --> 00:00:24.500]  我暫時不想做約白
[00:00:24.500 --> 00:00:25.900]  甚至可能有些人
[00:00:25.900 --> 00:00:27.100]  可能是說
[00:00:27.100 --> 00:00:29.300]  正在面對苦難的時候
[00:00:29.300 --> 00:00:30.200]  可能會說
[00:00:30.200 --> 00:00:32.800]  嘩!上帝為何給我這麼多苦難
[00:00:32.800 --> 00:00:34.400]  是否在做約白?
[00:00:34.400 --> 00:00:38.000]  所以不多不少我們都會對這個名字
[00:00:38.000 --> 00:00:40.500]  不多不少都有少許聽聞
[00:00:40.500 --> 00:00:43.500]  甚至不多不少都可能在我們的口中
[00:00:43.500 --> 00:00:47.100]  都曾經說過這個名字「約白」
[00:00:47.100 --> 00:00:49.600]  當然我們很多時候看聖經
[00:00:49.600 --> 00:00:51.900]  聖經那邊有六十個卷書
[00:00:51.900 --> 00:00:53.200]  我以下這幾句說話
[00:00:53.200 --> 00:00:55.000]  大家要聽得很清楚
[00:00:55.000 --> 00:00:56.700]  我會說
[00:00:56.700 --> 00:00:59.800]  聖經那邊六十個卷書當中
[00:00:59.800 --> 00:01:03.700]  我可以說最影響這個世界
[00:01:03.700 --> 00:01:07.900]  最廣的最闊的一卷書
[00:01:07.900 --> 00:01:08.900]  就是約白記
[00:01:08.900 --> 00:01:10.600]  大家要很小心聽這句說話
[00:01:10.600 --> 00:01:12.900]  我不是說其他那六十五卷書
[00:01:12.900 --> 00:01:14.200]  是一點都不重要
[00:01:14.200 --> 00:01:15.300]  沒有影響世界
[00:01:15.300 --> 00:01:16.600]  而是我強調就是說
[00:01:16.600 --> 00:01:18.500]  在六十個卷書當中
[00:01:18.500 --> 00:01:22.200]  約白記是一卷影響這個世界
[00:01:22.200 --> 00:01:24.200]  很多的層面裡邊
[00:01:24.200 --> 00:01:26.600]  最闊的一卷書
[00:01:26.600 --> 00:01:27.700]  為什麼這樣說
[00:01:27.700 --> 00:01:30.600]  當然聖經那邊的約白記
[00:01:30.600 --> 00:01:32.900]  肯定是影響了神學
[00:01:32.900 --> 00:01:34.200]  當然聖經是神學
[00:01:34.200 --> 00:01:35.100]  神學是華語
[00:01:35.100 --> 00:01:37.500]  約白記一定影響了神學
[00:01:37.500 --> 00:01:39.600]  在十個世紀改革中那邊
[00:01:39.600 --> 00:01:41.100]  有一個很出名的神學家
[00:01:41.100 --> 00:01:42.200]  叫做嘉爾文
[00:01:42.200 --> 00:01:46.600]  他曾經用了一百五十九篇的講道
[00:01:46.600 --> 00:01:48.700]  單單是講約白記
[00:01:48.700 --> 00:01:51.200]  一百五十九篇講了幾年
[00:01:51.200 --> 00:01:54.300]  用幾年時間去講約白記
[00:01:54.300 --> 00:01:55.700]  就算每個星期講道
[00:01:55.700 --> 00:01:56.700]  除五十二篇
[00:01:56.700 --> 00:01:58.600]  也差不多要三年的時間
[00:01:58.600 --> 00:02:01.600]  才可以完成整卷約白記
[00:02:01.600 --> 00:02:05.700]  所以他很看重約白記的內容
[00:02:05.700 --> 00:02:08.300]  同樣約白記不單影響神學
[00:02:08.300 --> 00:02:11.100]  也影響了文學思潮
[00:02:11.100 --> 00:02:15.300]  其實早期有很多文學的巨著
[00:02:15.300 --> 00:02:16.800]  包括但丁的神曲
[00:02:16.800 --> 00:02:18.800]  包括約瑪廷的失樂園
[00:02:18.800 --> 00:02:20.000]  哥德的佛斯特
[00:02:20.000 --> 00:02:21.700]  這些文學的巨著
[00:02:21.700 --> 00:02:23.600]  你也會發現
[00:02:23.600 --> 00:02:27.900]  這些作者也有約白記的影子
[00:02:27.900 --> 00:02:30.200]  當然不單止文學
[00:02:30.200 --> 00:02:31.200]  不單止神學
[00:02:31.200 --> 00:02:32.800]  甚至影響哲學
[00:02:32.800 --> 00:02:35.500]  十八世紀的哲學家康德
[00:02:35.500 --> 00:02:37.000]  他整個哲學觀
[00:02:37.000 --> 00:02:40.000]  都是以約白記某個情況
[00:02:40.000 --> 00:02:42.400]  來影響了整個哲學觀
[00:02:42.400 --> 00:02:43.800]  當然最近我買了一本書
[00:02:43.800 --> 00:02:44.500]  一本新書
[00:02:44.500 --> 00:02:45.600]  不過我沒有機會看
[00:02:45.600 --> 00:02:46.900]  因為買了之後我生病了
[00:02:46.900 --> 00:02:49.300]  這本書是講到科學
