
[00:00:00.000 --> 00:00:06.900]  教會今年我們慶祝成立教會五十週年
[00:00:06.900 --> 00:00:09.200]  教會是一個群體
[00:00:09.200 --> 00:00:12.600]  是一班信徒要組成的
[00:00:12.600 --> 00:00:17.200]  凝聚一個群體是一件不容易的事
[00:00:17.200 --> 00:00:20.800]  我們觀看今日香港的社會
[00:00:20.800 --> 00:00:22.300]  我們都會知道
[00:00:22.300 --> 00:00:24.700]  凝聚一個社會
[00:00:24.700 --> 00:00:27.900]  亦都是一件很艱難的事
[00:00:27.900 --> 00:00:31.300]  我們不要以為我們生活在同一個地方
[00:00:31.300 --> 00:00:35.200]  我們就會一定可以很和諧
[00:00:35.200 --> 00:00:40.700]  我們一定可以很融洽的相處
[00:00:40.700 --> 00:00:46.200]  我們同樣不要以為我們一起在一個地方聚會
[00:00:46.200 --> 00:00:51.800]  我們就一定可以很融洽的相處
[00:00:51.800 --> 00:00:56.200]  可以建立一種好的關係
[00:00:56.200 --> 00:00:58.800]  我們要凝聚一個群體
[00:00:58.800 --> 00:01:02.100]  很重要的就是我們要有一個
[00:01:02.100 --> 00:01:06.100]  相近或者一樣的價值觀
[00:01:06.100 --> 00:01:09.400]  今日我們的社會分化是因為
[00:01:09.400 --> 00:01:12.500]  我們社會沒有一個主流的價值觀
[00:01:12.500 --> 00:01:16.500]  雖然我們經常說我們有很多香港的核心價值
[00:01:16.500 --> 00:01:17.700]  但其實是甚麼呢?
[00:01:17.700 --> 00:01:19.700]  其實眾說紛紜的
[00:01:19.700 --> 00:01:23.400]  甚至我很懷疑我們有沒有一些核心價值
[00:01:23.400 --> 00:01:26.400]  是所有香港人都可以接受的呢?
[00:01:26.400 --> 00:01:28.500]  同樣我們在教會
[00:01:28.500 --> 00:01:31.100]  我們要去建立一個教會
[00:01:31.100 --> 00:01:33.300]  我們想去維持一個教會
[00:01:33.300 --> 00:01:35.900]  我們都是需要去想一下
[00:01:35.900 --> 00:01:38.500]  我們有甚麼核心價值
[00:01:38.500 --> 00:01:43.500]  是可以令我們一起在教會凝聚
[00:01:43.500 --> 00:01:45.100]  聖經告訴我們
[00:01:45.100 --> 00:01:46.900]  我們有一些核心價值
[00:01:46.900 --> 00:01:50.300]  如果我們相信的是這個神
[00:01:50.300 --> 00:01:51.500]  一樣的神
[00:01:51.500 --> 00:01:54.500]  我們相信的是同一個信仰
[00:01:54.500 --> 00:01:56.100]  我們應該有一些一樣的
[00:01:56.100 --> 00:01:58.900]  以弗所書第四章第一節六節
[00:01:58.900 --> 00:02:00.300]  告訴我們
[00:02:00.300 --> 00:02:02.300]  當我們一樣的時候
