
[00:00:00.000 --> 00:00:03.360]  你想想,這是一個很特別的故事。
[00:00:03.360 --> 00:00:05.680]  但是這個故事講的是什麼呢?
[00:00:05.680 --> 00:00:07.720]  如果你要明白這個故事,
[00:00:07.720 --> 00:00:10.000]  我們需要一些聖經學者幫助我們。
[00:00:10.000 --> 00:00:13.680]  聖經學者說這個故事其實有一個很特別的架構,
[00:00:13.680 --> 00:00:18.520]  它是ABCDCBA,前後呼應的。
[00:00:18.520 --> 00:00:22.040]  這個故事的起初和偶像之地有關,
[00:00:22.040 --> 00:00:25.320]  是走的時候又經過偶像之地,
[00:00:25.320 --> 00:00:30.200]  中間僕人退下,然後進入梁樓,
[00:00:30.200 --> 00:00:36.120]  然後伊基倫站起,然後他死亡,
[00:00:36.120 --> 00:00:40.160]  中間伊基倫被宰。
[00:00:40.160 --> 00:00:43.520]  爲什麼我加了一個花名叫肥牛呢?
[00:00:43.520 --> 00:00:46.280]  因爲伊基倫這個名字叫小牛,
[00:00:46.280 --> 00:00:48.600]  可能他小時候的花名叫小牛,
[00:00:48.600 --> 00:00:50.560]  不過現在做了肥牛了。
[00:00:50.560 --> 00:00:52.960]  然後他拿一把劍刺了他,
[00:00:52.960 --> 00:00:56.120]  但是這個原文,這個希伯來文,
[00:00:56.120 --> 00:00:58.640]  那把劍可以做火的意思,
[00:00:58.640 --> 00:01:06.040]  就是說他其實以爲用了這隻肥牛獻祭給上帝,
[00:01:06.040 --> 00:01:08.960]  而在這個過程裏面,
[00:01:08.960 --> 00:01:15.320]  伊基倫的偶像A和A'是沒有辦法救到伊基倫的。
[00:01:15.320 --> 00:01:19.480]  這些完全是出埃及記的影子,
[00:01:19.480 --> 00:01:22.200]  上帝如何審判不僅是那個君王,
[00:01:22.200 --> 00:01:25.520]  是在審判君王背後的偶像,
[00:01:25.520 --> 00:01:26.840]  當那些偶像沒有到的。
[00:01:26.840 --> 00:01:28.040]  所以如果你有機會,
[00:01:28.040 --> 00:01:33.920]  有一天你去柏林再看看出埃及的十災,
[00:01:33.920 --> 00:01:37.440]  其實十災全部和埃及裏面的偶像是有關係的,
[00:01:37.440 --> 00:01:40.440]  其實上帝一去就可以去第十災,
[00:01:40.440 --> 00:01:41.720]  但是他不去,爲什麼?
[00:01:41.720 --> 00:01:44.120]  就是要玩你,玩你,玩你,
[00:01:44.120 --> 00:01:46.400]  逐個殺,逐個殺,剝光豬,
[00:01:46.400 --> 00:01:47.760]  你明白嗎?就是跟你下棋,
[00:01:47.760 --> 00:01:49.400]  明明我可以檢查你,
[00:01:49.400 --> 00:01:51.880]  我不檢查,我是跟你剝光豬,
[00:01:51.880 --> 00:01:52.520]  爲什麼?
[00:01:52.520 --> 00:01:56.840]  要告訴你,是升過這個世界所有的偶像,
[00:01:56.840 --> 00:01:58.880]  於是逐個剝光豬。
[00:01:58.880 --> 00:02:01.600]  這裏有一個出埃及的影子,
[00:02:01.600 --> 00:02:05.160]  但是出埃及記得來又很諷刺,很搞笑,
[00:02:05.160 --> 00:02:07.880]  因爲他這個寶座,
[00:02:07.880 --> 00:02:12.600]  坐着的寶座其實是一個廁所,
[00:02:12.600 --> 00:02:17.040]  真的很搞笑,這是一個大喜劇,
[00:02:17.040 --> 00:02:18.280]  我想說些什麼呢?
[00:02:18.280 --> 00:02:22.160]  我想說這個故事對於以色人來說,
[00:02:22.160 --> 00:02:23.600]  是在做幾件事的,
[00:02:23.600 --> 00:02:26.360]  第一,他在笑着以色人的敵人,
[00:02:26.360 --> 00:02:28.840]  笑着那些君王的無能,
[00:02:28.840 --> 00:02:31.720]  笑着他們偶像的無能,
[00:02:31.720 --> 00:02:33.960]  但是如果你再想深一點,
[00:02:33.960 --> 00:02:37.680]  這個故事其實是在笑着以弗的,
