
[00:00:00.000 --> 00:00:02.080]  觀眾姐妹新年快樂
[00:00:02.080 --> 00:00:03.680]  電視朋友新年快樂
[00:00:03.680 --> 00:00:08.080]  我們終於來到《獅頭行傳》的最後一章
[00:00:08.080 --> 00:00:10.640]  我們繼續來到《獅頭行傳》的最後一章
[00:00:10.640 --> 00:00:14.480]  基本上我的計劃是分兩堂跟大家講這段經文
[00:00:14.480 --> 00:00:16.880]  我想分兩堂來講這段經文
[00:00:16.880 --> 00:00:19.880]  不單止是總結保羅他整個的侍奉
[00:00:19.880 --> 00:00:22.000]  不單止保羅整個侍奉
[00:00:22.000 --> 00:00:26.880]  也可以幫助我們去了解《獅頭行傳》的寫作特色和目的
[00:00:26.880 --> 00:00:31.320]  讓我們更加明白《獅頭行傳》的寫作特色和目的
[00:00:31.320 --> 00:00:33.440]  讓我們先聽神的說話
[00:00:33.440 --> 00:00:35.280]  也讓我們先同心圍禱告
[00:00:35.280 --> 00:00:37.840]  讓我們先聽聖神的話之前
[00:00:37.840 --> 00:00:40.800]  讓我們先同心禱告
[00:00:40.800 --> 00:00:44.880]  菩薩多謝禰給我們能夠再次打開禰寶貴的說話
[00:00:44.880 --> 00:00:48.080]  讓我們可以明白認識禰更多
[00:00:48.080 --> 00:00:51.680]  也藉著禰的僕人保羅和他的童宮
[00:00:51.680 --> 00:00:56.440]  能夠讓我們看到我們今天當如何活在這個世界
[00:00:56.440 --> 00:01:00.080]  來到怎樣在這個世界裏面活著的時候
[00:01:00.080 --> 00:01:04.640]  我們應該抱著一個什麼樣的指望而活下去
[00:01:04.640 --> 00:01:06.080]  求禰幫助我們
[00:01:06.080 --> 00:01:08.800]  讓我們能夠有方向
[00:01:08.800 --> 00:01:10.200]  並且有力量
[00:01:10.200 --> 00:01:12.440]  能夠去走面前的道路
[00:01:12.440 --> 00:01:13.760]  求主禰的幫助
[00:01:13.760 --> 00:01:14.960]  我們同心禱告
[00:01:14.960 --> 00:01:17.760]  奉靠主耶穌基督得聖名至以及
[00:01:17.760 --> 00:01:19.880]  阿們
[00:01:19.880 --> 00:01:23.840]  在聖經裏面很多時候我們很喜歡背一些金句
[00:01:23.840 --> 00:01:26.240]  在聖經裏面我們很多時候
[00:01:26.240 --> 00:01:28.240]  樂意去背一些金句
[00:01:28.240 --> 00:01:31.640]  在宏文這麼多的聖經的金句當中
[00:01:31.640 --> 00:01:35.320]  其中有一句我比較喜歡和深刻的
[00:01:35.320 --> 00:01:38.760]  在眾多聖經金句當中有一句我是喜歡的
[00:01:38.760 --> 00:01:39.880]  並且很深刻的
[00:01:39.880 --> 00:01:43.160]  就在保羅書信叫做肥納比書裏面
[00:01:43.160 --> 00:01:47.000]  其中一卷第四章裏面的第十二節
[00:01:47.000 --> 00:01:50.800]  在肥比書第四章十二節
[00:01:50.800 --> 00:01:55.240]  如果大家有機會也可以打開肥納比書第四章十二節
[00:01:55.240 --> 00:01:57.800]  如果大家手上有書可以打開
[00:01:57.800 --> 00:01:59.800]  肥納比書四章十二節
[00:01:59.800 --> 00:02:01.440]  這節經文講什麼呢?
[00:02:01.440 --> 00:02:03.720]  如果打開之後不如我們一起讀一下好嗎?
[00:02:03.720 --> 00:02:06.800]  我們打開一層一層來讀一下
