
[00:00:00.000 --> 00:00:02.800]  今天我們要分享的是
[00:00:02.800 --> 00:00:05.800]  盲盒還是劇透的人生呢?
[00:00:05.800 --> 00:00:08.000]  剛才有很大的鼓勵
[00:00:08.000 --> 00:00:10.200]  來到的時候Linda就跟我說
[00:00:10.200 --> 00:00:12.200]  我很喜歡盲盒的
[00:00:12.200 --> 00:00:13.400]  Esther又說
[00:00:13.400 --> 00:00:15.800]  我剛剛才買了一個
[00:00:15.800 --> 00:00:19.600]  維尼的盲盒
[00:00:19.600 --> 00:00:21.200]  她不知道說中文是什麼
[00:00:21.200 --> 00:00:23.800]  我原來是Winnie the Pooh
[00:00:23.800 --> 00:00:25.200]  盲盒
[00:00:25.200 --> 00:00:27.400]  小熊維尼
[00:00:27.400 --> 00:00:30.800]  我是慧琪
[00:00:30.800 --> 00:00:32.600]  不知道大家其他人呢
[00:00:32.600 --> 00:00:35.400]  你們有沒有抽過盲盒的?
[00:00:35.400 --> 00:00:37.000]  你們有沒有買過盲盒的?
[00:00:37.000 --> 00:00:38.200]  有沒有的?
[00:00:38.200 --> 00:00:39.200]  都有的
[00:00:39.200 --> 00:00:41.400]  原來都真的很流行的
[00:00:41.400 --> 00:00:44.200]  有些動漫的公仔可能會選
[00:00:44.200 --> 00:00:46.800]  之前有一段時間很流行的就是
[00:00:46.800 --> 00:00:48.600]  蠟瀑布
[00:00:48.600 --> 00:00:52.200]  最近我經常留意的叫Cry Baby
[00:00:52.200 --> 00:00:54.400]  因為我喜歡設計那個畫
[00:00:54.400 --> 00:00:58.000]  她覺得Cry Baby是讓人不用那麼虛假
[00:00:58.000 --> 00:01:01.000]  情緒是可以流露出來的
[00:01:01.000 --> 00:01:03.200]  但是我自己也有買過的
[00:01:03.200 --> 00:01:05.800]  因為我自己很喜歡餵食妹
[00:01:05.800 --> 00:01:07.000]  好像買廣告的
[00:01:07.000 --> 00:01:07.800]  Plastic Thing
[00:01:07.800 --> 00:01:09.400]  餵食妹那個盲盒
[00:01:09.400 --> 00:01:11.600]  我也有買過的
[00:01:11.600 --> 00:01:12.800]  我問一下大家
[00:01:12.800 --> 00:01:14.800]  其實大家為什麼這麼喜歡買
[00:01:14.800 --> 00:01:17.400]  或者抽盲盒的呢?
[00:01:17.400 --> 00:01:19.600]  很吸引你的地方
[00:01:19.600 --> 00:01:21.600]  其實是什麼呢?
[00:01:21.600 --> 00:01:22.800]  有沒有的?
[00:01:22.800 --> 00:01:26.000]  會不會是你覺得有些刺激
[00:01:26.000 --> 00:01:29.400]  又或者你拿起盲盒
[00:01:29.400 --> 00:01:31.600]  看看它的重量是多少
[00:01:31.600 --> 00:01:33.800]  搖一下它
[00:01:33.800 --> 00:01:35.400]  我猜到是誰
[00:01:35.400 --> 00:01:36.600]  然後你買
