
[00:00:00.000 --> 00:00:03.160]  各位鏡像姐妹朋友們早安
[00:00:03.160 --> 00:00:08.640]  今天我要跟各位分享一個新叫做新起同工
[00:00:08.640 --> 00:00:11.320]  我以前剛進的時候
[00:00:11.320 --> 00:00:14.200]  當人家講到同工同工
[00:00:14.200 --> 00:00:16.840]  因為老師要我做同工
[00:00:16.840 --> 00:00:21.720]  我說我這麼老了還是同工嗎
[00:00:21.720 --> 00:00:25.120]  原來是一同做工
[00:00:25.120 --> 00:00:27.280]  英文叫做co-worker
[00:00:27.280 --> 00:00:29.280]  是的
[00:00:29.280 --> 00:00:31.960]  這裡我有四個論點
[00:00:31.960 --> 00:00:35.080]  第一個是我們是與神同工
[00:00:35.080 --> 00:00:38.080]  其實也是與人同工
[00:00:38.080 --> 00:00:41.280]  第二是我們按照我們的職分
[00:00:41.280 --> 00:00:42.320]  我們的職稱
[00:00:42.320 --> 00:00:43.840]  按照我們的恩賜
[00:00:43.840 --> 00:00:44.920]  按照我們的責任
[00:00:44.920 --> 00:00:46.240]  我們的負擔
[00:00:46.240 --> 00:00:48.320]  我們來五重職分
[00:00:48.320 --> 00:00:50.960]  其實不只五重職分了
[00:00:50.960 --> 00:00:53.240]  有好多職分了
[00:00:53.240 --> 00:00:58.600]  那麼我們同時有一個同工須知
[00:00:58.600 --> 00:01:01.200]  你要做co-worker
[00:01:01.200 --> 00:01:04.080]  你心裡要有什麼準備要怎麼樣
[00:01:04.080 --> 00:01:06.440]  甚至於聖經上面講的
[00:01:06.440 --> 00:01:07.840]  哇
[00:01:07.840 --> 00:01:12.880]  什麼要一個婦人的丈夫不可凶酒
[00:01:12.880 --> 00:01:14.880]  不可怎麼樣不可怎麼樣
[00:01:14.880 --> 00:01:17.200]  不可不進錢不可怎麼樣
[00:01:17.200 --> 00:01:20.920]  這些都是要必須要遵守的事情
[00:01:20.920 --> 00:01:23.880]  然後我要跟各位講
[00:01:23.880 --> 00:01:27.720]  如果二人不同心如何同行呢
[00:01:27.720 --> 00:01:29.720]  又如何同工呢
[00:01:29.720 --> 00:01:33.240]  所以這又是從另外一個角度來
[00:01:33.240 --> 00:01:36.640]  那麼我也要推廣一下
[00:01:36.640 --> 00:01:38.520]  我們前一段時間禮拜五早上
[00:01:38.520 --> 00:01:43.440]  我們在講新國度移民
[00:01:43.440 --> 00:01:46.240]  就是說我們要將來
[00:01:46.240 --> 00:01:49.640]  我們準備要到天堂去不是嗎
[00:01:49.640 --> 00:01:52.920]  但是你有沒有準備好
