
[00:00:00.000 --> 00:00:02.680]  敵兄姊妹 主內平安
[00:00:02.680 --> 00:00:05.880]  今天和大家分享的題目是
[00:00:05.880 --> 00:00:08.120]  我們就是見證
[00:00:08.120 --> 00:00:10.800]  當人可能看到題目的時候
[00:00:10.800 --> 00:00:12.440]  可能你還在想
[00:00:12.440 --> 00:00:14.960]  我想說的是什麼見證呢
[00:00:14.960 --> 00:00:17.400]  但是批評打出來了
[00:00:17.400 --> 00:00:20.320]  我想和大家分享的 討論的
[00:00:20.320 --> 00:00:24.320]  是我們生命蛻變的見證
[00:00:24.320 --> 00:00:27.600]  那這種見證其實對於我們來說
[00:00:27.600 --> 00:00:29.560]  是怎樣發生的呢
[00:00:29.560 --> 00:00:32.200]  一個月之前 我在這裏和大家分享
[00:00:32.200 --> 00:00:36.760]  轉危爲安的時機的蛻變
[00:00:36.760 --> 00:00:39.080]  讓我們知道在危險的時候
[00:00:39.080 --> 00:00:41.000]  有時候是一種好的機會
[00:00:41.000 --> 00:00:43.680]  讓我們能生命改變過來
[00:00:43.680 --> 00:00:47.280]  那所以當我在思想這個題目的時候
[00:00:47.280 --> 00:00:50.160]  我在想下一個步驟是什麼呢
[00:00:50.160 --> 00:00:52.960]  就是當我們知道怎麼做了
[00:00:52.960 --> 00:00:54.920]  能有改變嗎
[00:00:54.920 --> 00:00:57.160]  那所以我是用了自亂經文
[00:00:57.160 --> 00:01:01.080]  是《路加福音》24章這段經文來看看
[00:01:01.080 --> 00:01:02.960]  我們碰到問題了
[00:01:02.960 --> 00:01:05.040]  然後我們找到方法了
[00:01:05.040 --> 00:01:07.640]  但是我們能改變過來嗎
[00:01:07.640 --> 00:01:10.040]  當我們生命遇到危險的時候
[00:01:10.040 --> 00:01:13.600]  我們能見證自己的蛻變嗎
[00:01:13.600 --> 00:01:14.840]  當人見證
[00:01:14.840 --> 00:01:17.280]  我們在教會里面常常見的
[00:01:17.280 --> 00:01:20.200]  就是敬禮的見證
[00:01:20.200 --> 00:01:24.840]  我不知道你參加過多少人的敬禮
[00:01:24.840 --> 00:01:28.200]  或者是你自己也參加過了
[00:01:28.200 --> 00:01:30.520]  相信大家參加敬禮的時候
[00:01:30.520 --> 00:01:33.240]  可能你會看見的是一些人
[00:01:33.240 --> 00:01:36.880]  很多的禮物 很多的恭賀
[00:01:36.880 --> 00:01:38.880]  甚至是買禮物
[00:01:38.880 --> 00:01:41.560]  要看看買聖經
[00:01:41.560 --> 00:01:45.720]  買什麼東西去送給那個受敬的人
[00:01:45.720 --> 00:01:47.520]  但是可能你看見的
[00:01:47.520 --> 00:01:49.680]  這只是表面而已
[00:01:49.680 --> 00:01:52.360]  甚至有些人是男孩子
[00:01:52.360 --> 00:01:53.240]  特別是男孩子
[00:01:53.240 --> 00:01:57.360]  他說他一生最多收發出的時候
[00:01:57.360 --> 00:01:59.080]  就是在那個時候
[00:01:59.080 --> 00:02:01.800]  但是如果我們看見只是表面的
[00:02:01.800 --> 00:02:05.480]  而沒有看見它裏面的決心
[00:02:05.480 --> 00:02:08.720]  他沒有看見它裏面的勵志
[00:02:08.720 --> 00:02:10.640]  甚至是我們看見
[00:02:10.640 --> 00:02:14.000]  沒有看見他生命靈命的改變
[00:02:14.000 --> 00:02:16.600]  那這個敬禮其實對他來說
[00:02:16.600 --> 00:02:18.800]  只是儀式而已
[00:02:18.800 --> 00:02:23.680]  所以我們要看見其他人的蛻變
[00:02:23.680 --> 00:02:26.120]  有時候還可以比較簡單
[00:02:26.120 --> 00:02:28.360]  我們看見那個人比較愛主
