
[00:00:00.000 --> 00:00:02.920]  我們都有一個簡單的祈禱
[00:00:02.920 --> 00:00:05.800]  天父我們今天在一個安靜的地方
[00:00:05.800 --> 00:00:07.920]  我們有我們的生活
[00:00:07.920 --> 00:00:10.440]  有我們敬拜祢的時候
[00:00:10.440 --> 00:00:13.880]  但我們知道在我們的城市
[00:00:13.880 --> 00:00:15.720]  有很多人聚集
[00:00:15.720 --> 00:00:19.160]  很多的焦慮、很多的躁動
[00:00:19.160 --> 00:00:20.480]  很多人都疑惑
[00:00:20.480 --> 00:00:23.480]  究竟我們要走向什麼方向
[00:00:23.480 --> 00:00:28.880]  我們真的誠心的為我們的城市求平安
[00:00:28.880 --> 00:00:32.520]  求主祢親自來持恩帶領我們
[00:00:32.520 --> 00:00:35.800]  讓我們走出和平的道路
[00:00:35.800 --> 00:00:40.160]  祈禱奉耶穌基督的名
[00:00:40.160 --> 00:00:42.280]  本來三個禮拜之前我給了題目
[00:00:42.280 --> 00:00:45.160]  教會叫做「人生在乎安息」
[00:00:45.160 --> 00:00:48.480]  一個比較一般性的題目
[00:00:48.480 --> 00:00:53.760]  直至到昨天的黃昏
[00:00:53.760 --> 00:00:58.720]  我自己覺得我不可以再講那個安穩的題目
[00:00:58.720 --> 00:01:03.200]  我和太太說我要預備一個新的講章
[00:01:03.200 --> 00:01:07.680]  於是我拿著電腦就寫了我今天的講章
[00:01:07.680 --> 00:01:11.360]  要和大家去對應這個時候
[00:01:11.360 --> 00:01:14.800]  我另外一次的經驗就是2008年
[00:01:14.800 --> 00:01:16.720]  汶川大地震
[00:01:16.720 --> 00:01:19.440]  我也是預備了一個題目要去港島
[00:01:19.440 --> 00:01:21.600]  怎料大地震發生
[00:01:21.600 --> 00:01:23.240]  我那星期想去港台的時候
[00:01:23.240 --> 00:01:25.640]  我不能夠照樣講回我的題目
[00:01:25.640 --> 00:01:27.360]  我一定要回應汶川大地震
[00:01:27.360 --> 00:01:29.400]  一個這麼大件的事情
[00:01:29.400 --> 00:01:34.200]  這次是我第二次一日之間改變這個講章
[00:01:34.200 --> 00:01:36.120]  這是一個什麼原因
[00:01:36.120 --> 00:01:38.240]  我相信大家都在這一個多禮拜
[00:01:38.240 --> 00:01:44.120]  有很多的關注和情緒上的緊扣
[00:01:44.120 --> 00:01:47.720]  佔中關係是什麼呢?
[00:01:47.720 --> 00:01:49.560]  關係社會公義
[00:01:49.560 --> 00:01:53.480]  很多人認為一個社會公義的題目、問題
[00:01:53.480 --> 00:01:57.400]  所以不可以妥協、不可以退讓
[00:01:57.400 --> 00:02:01.120]  但是公義是一個很神聖的字眼
[00:02:01.120 --> 00:02:02.640]  我們要小心使用
[00:02:02.640 --> 00:02:04.840]  也要小心去思考
[00:02:04.840 --> 00:02:06.480]  這個究竟是不是一個
[00:02:06.480 --> 00:02:09.480]  純粹的社會公義問題呢?
[00:02:09.480 --> 00:02:12.880]  或者它是一個民主的訴求
[00:02:12.880 --> 00:02:14.320]  民主也是一個大題目
[00:02:14.320 --> 00:02:16.760]  也是一個很重要的事情
[00:02:16.760 --> 00:02:19.680]  或者它是一個政治制度
[00:02:19.680 --> 00:02:22.200]  總之我們整個的運動
[00:02:22.200 --> 00:02:26.760]  就結合在這幾個主要的大的焦點上
[00:02:26.760 --> 00:02:32.960]  就是公義、民主和政治的訴求
[00:02:32.960 --> 00:02:35.800]  在後現代社會
[00:02:35.800 --> 00:02:41.720]  個人主義是非常重要的一個課題
[00:02:41.720 --> 00:02:51.040]  或者可以說是一個相當之被重視的一個權利
[00:02:51.040 --> 00:02:55.160]  個人主義無可避免地
[00:02:55.160 --> 00:03:00.760]  是會挑戰權威和集體的
[00:03:00.760 --> 00:03:02.120]  必然的
[00:03:02.120 --> 00:03:09.320]  在兩者之間怎樣去取得共融或者是平衡
[00:03:09.320 --> 00:03:13.680]  是我們現代社會一個很重要的課題
[00:03:13.680 --> 00:03:15.960]  大的是一個社會、一個國家
[00:03:15.960 --> 00:03:19.640]  小的是一個地區、一個公司
[00:03:19.640 --> 00:03:22.600]  一個團體、一個家庭
[00:03:22.600 --> 00:03:25.720]  這個也是民主運動興起的原因
[00:03:25.720 --> 00:03:27.760]  我是想用一種敍述的形式
[00:03:27.760 --> 00:03:30.400]  先描繪一下現在的情況
[00:03:30.400 --> 00:03:33.360]  現在我們處於一個後現代社會
[00:03:33.360 --> 00:03:36.840]  也是一個個人主義很澎湃的社會
[00:03:36.840 --> 00:03:41.480]  一個集體瓦解權被推翻的社會一個時代
[00:03:41.480 --> 00:03:44.320]  西方價值是等同於普世價值
[00:03:44.320 --> 00:03:46.120]  甚至是必然價值
[00:03:46.120 --> 00:03:52.720]  這是我們在現代的社會裏面生活的一種普遍的情況
[00:03:52.720 --> 00:03:54.320]  也不是在說對錯
[00:03:54.320 --> 00:03:56.400]  一個這樣的形容
[00:03:56.400 --> 00:04:02.080]  而中國社會也是被標籤或者被等同為一個極權和落後的
