
[00:00:00.000 --> 00:00:03.080]  今天和大家來到思想的題目
[00:00:03.080 --> 00:00:05.240]  是因爲我們繼續連接
[00:00:05.240 --> 00:00:07.480]  彼得前書之後
[00:00:07.480 --> 00:00:10.560]  我們還有幾張在彼得後書的經文
[00:00:10.560 --> 00:00:13.120]  有始有終
[00:00:13.120 --> 00:00:16.840]  By the way 大家感覺到星期五晚的地震嗎
[00:00:16.840 --> 00:00:18.160]  有很多人都感覺到
[00:00:18.160 --> 00:00:19.680]  雖然不是很大 但是四點幾級
[00:00:19.680 --> 00:00:22.080]  PV的人有嗎
[00:00:22.080 --> 00:00:25.320]  都有吧
[00:00:25.320 --> 00:00:27.880]  今早六點 不知道大家有沒有感覺到
[00:00:27.880 --> 00:00:30.200]  六點幾級都是有些餘震
[00:00:30.200 --> 00:00:38.960]  這幾天都有些餘震 不知道大家有沒有感覺到
[00:00:38.960 --> 00:00:43.240]  所以這個都是提醒我們要警醒度日
[00:00:43.240 --> 00:00:44.920]  亦都是預備一下
[00:00:44.920 --> 00:00:47.960]  加州 我相信疫情都幫助我們
[00:00:47.960 --> 00:00:51.360]  怎樣都要在家裏有些水 有些儲備
[00:00:51.360 --> 00:00:56.160]  但是地震都是提醒我們要預備好
[00:00:56.160 --> 00:00:59.000]  同時在末世的時候
[00:00:59.000 --> 00:01:02.640]  這些不同的事情提醒我們
[00:01:02.640 --> 00:01:05.680]  我們需要預備自己
[00:01:05.680 --> 00:01:09.800]  彼得前書和彼得後書都有這個信息
[00:01:09.800 --> 00:01:13.240]  就是我們一羣蒙天照
[00:01:13.240 --> 00:01:15.320]  有屬天盼望的人
[00:01:15.320 --> 00:01:17.040]  我們要預備好
[00:01:17.040 --> 00:01:20.560]  我們在末日主再回來的時候
[00:01:20.560 --> 00:01:23.040]  我們應該怎樣爲祂做見證
[00:01:23.040 --> 00:01:30.840]  來到彼得後書比較着重去面對末世的時候
[00:01:30.840 --> 00:01:34.800]  有很多異端和很多假師傅
[00:01:34.800 --> 00:01:37.800]  所以需要在真理上面裝備好自己
[00:01:37.800 --> 00:01:40.320]  以至我們能夠去分辨
[00:01:40.320 --> 00:01:42.720]  和耶穌基督也講過
[00:01:42.720 --> 00:01:44.800]  在主回來之前
[00:01:44.800 --> 00:01:47.440]  其中一個預兆就是有假基督
[00:01:47.440 --> 00:01:49.520]  有這些假先知
[00:01:49.520 --> 00:01:51.200]  有很多的聲音說到
[00:01:51.200 --> 00:01:53.600]  現在基督在哪裏?基督在那裏
[00:01:53.600 --> 00:01:57.120]  他說你們不要輕易相信
[00:01:57.120 --> 00:01:59.120]  因爲在末世的時候
[00:01:59.120 --> 00:02:03.440]  魔鬼也是用各樣的方法來迷惑信徒
[00:02:03.440 --> 00:02:05.200]  迷惑世人
[00:02:05.200 --> 00:02:09.320]  所以在彼得完了第一封書信之後
[00:02:09.320 --> 00:02:11.800]  其實他就講到
[00:02:11.800 --> 00:02:14.120]  在彼得後書第三節
[00:02:14.120 --> 00:02:15.360]  這裏說親愛的弟兄
[00:02:15.360 --> 00:02:19.640]  我現在寫給你們的是第二封信
[00:02:19.640 --> 00:02:22.960]  這兩封都是提醒你們
[00:02:22.960 --> 00:02:26.560]  激發你們誠實的心等等
[00:02:26.560 --> 00:02:31.160]  所以彼得很明顯這兩封書信都有連接
[00:02:31.160 --> 00:02:33.640]  也有一個目的就是提醒信徒
[00:02:33.640 --> 00:02:35.400]  來預備我們自己
[00:02:35.400 --> 00:02:37.760]  也預備我們自己迎見上帝
[00:02:37.760 --> 00:02:40.440]  以至我們有一個誠實的心
[00:02:40.440 --> 00:02:43.400]  也可以翻譯做真理的心
[00:02:43.400 --> 00:02:44.880]  所以這裏讓我們看見
[00:02:44.880 --> 00:02:46.000]  今天這個題目
