
[00:00:00.000 --> 00:00:02.680]  我們中國人有一句說話
[00:00:02.680 --> 00:00:04.800]  我想大家都非常同意
[00:00:04.800 --> 00:00:08.680]  就是「人生不如意之事,十常八九」
[00:00:08.680 --> 00:00:11.800]  我有一位世叔
[00:00:11.800 --> 00:00:17.440]  他很喜歡讀名人的傳記和回憶錄
[00:00:17.440 --> 00:00:22.920]  加上他更加是上一代的人
[00:00:22.920 --> 00:00:25.240]  受苦難特別多
[00:00:25.240 --> 00:00:27.120]  慢慢他就跟我們說
[00:00:27.120 --> 00:00:28.800]  我歸入了一個公式
[00:00:29.120 --> 00:00:33.280]  那些大人物都是受很多苦的
[00:00:33.280 --> 00:00:36.280]  雖然他不是什麼大人物
[00:00:36.280 --> 00:00:38.680]  但是在他家門口
[00:00:38.680 --> 00:00:41.200]  貼了一副對聯
[00:00:41.200 --> 00:00:47.280]  上面寫著「常賞一義,不思八九」
[00:00:47.280 --> 00:00:50.600]  我都不太明白他在說什麼
[00:00:50.600 --> 00:00:51.720]  初看的時候
[00:00:51.720 --> 00:00:54.480]  但是他在一位基督徒上面
[00:00:54.480 --> 00:00:58.640]  橫批上寫著「靠主安慰」
[00:01:00.120 --> 00:01:04.600]  如果我們能夠從保羅的傳道生涯
[00:01:04.600 --> 00:01:08.120]  去看他寫的對聯的時候
[00:01:08.120 --> 00:01:11.320]  我們可能會明白多一些
[00:01:11.320 --> 00:01:17.280]  我們轉讀哥林多後書
[00:01:17.280 --> 00:01:22.320]  這封信是保羅寫給哥林多教會的
[00:01:22.320 --> 00:01:27.760]  讀的時候我們首先來了解一下簡單的背景
[00:01:28.200 --> 00:01:29.400]  哥林多這個地方
[00:01:29.400 --> 00:01:31.480]  就是在羅馬帝哥
[00:01:31.480 --> 00:01:39.760]  希臘南部阿格亞省的省會
[00:01:39.760 --> 00:01:45.520]  在地理上當然是非常之交通發達的
[00:01:45.520 --> 00:01:48.080]  因為它橫跨了兩個海
[00:01:48.080 --> 00:01:49.640]  在兩個海之間
[00:01:49.640 --> 00:01:55.040]  很多運輸都是要經過哥林多這個地方的
[00:01:55.040 --> 00:01:57.560]  因為在中間有一條運河
[00:01:58.800 --> 00:02:01.320]  所以人口是很多的
[00:02:01.320 --> 00:02:02.720]  什麼人都有
[00:02:02.720 --> 00:02:06.680]  但是城中它是偶像林立
[00:02:06.680 --> 00:02:09.200]  道德風氣也非常敗壞
[00:02:09.200 --> 00:02:14.840]  如果有人說你過著一個哥林多化的生活的時候
[00:02:14.840 --> 00:02:19.400]  就代表你的生活是非常之放蕩的
[00:02:23.920 --> 00:02:28.640]  保羅在第二次宣教的時候來到哥林多這個地方
[00:02:28.640 --> 00:02:32.160]  他在這裡住了大約一年半
[00:02:32.160 --> 00:02:36.600]  所以教會相信也是在這個時間來建立的
[00:02:36.600 --> 00:02:40.920]  其後保羅就離開了哥林多
[00:02:40.920 --> 00:02:44.720]  但是他從信徒之間聽到
[00:02:44.720 --> 00:02:47.680]  哥林多教會他們有紛爭
[00:02:47.680 --> 00:02:51.760]  所以保羅先後寫了兩封信去勸戒他們
[00:02:51.760 --> 00:02:55.040]  第一封信已經是失傳了
[00:02:55.040 --> 00:02:58.680]  第二封信就是哥林多前書
[00:02:58.680 --> 00:03:00.360]  這兩封信去了之後
[00:03:00.360 --> 00:03:01.920]  效果不是很大
[00:03:01.920 --> 00:03:09.000]  保羅決定再去哥林多教會看看有什麼事
[00:03:09.000 --> 00:03:13.120]  但是結果還是傷心地離開了
[00:03:13.120 --> 00:03:15.640]  在途中他又寫了一封
[00:03:15.640 --> 00:03:17.720]  措辭非常之嚴厲的信
