
[00:00:00.000 --> 00:00:02.700]  (主席) 兄弟姐妹 午安
[00:00:02.700 --> 00:00:04.900]  (主席) 今日的講題是正式結局
[00:00:04.900 --> 00:00:07.900]  (主席) 先講道士 我們再一次低頭
[00:00:07.900 --> 00:00:13.900]  (主席) 將我們的心思向上帝禱告
[00:00:13.900 --> 00:00:15.100]  (主席) 主耶穌我們多謝祢
[00:00:15.100 --> 00:00:19.500]  (主席) 在崇拜當中 我們一同可以去研讀祢的說話
[00:00:19.500 --> 00:00:23.900]  (主席) 上帝求祢將我們的心思再一次擺在祢面前
[00:00:23.900 --> 00:00:27.600]  (主席) 讓我們轉向祢 讓我們能夠去聆聽祢的話語
[00:00:27.600 --> 00:00:31.000]  (主席) 上帝祢的話語 幫助我們 帶動我們
[00:00:31.000 --> 00:00:33.600]  (主席) 成為我們腳前的燈 路上的光
[00:00:33.600 --> 00:00:35.400]  (主席) 在今日的世代當中
[00:00:35.400 --> 00:00:37.800]  (主席) 教我們行在祢的旨意當中
[00:00:37.800 --> 00:00:40.400]  (主席) 能夠去榮耀祢 見證祢
[00:00:40.400 --> 00:00:43.000]  (主席) 也知道我們活在世上
[00:00:43.000 --> 00:00:45.300]  (主席) 面對正式的結局的時候
[00:00:45.300 --> 00:00:46.700]  (主席) 我們當怎樣行
[00:00:46.700 --> 00:00:49.800]  (主席) 奉耶穌基督名字禱告 阿門
[00:00:49.800 --> 00:00:52.300]  (主席) 有一次我和家人去吃飯
[00:00:52.300 --> 00:00:54.900]  (主席) 就點了菜 上了菜
[00:00:54.900 --> 00:00:58.700]  (主席) 見到夥計推了一輛小車出來
[00:00:58.700 --> 00:01:03.200]  (主席) 到處去問人 有汽水啤酒要不要
[00:01:03.200 --> 00:01:06.200]  (主席) 我第一個感覺 或是第一個即時的反應
[00:01:06.200 --> 00:01:09.700]  (主席) 就想 這間酒樓原來送汽水啤酒的嗎
[00:01:09.700 --> 00:01:11.900]  (主席) 好像沒有這樣說過
[00:01:11.900 --> 00:01:15.200]  (主席) 但見到周圍的人不斷在叫的時候
[00:01:15.200 --> 00:01:18.200]  (主席) 我也和家人叫了點汽水
[00:01:18.200 --> 00:01:21.100]  (主席) 過了沒多久 夥計就逐一走過來
[00:01:21.100 --> 00:01:22.900]  (主席) 看看我們要了些什麼
[00:01:22.900 --> 00:01:25.900]  (主席) 然後就告訴我們多少錢
[00:01:25.900 --> 00:01:29.900]  (主席) 到那一刻 又不好意思還給他
[00:01:29.900 --> 00:01:33.400]  (主席) 原來每一樣東西都要算錢 算數
[00:01:33.400 --> 00:01:35.900]  (主席) 正所謂沒有免費午餐
[00:01:35.900 --> 00:01:37.900]  (主席) 做人做事也是
[00:01:37.900 --> 00:01:41.900]  (主席) 即是你上班上學
[00:01:41.900 --> 00:01:44.900]  (主席) 對面的每一件事情
[00:01:44.900 --> 00:01:47.900]  (主席) 其實我們都會去做的時候
[00:01:47.900 --> 00:01:50.400]  (主席) 都要知道原來有後果的
[00:01:50.400 --> 00:01:52.400]  (主席) 如果你是上班上學的
[00:01:52.400 --> 00:01:54.900]  (主席) 可能你平時懶洋洋
[00:01:54.900 --> 00:01:59.400]  (主席) 不做事 或者等幾時夠鐘才做
[00:01:59.400 --> 00:02:03.900]  (主席) 到 deadline 到要交功課 或者要考試的時候
[00:02:03.900 --> 00:02:08.400]  (主席) 才來趕OT 或者趕加班
[00:02:08.400 --> 00:02:10.900]  (主席) 去捱更底夜 趕功課
[00:02:10.900 --> 00:02:15.900]  (主席) 那種叫做早知今日 何必當初
[00:02:15.900 --> 00:02:17.900]  (主席) 去捱 去做
[00:02:17.900 --> 00:02:20.400]  (主席) 我們平時做每一件事
[00:02:20.400 --> 00:02:23.900]  (主席) 其實原來無論你做好事
[00:02:23.900 --> 00:02:25.900]  (主席) 或者做一些壞事
[00:02:25.900 --> 00:02:28.900]  (主席) 上帝同樣都會去記得我們
[00:02:28.900 --> 00:02:30.900]  (主席) 我們如果做錯事
[00:02:30.900 --> 00:02:33.900]  (主席) 聖經告訴我們 萬不以有罪為無罪
[00:02:33.900 --> 00:02:35.900]  (主席) 上帝是會記得
[00:02:35.900 --> 00:02:39.900]  (主席) 凡事都有後果
[00:02:39.900 --> 00:02:41.900]  (主席) 在剛剛過去的暑假
[00:02:41.900 --> 00:02:43.900]  (主席) 我和我太太和我女兒
[00:02:43.900 --> 00:02:47.900]  (主席) 有一個星期日的下午
[00:02:47.900 --> 00:02:50.900]  (主席) 大家很開心 打算去石澳游水
[00:02:50.900 --> 00:02:54.900]  (主席) 當初我們打算只是去游水
[00:02:54.900 --> 00:02:56.900]  (主席) 所以出門口的時候
[00:02:56.900 --> 00:02:58.900]  (主席) 只帶了必需的錢
[00:02:58.900 --> 00:03:01.900]  (主席) 最重要是帶八達通
[00:03:01.900 --> 00:03:03.900]  (主席) 現在不帶八達通 應該是出不了街
[00:03:03.900 --> 00:03:07.900]  (主席) 證件 於是就去很開心游水
[00:03:07.900 --> 00:03:10.900]  (主席) 游完之後 日落西山
[00:03:10.900 --> 00:03:14.900]  (主席) 有人就說不如在那裡先吃飯
[00:03:14.900 --> 00:03:18.900]  (主席) 我們就說 好啊 這是一個好的提議
[00:03:18.900 --> 00:03:21.900]  (主席) 免得回到家 又要煮 又要洗
[00:03:21.900 --> 00:03:25.900]  (主席) 大家都很累 還要等 很餓
[00:03:25.900 --> 00:03:29.900]  (主席) 於是大家計算一下自己身上有多少錢
[00:03:29.900 --> 00:03:31.900]  (主席) 就走過去叫東西吃
[00:03:31.900 --> 00:03:35.900]  (主席) 就吃了 計算得很準確
[00:03:35.900 --> 00:03:38.900]  (主席) 吃完之後就付錢
[00:03:38.900 --> 00:03:40.900]  (主席) 我和我太太就把我身上的
[00:03:40.900 --> 00:03:43.900]  (主席) 所有的十塊 二十塊
[00:03:43.900 --> 00:03:46.900]  (主席) 全部拿出來 交給我女兒
[00:03:46.900 --> 00:03:49.900]  (主席) 免得結帳尷尬
[00:03:49.900 --> 00:03:52.900]  (主席) 到結帳的時候 伙計走過來
[00:03:52.900 --> 00:03:55.900]  (主席) 女兒 你很長進 很乖 很孝順
[00:03:55.900 --> 00:03:58.900]  (主席) 請父母吃飯
[00:03:58.900 --> 00:04:03.900]  (主席) 有準備去結帳去結帳
[00:04:03.900 --> 00:04:06.900]  (主席) 很重要的 做人做事
[00:04:06.900 --> 00:04:08.900]  (主席) 要結帳有後果
[00:04:08.900 --> 00:04:11.900]  (主席) 我們面向著人生每一個環節
[00:04:11.900 --> 00:04:14.900]  (主席) 每一個細節 同樣地
[00:04:14.900 --> 00:04:17.900]  (主席) 都要知道會有結局
[00:04:17.900 --> 00:04:20.900]  (主席) 有準備總比沒有準備好
[00:04:20.900 --> 00:04:23.900]  (主席) 做人如是 做基督徒
[00:04:23.900 --> 00:04:25.900]  (主席) 都是如是
[00:04:25.900 --> 00:04:28.900]  (主席) 讓他將當時
[00:04:28.900 --> 00:04:31.900]  (主席) 耶穌時代所面向的
[00:04:31.900 --> 00:04:34.900]  (主席) 很多的生活環節 艱難
[00:04:34.900 --> 00:04:37.900]  (主席) 和今天我們這段經文所說到的結局
[00:04:37.900 --> 00:04:40.900]  (主席) 將它拉在一起 放在我們面前
[00:04:40.900 --> 00:04:43.900]  (主席) 繼續著受苦的主題作為背景
[00:04:43.900 --> 00:04:46.900]  (主席) 去顯現出來給我們一班
[00:04:46.900 --> 00:04:49.900]  (主席) 今天的信徒看
[00:04:49.900 --> 00:04:51.900]  (主席) 艱難
[00:04:51.900 --> 00:04:54.900]  (主席) 其實不是今天才有
[00:04:54.900 --> 00:04:58.900]  (主席) 在彼得的時代 其實原來都一樣艱難
[00:04:58.900 --> 00:05:01.900]  (主席) 主耶穌臨上十字架之前
[00:05:01.900 --> 00:05:04.900]  (主席) 祂和一班門徒說
[00:05:04.900 --> 00:05:07.900]  (主席) 祂說 在世上你們有苦難
[00:05:07.900 --> 00:05:11.900]  (主席) 一早已經預示 告訴我們一班信主的人
[00:05:11.900 --> 00:05:13.900]  (主席) 怎樣去生活
[00:05:13.900 --> 00:05:16.900]  (主席) 彼得寫這封彼得前書的時候
[00:05:16.900 --> 00:05:19.900]  (主席) 其實那時候的光景 處境
[00:05:19.900 --> 00:05:21.900]  (主席) 其實都是很艱難的
[00:05:21.900 --> 00:05:24.900]  (主席) 他們那時候 主耶穌升天
[00:05:24.900 --> 00:05:27.900]  (主席) 交代了大使命給一班門徒
[00:05:27.900 --> 00:05:31.900]  (主席) 門徒到處去傳福音 建立教會
[00:05:31.900 --> 00:05:35.900]  (主席) 走到小亞細亞 很多很遠的地方
[00:05:35.900 --> 00:05:37.900]  (主席) 去傳福音
[00:05:37.900 --> 00:05:41.900]  (主席) 去到差不多今天的土耳其 希臘
[00:05:41.900 --> 00:05:43.900]  (主席) 一些很遠的地方
[00:05:43.900 --> 00:05:45.900]  (主席) 那裡傳福音
[00:05:45.900 --> 00:05:48.900]  (主席) 開心的 很多人信耶穌
[00:05:48.900 --> 00:05:50.900]  (主席) 但艱難的地方
[00:05:50.900 --> 00:05:52.900]  (主席) 就是很多當時的外邦人
[00:05:52.900 --> 00:05:54.900]  (主席) 很多的詆毀
[00:05:54.900 --> 00:05:56.900]  (主席) 很多的說話
[00:05:56.900 --> 00:05:59.900]  (主席) 猶太教的教徒
[00:05:59.900 --> 00:06:01.900]  (主席) 那些猶太人
[00:06:01.900 --> 00:06:05.900]  (主席) 有很多的仇恨 嫉妒在當中
[00:06:05.900 --> 00:06:07.900]  (主席) 很艱難
[00:06:07.900 --> 00:06:10.900]  (主席) 對於一班新興 或者基督的新教
[00:06:10.900 --> 00:06:12.900]  (主席) 一班的信徒
[00:06:12.900 --> 00:06:14.900]  (主席) 面對當時的處境
[00:06:14.900 --> 00:06:17.900]  (主席) 其實生活是很不容易
[00:06:17.900 --> 00:06:21.900]  (主席) 加上當時在羅馬帝國的統治之下
[00:06:21.900 --> 00:06:23.900]  (主席) 這班的猶太人
[00:06:23.900 --> 00:06:26.900]  (主席) 其實是一班沒有國籍的人士
[00:06:26.900 --> 00:06:28.900]  (主席) 一班亡國奴
[00:06:28.900 --> 00:06:31.900]  (主席) 用我們今天的說話
[00:06:31.900 --> 00:06:34.900]  (主席) 其實都不知道是三等還是四等的公民
[00:06:34.900 --> 00:06:36.900]  (主席) 所以他們的生活
[00:06:36.900 --> 00:06:40.900]  (主席) 其實是很艱難 很貧窮 很困苦
[00:06:40.900 --> 00:06:43.900]  (主席) 所以在整個的彼得前書當中
[00:06:43.900 --> 00:06:46.900]  (主席) 有十六處這麼多的地方
[00:06:46.900 --> 00:06:48.900]  (主席) 是提到仇苦
[00:06:48.900 --> 00:06:51.900]  (主席) 人生活
[00:06:51.900 --> 00:06:55.900]  (主席) 總是希望平平安安
[00:06:55.900 --> 00:06:58.900]  (主席) 開心開心 健健康康
[00:06:58.900 --> 00:07:01.900]  (主席) 凝視著結局
[00:07:01.900 --> 00:07:07.900]  (主席) 凝視著一個將要結帳的生活
[00:07:07.900 --> 00:07:10.900]  (主席) 其實這個會很影響每一個人
[00:07:10.900 --> 00:07:13.900]  (主席) 你每一天的生活裏面
[00:07:13.900 --> 00:07:15.900]  (主席) 你的生活態度
[00:07:15.900 --> 00:07:17.900]  (主席) 你的人生觀
[00:07:17.900 --> 00:07:20.900]  (主席) 你每天怎樣去面對生活
[00:07:20.900 --> 00:07:22.900]  (主席) 這個很重要
[00:07:22.900 --> 00:07:27.900]  (主席) 特別是如果是一些艱難的日子
[00:07:27.900 --> 00:07:30.900]  (主席) 一些受苦的日子
[00:07:30.900 --> 00:07:34.900]  (主席) 這個顯得更加不容易
[00:07:34.900 --> 00:07:37.900]  (主席) 在今日香港我們的生活裏面
[00:07:37.900 --> 00:07:40.900]  (主席) 你說苦不苦呢
[00:07:40.900 --> 00:07:43.900]  (主席) 可能不同人有不同的看法
[00:07:43.900 --> 00:07:46.900]  (主席) 或者叫見仁見智
[00:07:46.900 --> 00:07:49.900]  (主席) 相對彼得那時候的時代
[00:07:49.900 --> 00:07:52.900]  (主席) 你覺得他苦些 或者他們苦些
[00:07:52.900 --> 00:07:55.900]  (主席) 你說我們苦些呢
[00:07:55.900 --> 00:07:58.900]  (主席) 可能大家都有同樣不同的看法
[00:07:58.900 --> 00:08:01.900]  (主席) 但有一樣東西是很相同的
[00:08:01.900 --> 00:08:04.900]  (主席) 是當時他們面對著的結局
[00:08:04.900 --> 00:08:08.900]  (主席) 我們今日同樣都會面對著
[00:08:08.900 --> 00:08:10.900]  (主席) 一個終末性的結局
[00:08:10.900 --> 00:08:13.900]  (主席) 要埋單這個事實
[00:08:13.900 --> 00:08:15.900]  (主席) 是歷世歷代的信徒
[00:08:15.900 --> 00:08:17.900]  (主席) 一班信主的人
