
[00:00:00.000 --> 00:00:02.540]  不知昨晚睡得好不好呢
[00:00:02.540 --> 00:00:05.880]  看電視很多不同的鏡頭
[00:00:05.880 --> 00:00:08.360]  也都很難睡得著
[00:00:08.360 --> 00:00:13.380]  無論在旺角 無論在尖沙咀 無論在黃大仙
[00:00:13.380 --> 00:00:20.080]  在無線就說黃大仙很多示威者衝擊
[00:00:20.080 --> 00:00:24.200]  於是警察放催淚彈
[00:00:24.200 --> 00:00:29.280]  看有線電視就說一開始是示威者衝擊
[00:00:29.280 --> 00:00:36.360]  後來演變成為黃大仙街坊和警察的衝突
[00:00:36.360 --> 00:00:41.900]  但無論如何我們發現很多東西不是我們能夠控制
[00:00:41.900 --> 00:00:46.580]  現在外面實在太混亂 過不過了
[00:00:46.580 --> 00:00:54.920]  大家太擔心會不會有一天擦槍走火
[00:00:54.920 --> 00:00:57.620]  我們不知道怎麼做
[00:00:57.620 --> 00:01:04.360]  我們唯一知道的就是我們要想我們能夠做些什麼
[00:01:04.360 --> 00:01:09.200]  但無論我們做些什麼之前我們都要知道一樣東西
[00:01:09.200 --> 00:01:14.800]  就是我們的心如何保守 讓神保守我們的心
[00:01:14.800 --> 00:01:17.960]  以致我們的心不要亂
[00:01:17.960 --> 00:01:21.400]  剛才一開始 禮拜之前
[00:01:21.400 --> 00:01:25.740]  林牧師呼籲我們將這個教導
[00:01:25.740 --> 00:01:28.940]  不是靜音 不是叫做震聲
[00:01:28.940 --> 00:01:33.300]  叫做飛行模式 甚至關掉它
[00:01:33.300 --> 00:01:36.280]  如果持你的電影節目我都這樣鼓勵你
[00:01:36.280 --> 00:01:40.600]  原因是現在實在太多資訊太多WhatsApp
[00:01:40.600 --> 00:01:43.000]  不斷戳我們的手機叫我們去看
[00:01:43.000 --> 00:01:45.140]  以致當我們不斷滾動手機的時候
[00:01:45.140 --> 00:01:50.120]  我們心裏面就動搖 心裏面就亂
[00:01:50.120 --> 00:01:55.160]  為自己留一個空間在神面前
[00:01:55.160 --> 00:01:58.080]  以致我們可以靜一靜
[00:01:58.080 --> 00:02:01.140]  坐在神面前想一想
[00:02:01.140 --> 00:02:06.200]  今日那段經文剛才鄧志廣弟已經讀的時候
[00:02:06.200 --> 00:02:08.520]  大家可能覺得很陌生
[00:02:08.520 --> 00:02:10.760]  約沙法是誰呢
[00:02:10.760 --> 00:02:13.480]  他那段祈禱是什麼的祈禱呢
[00:02:13.480 --> 00:02:20.960]  簡單來說約沙法就是舊約的皇帝
[00:02:20.960 --> 00:02:24.560]  這個皇帝在聖經裏面是猶大國
[00:02:24.560 --> 00:02:28.760]  是耶和華所稱許的一個皇帝
[00:02:28.760 --> 00:02:34.040]  因為猶大國裏面不是很多皇帝是上帝所讚賞的
[00:02:34.040 --> 00:02:34.920]  這個是其中一個
[00:02:34.920 --> 00:02:37.480]  因為他在聖經裏面找回耶和華的律法
[00:02:37.480 --> 00:02:39.600]  用來教導以色列人
[00:02:39.600 --> 00:02:45.360]  北國以色列國每一個皇神都稱他們為惡人
[00:02:45.360 --> 00:02:48.760]  恨耶和華眼中看為惡的事
[00:02:48.760 --> 00:02:54.680]  但約沙法王他受到一個大軍的攻擊
[00:02:54.680 --> 00:02:56.320]  一個聯軍的攻擊
[00:02:56.320 --> 00:02:57.920]  他不知道怎麼做
[00:02:57.920 --> 00:03:05.160]  所以猶大眾人和他的孩童妻子兒女都站在耶和華面前
