
[00:00:00.000 --> 00:00:02.000]  好,我們一同去低頭禱告
[00:00:02.000 --> 00:00:09.600]  親愛的父上,我們向祢獻上感謝
[00:00:09.600 --> 00:00:14.080]  因為祢差派了祢獨生的兒子耶穌基督
[00:00:14.080 --> 00:00:16.320]  來到我們世界當中
[00:00:16.320 --> 00:00:18.600]  祂到誠育身
[00:00:18.600 --> 00:00:20.800]  住在我們中間
[00:00:20.800 --> 00:00:24.280]  將上帝祢這份莫大的恩典
[00:00:24.280 --> 00:00:26.280]  帶到我們生命裏面
[00:00:26.280 --> 00:00:29.880]  上主,祢的靈我們向祢懇求
[00:00:30.880 --> 00:00:32.880]  求祢引導我們去明白真理
[00:00:32.880 --> 00:00:36.680]  引導我們能夠聽得明
[00:00:36.680 --> 00:00:38.480]  能夠看得見
[00:00:38.480 --> 00:00:40.880]  上主祢自己的教導
[00:00:40.880 --> 00:00:43.800]  上主祢自己親自去祝福
[00:00:43.800 --> 00:00:45.800]  去引領我們每一個人
[00:00:45.800 --> 00:00:48.520]  我們祈禱,仰望是奉主明求
[00:00:48.520 --> 00:00:49.480]  阿門
[00:00:49.480 --> 00:00:58.080]  因為此我們一起先去中毒
[00:00:58.080 --> 00:01:01.200]  今天我們會一同去分享一段經文
[00:01:01.200 --> 00:01:03.400]  經文記載在《路加福音》
[00:01:03.400 --> 00:01:05.560]  由第一章的三十八節
[00:01:05.560 --> 00:01:07.160]  去到第五十六節
[00:01:07.160 --> 00:01:09.840]  我們一起去中毒
[00:01:09.840 --> 00:01:11.760]  瑪利亞說:
[00:01:11.760 --> 00:01:13.600]  「我是主的使女
[00:01:13.600 --> 00:01:17.120]  情願照祢的話成就在我身上
[00:01:17.120 --> 00:01:19.760]  天使就離開她去了
[00:01:19.760 --> 00:01:22.360]  那時候瑪利亞起身
[00:01:22.360 --> 00:01:24.360]  急忙往山地裏去
[00:01:24.360 --> 00:01:26.680]  來到猶大的一座城
[00:01:27.080 --> 00:01:29.080]  進了撒迦尼亞的家
[00:01:29.080 --> 00:01:31.080]  問伊麗莎白安
[00:01:31.080 --> 00:01:34.080]  伊麗莎白一聽瑪利亞問安
[00:01:34.080 --> 00:01:37.360]  所懷的胎就在腹裏跳動
[00:01:37.360 --> 00:01:40.560]  伊麗莎白且被聖靈充滿
[00:01:40.560 --> 00:01:42.440]  高聲喊著說:
[00:01:42.440 --> 00:01:45.080]  「妳在腹裏中是有福的
[00:01:45.080 --> 00:01:48.120]  妳所懷的胎也是有福的
[00:01:48.120 --> 00:01:50.880]  我主的母到我這裏來
[00:01:50.880 --> 00:01:53.160]  是從那裏得的呢?」
[00:01:53.160 --> 00:01:56.800]  因為妳問安的聲音一入我耳
[00:01:57.200 --> 00:02:00.040]  我腹裏的胎就歡喜跳動
