
[00:00:00.000 --> 00:00:02.000]  好,今日呢我哋繼續去宣講
[00:00:02.000 --> 00:00:04.000]  係哥倫多後書嘅訊息
[00:00:04.000 --> 00:00:06.000]  相信大家都聽咗幾次
[00:00:06.000 --> 00:00:08.000]  之前我哋講哥倫多前書
[00:00:08.000 --> 00:00:10.000]  亦都講咗好多個背景
[00:00:10.000 --> 00:00:12.000]  所以大家應該係唔陌生
[00:00:12.000 --> 00:00:14.000]  關於哥倫多後書嘅內容
[00:00:14.000 --> 00:00:16.000]  今日我主要講到經文呢
[00:00:16.000 --> 00:00:18.000]  其實係可以好短
[00:00:18.000 --> 00:00:20.000]  又可以好長嘅經文
[00:00:20.000 --> 00:00:22.000]  我揀咗兩節嘅約節
[00:00:22.000 --> 00:00:24.000]  係四章五節到六節
[00:00:24.000 --> 00:00:26.000]  但係整段嘅經文牽涉到
[00:00:26.000 --> 00:00:28.000]  四章一節至到五章十節
[00:00:28.000 --> 00:00:30.000]  因為保羅係
[00:00:30.000 --> 00:00:32.000]  面對哥倫多教會嘅時候
[00:00:32.000 --> 00:00:34.000]  佢生命裏面有好多
[00:00:34.000 --> 00:00:36.000]  個人嘅迴響
[00:00:36.000 --> 00:00:38.000]  保羅係一個
[00:00:38.000 --> 00:00:40.000]  性格都幾強烈嘅人
[00:00:40.000 --> 00:00:42.000]  唔知大家知唔知道
[00:00:42.000 --> 00:00:44.000]  佢對一啲嘅事情
[00:00:44.000 --> 00:00:46.000]  特別係真理嘅事情上
[00:00:46.000 --> 00:00:48.000]  覺得啱,佢就會好
[00:00:48.000 --> 00:00:50.000]  嚴正聲明咁樣話
[00:00:50.000 --> 00:00:52.000]  呢個係啱嘅事情
[00:00:52.000 --> 00:00:54.000]  對於錯嘅事情佢會好嚴謹
[00:00:54.000 --> 00:00:56.000]  話呢個係唔啱嘅事情
[00:00:56.000 --> 00:00:58.000]  因為呢個係早期教會嘅發展
[00:00:58.000 --> 00:01:00.000]  大家可以想像
[00:01:00.000 --> 00:01:02.000]  如果啲嘢係錯當咗啱
[00:01:02.000 --> 00:01:04.000]  啱嘅當咗錯
[00:01:04.000 --> 00:01:06.000]  一路延續落嚟教會有好多好多嘅問題
[00:01:06.000 --> 00:01:08.000]  所以保羅係一個好嚴謹嘅
[00:01:08.000 --> 00:01:10.000]  佢係宣教士但係佢都係神學家
[00:01:10.000 --> 00:01:12.000]  佢係牧者但係佢係一個
[00:01:12.000 --> 00:01:14.000]  好嚴謹喺神學思想上
[00:01:14.000 --> 00:01:16.000]  上面去了解
[00:01:16.000 --> 00:01:18.000]  神嘅說話
[00:01:18.000 --> 00:01:20.000]  而當時候嘅哥倫多教會
[00:01:20.000 --> 00:01:22.000]  亦都充斥好多嘅問題
[00:01:22.000 --> 00:01:24.000]  有啲係假先知
[00:01:24.000 --> 00:01:26.000]  佢喺自己嘅名利
[00:01:26.000 --> 00:01:28.000]  佢會講啲說話去服侍教會嘅時候
[00:01:28.000 --> 00:01:30.000]  嗰啲言論其實唔係好正確
[00:01:30.000 --> 00:01:32.000]  所以保羅對佢哋
[00:01:32.000 --> 00:01:34.000]  有啲嘅指斥
[00:01:34.000 --> 00:01:36.000]  喺哥倫多教會因為呢種神學
[00:01:36.000 --> 00:01:38.000]  當時候其中一種係希臘嘅
[00:01:38.000 --> 00:01:40.000]  神話故事
[00:01:40.000 --> 00:01:42.000]  覺得光明
[00:01:42.000 --> 00:01:44.000]  同埋黑暗或者肉體
[00:01:44.000 --> 00:01:46.000]  同埋靈係可以有分別
[00:01:46.000 --> 00:01:48.000]  所以有啲人佢哋放縱肉體
[00:01:48.000 --> 00:01:50.000]  而有啲人就覺得放縱體冇問題
[00:01:50.000 --> 00:01:52.000]  因為肉體同神冇咩嘅
[00:01:52.000 --> 00:01:54.000]  尖嚴
[00:01:54.000 --> 00:01:56.000]  所以當中有淫亂嘅問題
[00:01:56.000 --> 00:01:58.000]  呢啲係唔可以接受嘅
[00:01:58.000 --> 00:02:00.000]  保羅係指斥佢哋
