
[00:00:00.000 --> 00:00:04.360]  今天我的題目是《御虎奇》
[00:00:04.360 --> 00:00:06.560]  講第三次了
[00:00:06.560 --> 00:00:10.040]  就是一個系列
[00:00:10.040 --> 00:00:11.640]  一個《御虎奇》的系列
[00:00:11.640 --> 00:00:20.440]  去預備我們弟兄姊妹一起去迎接主復活的日子
[00:00:20.440 --> 00:00:23.280]  在這個《御虎奇》的當中
[00:00:23.280 --> 00:00:26.400]  上一個星期牧師就說
[00:00:26.400 --> 00:00:28.600]  「昂然踏著前步去」
[00:00:28.600 --> 00:00:32.400]  他用這首歌去做這個主題
[00:00:32.400 --> 00:00:35.640]  實在令我們很深刻
[00:00:35.640 --> 00:00:41.760]  應該是想年紀的人會比較深刻印象
[00:00:41.760 --> 00:00:43.440]  是因為這首歌
[00:00:43.440 --> 00:00:46.400]  就是耶穌祂很
[00:00:46.400 --> 00:00:47.280]  是不是有些人
[00:00:47.280 --> 00:00:48.240]  我看到這邊的人
[00:00:48.240 --> 00:00:51.920]  我不知道是什麼來的
[00:00:51.920 --> 00:00:54.280]  我就有深刻印象了
[00:00:54.280 --> 00:00:57.440]  就是耶穌就是我們一個很好的榜樣
[00:00:57.440 --> 00:01:01.000]  就是當祂面對一個困苦在前頭
[00:01:01.000 --> 00:01:04.600]  就是剛才那首敬拜的詩歌有一句
[00:01:04.600 --> 00:01:08.360]  就是「世界在背後,十架在前頭」
[00:01:08.360 --> 00:01:09.840]  耶穌就是我們的榜樣
[00:01:09.840 --> 00:01:11.320]  祂面對十架
[00:01:11.320 --> 00:01:14.280]  其實十字架是一個苦難
[00:01:14.280 --> 00:01:18.640]  但是祂就是昂然這樣踏著前步向前行
[00:01:18.640 --> 00:01:20.720]  面對這個苦難
[00:01:20.720 --> 00:01:25.640]  今天我們就說回路加福音的再前一點的部分
[00:01:25.640 --> 00:01:29.080]  我給了一個題目它是「悔改」
[00:01:29.080 --> 00:01:32.280]  當我們見到悔改
[00:01:32.280 --> 00:01:34.840]  不知道你想到悔改
[00:01:34.840 --> 00:01:38.200]  什麼人要悔改呢
[00:01:38.200 --> 00:01:39.000]  悔改呢
[00:01:39.000 --> 00:01:41.920]  我們會想一定是有些事情
[00:01:41.920 --> 00:01:45.240]  你要不要再做了
[00:01:45.240 --> 00:01:48.040]  要走回頭
[00:01:48.040 --> 00:01:50.520]  或者是向另一個方向
[00:01:50.520 --> 00:01:52.080]  不要再向這個方向
[00:01:52.080 --> 00:01:53.840]  要向另一個方向走
[00:01:53.840 --> 00:01:56.200]  有些事情你要改
[00:01:56.200 --> 00:02:02.080]  什麼人才需要悔改呢
[00:02:02.080 --> 00:02:07.080]  做錯事的人
[00:02:07.080 --> 00:02:11.520]  沒理由沒有做錯事的人都要悔改
[00:02:11.520 --> 00:02:13.800]  今天這個題目
