
[00:00:00.000 --> 00:00:06.440]  父親節 首先是恭祝每一位在座的父親 父親節快樂
[00:00:06.440 --> 00:00:08.560]  我們也都在講針研
[00:00:08.560 --> 00:00:12.320]  所以我在針研裡面也都找了一篇
[00:00:12.320 --> 00:00:15.360]  是適合父親節的一篇道
[00:00:15.360 --> 00:00:17.860]  叫做父母的智慧
[00:00:17.860 --> 00:00:20.500]  雖然說是父母的智慧
[00:00:20.500 --> 00:00:24.140]  做爸爸的和媽媽的都是有份
[00:00:24.140 --> 00:00:27.520]  但是這一篇道 我覺得是比較
[00:00:27.520 --> 00:00:29.520]  對爸爸來說更加重要
[00:00:29.520 --> 00:00:33.460]  因為中國人說 養不教父之過
[00:00:33.460 --> 00:00:36.660]  今天的這個篇道就是說
[00:00:36.660 --> 00:00:41.640]  怎樣來教養 怎樣來管教我們的子女
[00:00:41.640 --> 00:00:45.380]  有人說 我的子女都長大了
[00:00:45.380 --> 00:00:50.340]  如果你長大了 你可以教你的孫子 孫女
[00:00:50.340 --> 00:00:53.380]  也都有人說 我根本沒有子女
[00:00:53.380 --> 00:00:55.120]  如果你沒有子女的話
[00:00:55.120 --> 00:00:57.120]  我相信你今天學到的
[00:00:57.120 --> 00:01:01.420]  你都可以用來教導你的侄子 侄女
[00:01:01.420 --> 00:01:03.420]  可以說今天所講的
[00:01:03.420 --> 00:01:11.180]  可以用來教導下一輩的朋友 弟兄姊妹
[00:01:11.180 --> 00:01:16.180]  我們一起來看看詩篇第127篇的三節
[00:01:16.180 --> 00:01:20.180]  兒女是耶和華所賜的產業
[00:01:20.180 --> 00:01:22.180]  你說什麼這麼奇怪
[00:01:22.180 --> 00:01:23.780]  子女是產業
[00:01:23.780 --> 00:01:25.780]  當我們講起產業來講
[00:01:25.780 --> 00:01:28.780]  我們就會想起房地產
[00:01:28.780 --> 00:01:33.780]  甚至可能是你的金銀財寶
[00:01:33.780 --> 00:01:35.780]  都是一些物質的東西
[00:01:35.780 --> 00:01:37.780]  為什麼聖經裡面說
[00:01:37.780 --> 00:01:41.780]  子女是耶和華所賜的產業這麼有趣呢
[00:01:41.780 --> 00:01:43.780]  講起產業
[00:01:43.780 --> 00:01:46.780]  有沒有想過其實我們有多少產業
[00:01:46.780 --> 00:01:49.780]  我們可以帶回天家 可以帶上天堂
[00:01:49.780 --> 00:01:56.780]  沒有的 好像約伯記一章二十一節
[00:01:56.780 --> 00:01:58.780]  說我赤身來到這個世上
[00:01:58.780 --> 00:02:00.780]  我是赤身而走
[00:02:00.780 --> 00:02:02.780]  不能夠帶任何的東西走
[00:02:02.780 --> 00:02:06.780]  但是神話在詩篇第127篇
[00:02:06.780 --> 00:02:08.780]  子女是我們的產業
[00:02:08.780 --> 00:02:10.780]  如果你想深一層
