
[00:00:00.000 --> 00:00:02.500]  對保羅有一些的抗辯
[00:00:02.500 --> 00:00:04.000]  有一些的不相信
[00:00:04.000 --> 00:00:06.500]  有一些的拒絕
[00:00:06.500 --> 00:00:09.500]  所以保羅在這些經文裡面
[00:00:09.500 --> 00:00:12.000]  一次又一次地提出自己的心聲
[00:00:12.000 --> 00:00:16.000]  也都請對方去打開他的心門
[00:00:16.000 --> 00:00:20.000]  當我在侍奉這二十多年裡面
[00:00:20.000 --> 00:00:24.500]  發覺很多人的生命的問題都是重重復復
[00:00:24.500 --> 00:00:27.000]  有些的性格是
[00:00:27.000 --> 00:00:29.500]  由小到成長
[00:00:29.500 --> 00:00:31.000]  未信主到信主
[00:00:31.000 --> 00:00:33.500]  信主初信到信了很久
[00:00:33.500 --> 00:00:38.000]  那些問題都是重重復復
[00:00:38.000 --> 00:00:41.000]  其實很多的機會我們可以有成長
[00:00:41.000 --> 00:00:43.500]  但有時我們將信仰抽象化
[00:00:43.500 --> 00:00:45.500]  神你告訴我我就會改了
[00:00:45.500 --> 00:00:47.500]  不過旁邊有一百幾十人告訴你
[00:00:47.500 --> 00:00:49.000]  他從來都不會改
[00:00:49.000 --> 00:00:51.500]  有人提醒他這樣不是好的事情
[00:00:51.500 --> 00:00:53.500]  他說神都沒有跟我說
[00:00:53.500 --> 00:00:56.500]  但他不知道神透過身邊很多人跟他說
[00:00:56.500 --> 00:00:59.500]  我們的生命有些可以成長的地方
[00:00:59.500 --> 00:01:02.500]  今天我們看看這段經文
[00:01:02.500 --> 00:01:05.500]  我想請姐妹讀單節
[00:01:05.500 --> 00:01:07.500]  弟兄讀雙節
[00:01:07.500 --> 00:01:10.500]  我們慢慢讀完這一段經文
[00:01:10.500 --> 00:01:12.500]  然後我會和大家分享
[00:01:12.500 --> 00:01:13.500]  請姐妹先讀
[00:01:26.500 --> 00:01:31.500]  你們哪裡要照樣如同他們相報那旁
[00:01:31.500 --> 00:01:35.500]  我這話正像對自己的孩子說的
[00:01:35.500 --> 00:01:39.000]  你們和不信的緣不相配
[00:01:39.000 --> 00:01:41.000]  不要同父恩厄
