
[00:00:00.000 --> 00:00:01.640]  我繼續用《司徒信經》
[00:00:01.640 --> 00:00:03.240]  今天去到第十篇的講道
[00:00:03.240 --> 00:00:05.040]  亦是去到第二部份
[00:00:05.040 --> 00:00:09.760]  一個大部份關於耶穌基督的第七篇講章
[00:00:09.760 --> 00:00:13.320]  是關於耶穌基督第七個宣告
[00:00:13.320 --> 00:00:16.120]  祂說「我是真葡萄樹」
[00:00:16.120 --> 00:00:17.000]  如果看《約翰福音》
[00:00:17.000 --> 00:00:19.840]  由十三章開始一直到第十八章的時候
[00:00:19.840 --> 00:00:21.800]  我們看到一大段的聖經
[00:00:21.800 --> 00:00:25.080]  都是在說耶穌基督在耶路撒冷
[00:00:25.080 --> 00:00:29.040]  在祂人生最後一個星期裏面的一些事情
[00:00:29.040 --> 00:00:30.640]  去到耶路撒冷的時候
[00:00:30.640 --> 00:00:31.960]  當祂進城的時候
[00:00:31.960 --> 00:00:33.600]  我們看到很多的百姓
[00:00:33.600 --> 00:00:37.400]  他們是歡迎耶穌基督進入耶路撒冷
[00:00:37.400 --> 00:00:39.880]  他們要歌頌讚美耶穌
[00:00:39.880 --> 00:00:41.560]  「和珊娜 和珊娜」
[00:00:41.560 --> 00:00:43.000]  他們將宗女樹枝
[00:00:43.000 --> 00:00:45.000]  甚至將自己的外衣脫下
[00:00:45.000 --> 00:00:45.880]  擺在地上
[00:00:45.880 --> 00:00:49.040]  來歡迎主耶穌進入耶路撒冷
[00:00:49.040 --> 00:00:50.240]  可惜同一班人
[00:00:50.240 --> 00:00:51.280]  同一班百姓
[00:00:51.280 --> 00:00:54.200]  四天之後同樣是同一班人
[00:00:54.200 --> 00:00:57.120]  卻要釘死耶穌基督
[00:00:57.120 --> 00:01:03.000]  都是一班曾經很踴躍歡迎耶穌進城的一班百姓
[00:01:03.000 --> 00:01:06.320]  原來人的變臉是可以很快的
[00:01:06.320 --> 00:01:07.960]  一時間 幾天之內
[00:01:07.960 --> 00:01:11.520]  可以由歡迎去到要釘死耶穌基督
[00:01:11.520 --> 00:01:12.800]  在十字架上面
[00:01:12.800 --> 00:01:13.640]  最後一個星期裏面
[00:01:13.640 --> 00:01:15.600]  我們看到耶穌做了很多事情
[00:01:15.600 --> 00:01:17.640]  耶穌不單止幫蒙徒洗腳
