
[00:00:00.000 --> 00:00:02.000]  親愛的兄弟姐妹
[00:00:02.000 --> 00:00:05.860]  很不習慣在禮堂裡十個人都不夠
[00:00:05.860 --> 00:00:07.860]  那種感覺、感受
[00:00:07.860 --> 00:00:09.860]  但是我知道你們在家裡
[00:00:09.860 --> 00:00:15.180]  我願意大家都能夠專心繼續去敬拜
[00:00:15.180 --> 00:00:17.180]  一起來去敬拜
[00:00:17.180 --> 00:00:19.180]  其實就是一個
[00:00:19.180 --> 00:00:21.180]  去告訴別人
[00:00:21.180 --> 00:00:23.180]  一個真實
[00:00:23.180 --> 00:00:26.400]  而又眼見不到的天國
[00:00:26.400 --> 00:00:29.360]  是真的實實在在的存在
[00:00:29.360 --> 00:00:32.180]  要我們真的帶著這樣的心
[00:00:32.180 --> 00:00:35.720]  來呈獻我們這個敬拜
[00:00:35.720 --> 00:00:39.300]  我們不能走在一起
[00:00:39.300 --> 00:00:42.380]  但是我們的心智是不改變的
[00:00:42.380 --> 00:00:44.380]  我們是敬拜那位實在
[00:00:44.380 --> 00:00:46.840]  雖然眼見不到的上帝
[00:00:46.840 --> 00:00:48.840]  我們一起來祈禱
[00:00:48.840 --> 00:00:52.340]  天上的爸爸我們多謝你
[00:00:52.340 --> 00:00:54.340]  因為藉著你的聖餐
[00:00:54.340 --> 00:00:56.340]  你給我們很多提醒
[00:00:56.340 --> 00:00:59.180]  我們回望耶穌基督的生命
[00:00:59.180 --> 00:01:04.020]  祂怎樣成就神理的完美拯救計劃
[00:01:04.020 --> 00:01:08.480]  以致我們今天蒙選一個蒙恩的罪人
[00:01:08.480 --> 00:01:10.480]  又給牧師的經文
[00:01:10.480 --> 00:01:13.340]  再一次提醒我們
[00:01:13.340 --> 00:01:17.860]  今天我們怎樣去為主作見證
[00:01:17.860 --> 00:01:19.860]  活出主導
[00:01:19.860 --> 00:01:21.860]  我求主你幫助我們
[00:01:21.860 --> 00:01:24.340]  這些說話這些提醒
[00:01:24.340 --> 00:01:26.340]  就是我們今天去思考
[00:01:26.340 --> 00:01:29.340]  挑戰我們自己生命的一個機會
[00:01:29.340 --> 00:01:31.340]  求主你幫助
[00:01:31.340 --> 00:01:34.340]  也為我們仍然在敬拜的
[00:01:34.340 --> 00:01:36.340]  求主讓我們一起有尊心
[00:01:36.340 --> 00:01:38.340]  一起有仰望祢的時刻
[00:01:38.340 --> 00:01:40.340]  我們這樣的禱告
[00:01:40.340 --> 00:01:42.340]  是奉主耶穌基督的名求
[00:01:42.340 --> 00:01:44.340]  阿門
[00:01:44.340 --> 00:01:47.340]  我們一直在看《肥納比書》
[00:01:47.340 --> 00:01:50.340]  我們都知道《肥納比書》
[00:01:50.340 --> 00:01:54.340]  其實是一個很大的段落
