
[00:00:00.000 --> 00:00:02.180]  讓我們再次同心祈禱
[00:00:02.180 --> 00:00:09.940]  請祢多謝祢的恩典
[00:00:09.940 --> 00:00:14.040]  讓我們能夠在聖典當中相聚
[00:00:14.040 --> 00:00:19.640]  每一次都來看見我們何等的蒙福
[00:00:19.640 --> 00:00:22.800]  也讓我們在生活當中
[00:00:22.800 --> 00:00:25.120]  同樣經歷祢的恩典
[00:00:25.120 --> 00:00:26.960]  亦能與人分享
[00:00:26.960 --> 00:00:29.720]  更加成為別人的激勵和榜樣
[00:00:30.000 --> 00:00:32.060]  願瀑人口中的言語
[00:00:32.060 --> 00:00:34.320]  領姊妹的心思意念
[00:00:34.320 --> 00:00:35.920]  夢聖靈的啟迪
[00:00:35.920 --> 00:00:37.200]  夢主的悅納
[00:00:37.200 --> 00:00:39.600]  禱告藉主耶穌基督的聖名而後
[00:00:39.600 --> 00:00:40.600]  阿們
[00:00:40.600 --> 00:00:48.480]  模仿似乎是與生俱來
[00:00:48.480 --> 00:00:51.400]  在人小的時候
[00:00:51.400 --> 00:00:54.480]  我們的模仿力是特別強的
[00:00:54.480 --> 00:00:57.120]  我們的生活習慣
[00:00:57.360 --> 00:01:02.360]  包括我們的飲食、談吐、舉止等等
[00:01:02.360 --> 00:01:07.160]  都是從模仿我們的父母或者家人而來
[00:01:07.160 --> 00:01:09.760]  慢慢地建立出來
[00:01:09.760 --> 00:01:11.960]  不過
[00:01:11.960 --> 00:01:17.120]  現在因為工作的模式和時間改變了
[00:01:17.120 --> 00:01:18.760]  所以很多小朋友
[00:01:18.760 --> 00:01:22.360]  不是模仿他的家長或者家人
[00:01:22.360 --> 00:01:24.800]  怎樣來跟他說話等等
[00:01:24.800 --> 00:01:27.960]  多數都是模仿電視劇
[00:01:27.960 --> 00:01:30.600]  或者模仿卡通片
[00:01:30.600 --> 00:01:33.880]  所以我們會看到
[00:01:33.880 --> 00:01:35.400]  通常男孩子
[00:01:35.400 --> 00:01:37.680]  小時候最喜歡模仿什麼呢?
[00:01:37.680 --> 00:01:39.520]  就是那些超人打怪獸
[00:01:39.520 --> 00:01:40.960]  所以每個小朋友
[00:01:40.960 --> 00:01:42.600]  男孩子就是超人
[00:01:42.600 --> 00:01:44.200]  女孩子做什麼呢?
[00:01:44.200 --> 00:01:45.920]  當然是公主
[00:01:45.920 --> 00:01:47.920]  很漂亮的公主
[00:01:47.920 --> 00:01:49.440]  很長的孖鞭
[00:01:49.440 --> 00:01:52.400]  裙子要散開
[00:01:52.400 --> 00:01:53.840]  就最喜歡了
[00:01:53.840 --> 00:01:58.000]  這些就是小朋友喜歡模仿的對象
[00:01:58.000 --> 00:02:00.280]  我們作為家長
[00:02:00.280 --> 00:02:05.400]  因為知道小朋友會受電視、卡通片的影響
[00:02:05.400 --> 00:02:06.760]  我們都會留意一下
[00:02:06.760 --> 00:02:10.160]  究竟他們模仿的主角
