
[00:00:00.000 --> 00:00:04.240]  其實今天早上我一直在跟大家說一些很興奮的事情
[00:00:04.240 --> 00:00:08.560]  但是人生是不是時常這麼興奮呢?
[00:00:08.560 --> 00:00:10.000]  其實不是的
[00:00:10.000 --> 00:00:12.640]  人生很多時候都有很多苦難
[00:00:12.640 --> 00:00:14.240]  去年十一月的時候
[00:00:14.240 --> 00:00:18.240]  其實我們下帝教會國語崇拜有一件很不幸的事情
[00:00:18.240 --> 00:00:19.920]  是很傷心的
[00:00:19.920 --> 00:00:22.960]  我們有一個在中國大陸來的神學生
[00:00:22.960 --> 00:00:24.960]  親愛國語崇拜
[00:00:24.960 --> 00:00:27.360]  他有一個寶寶
[00:00:27.360 --> 00:00:28.400]  不夠一個月
[00:00:28.400 --> 00:00:29.360]  不夠一年
[00:00:29.360 --> 00:00:31.360]  我看是六個月到九個月左右
[00:00:31.360 --> 00:00:32.560]  不知道幾多個月
[00:00:32.560 --> 00:00:36.240]  有一天忽然之間在媽媽的懷中哭了十五分鐘
[00:00:36.240 --> 00:00:38.240]  就死了
[00:00:38.240 --> 00:00:40.240]  是很傷心的一件事
[00:00:40.240 --> 00:00:42.240]  大家可能聽過
[00:00:42.240 --> 00:00:44.240]  這些叫做突然死亡症
[00:00:44.240 --> 00:00:46.240]  這些是猝死症
[00:00:46.240 --> 00:00:48.240]  法醫官沒辦法
[00:00:48.240 --> 00:00:50.240]  去找出原因
[00:00:50.240 --> 00:00:52.240]  問了很多口供
[00:00:52.240 --> 00:00:54.240]  怕著不知道什麼原因離開世界
[00:00:54.240 --> 00:01:01.360]  是很難去面對的一瞬間
[00:01:01.360 --> 00:01:03.360]  不過我們做牧師的話
[00:01:03.360 --> 00:01:05.360]  可能我們看事情
[00:01:05.360 --> 00:01:07.360]  有時會有不同的角度
[00:01:07.360 --> 00:01:09.360]  當然
[00:01:09.360 --> 00:01:12.560]  從人的角度已經是很傷心難過的事
[00:01:12.560 --> 00:01:14.560]  不過很多時候
[00:01:14.560 --> 00:01:16.560]  讓我想起
[00:01:16.560 --> 00:01:18.560]  其實在教會裡面
[00:01:18.560 --> 00:01:22.560]  也有很多屬靈的猝死症
[00:01:22.560 --> 00:01:26.560]  Spiritual Sudden Death Syndrome
[00:01:26.560 --> 00:01:28.560]  意思是什麼呢
[00:01:28.560 --> 00:01:30.560]  其實很多人相信耶穌之後
