
[00:00:00.000 --> 00:00:02.000]  朋友們 早安
[00:00:02.000 --> 00:00:06.000]  很高興今天有這個機會來跟各位分享訊息
[00:00:06.000 --> 00:00:08.500]  我都要跟各位分享
[00:00:08.500 --> 00:00:11.500]  就是希望愛的核心價值
[00:00:11.500 --> 00:00:13.500]  就是core value
[00:00:13.500 --> 00:00:15.500]  核心價值就是
[00:00:15.500 --> 00:00:17.000]  一個國家
[00:00:17.000 --> 00:00:19.500]  它的中心思想 它的建國理念
[00:00:19.500 --> 00:00:21.000]  一個社會
[00:00:21.000 --> 00:00:23.500]  它的文化 它的價值
[00:00:23.500 --> 00:00:25.000]  還有一個人
[00:00:25.000 --> 00:00:26.500]  他生命所追求的
[00:00:26.500 --> 00:00:28.500]  這叫做他的核心價值
[00:00:29.000 --> 00:00:32.000]  當然一個教會也有它的核心價值
[00:00:32.000 --> 00:00:33.500]  譬如說
[00:00:33.500 --> 00:00:36.000]  當我們說到安提拉的教會
[00:00:36.000 --> 00:00:38.000]  你會怎麼說它呢
[00:00:38.000 --> 00:00:39.000]  我們都知道
[00:00:39.000 --> 00:00:42.000]  它是一個宣教的教會
[00:00:42.000 --> 00:00:44.000]  因為保羅第一次宣教
[00:00:44.000 --> 00:00:45.500]  第二次宣教
[00:00:45.500 --> 00:00:49.000]  都是安提拉教會裁判
[00:00:49.000 --> 00:00:53.000]  神又會怎麼說希望愛的糧堂呢
[00:00:53.000 --> 00:00:56.000]  譬如說老底家的教會
[00:00:56.000 --> 00:00:57.500]  在起訴裡面
[00:00:57.500 --> 00:01:00.500]  神說你們不冷也不熱
[00:01:00.500 --> 00:01:02.500]  我真是要把你們吐出來
[00:01:02.500 --> 00:01:04.500]  你們以為是富足的
[00:01:04.500 --> 00:01:08.000]  但是你們要用錢去買白衣才能夠聖潔
[00:01:08.000 --> 00:01:10.500]  你們要用錢去買眼藥
[00:01:10.500 --> 00:01:14.000]  讓你們的眼睛才能夠看清楚
[00:01:14.000 --> 00:01:16.000]  一個公司行號
[00:01:16.000 --> 00:01:18.000]  也有它的核心價值
[00:01:18.000 --> 00:01:19.500]  譬如說
[00:01:19.500 --> 00:01:21.000]  蘋果電腦
[00:01:21.000 --> 00:01:22.500]  Apple Computer
[00:01:22.500 --> 00:01:25.000]  它的核心價值是說
[00:01:25.000 --> 00:01:28.000]  求之若柯 謙惜若魚
[00:01:28.000 --> 00:01:31.000]  Luxus 靈智汽車呢
[00:01:31.000 --> 00:01:34.000]  我們專注完美
[00:01:34.000 --> 00:01:35.500]  竟不苛求
[00:01:35.500 --> 00:01:38.000]  它們的價值是定的多高
[00:01:38.000 --> 00:01:41.000]  它們的標準是定的多高
[00:01:41.000 --> 00:01:42.500]  當然我們基督徒
[00:01:42.500 --> 00:01:44.000]  我們教會
[00:01:44.000 --> 00:01:47.500]  我們也是定的很高的一個核心價值
[00:01:47.500 --> 00:01:51.000]  這個核心價值是說我們一心要追求的
[00:01:51.000 --> 00:01:54.000]  不是說那個很簡簡單單的
