
[00:00:00.000 --> 00:00:05.240]  今天我們來到一個求生者的終結篇
[00:00:05.240 --> 00:00:06.760]  就是我們最後一講
[00:00:06.760 --> 00:00:08.360]  我們在這個世界裏面生活
[00:00:08.360 --> 00:00:11.400]  其實要面對很多人生上的挑戰
[00:00:11.400 --> 00:00:15.200]  特別大家知道我們在這個社會世界當中
[00:00:15.200 --> 00:00:21.000]  沒有辦法避免不會遇到邪惡不公義的事
[00:00:21.000 --> 00:00:24.520]  因為我們根本就活在一個很有問題的社會
[00:00:24.520 --> 00:00:26.680]  很有問題的世界當中
[00:00:26.680 --> 00:00:30.960]  當然我們有時到一個地步都不想看新聞
[00:00:30.960 --> 00:00:34.400]  因為新聞裏面講的都是激烈的
[00:00:34.400 --> 00:00:37.440]  令我們很難過不想去見的事
[00:00:37.440 --> 00:00:40.320]  邪惡的事有時令我們很難想像
[00:00:40.320 --> 00:00:43.400]  在人類的社會當中我們是有人性的
[00:00:43.400 --> 00:00:45.240]  但為何有時會做出一些事
[00:00:45.240 --> 00:00:49.640]  是超乎我們人的人性所能去了解和接納的呢
[00:00:49.640 --> 00:00:52.920]  轟動如閃過牌的Orlando
[00:00:52.920 --> 00:00:56.360]  一個人在亂槍殺死了49人
[00:00:56.360 --> 00:00:57.600]  傷了很多人
[00:00:57.600 --> 00:01:02.000]  這些是全國全世界都震驚的事
[00:01:02.000 --> 00:01:03.400]  你很難想像一個人
[00:01:03.400 --> 00:01:06.640]  怎可以這麼冷血做出這樣的事情
[00:01:06.640 --> 00:01:08.640]  但小魚在家裏面
[00:01:08.640 --> 00:01:12.160]  這個Weekend大家知道家新有一個家庭營
[00:01:12.160 --> 00:01:15.920]  為甚麼 因為原來在家庭當中有很多問題
[00:01:15.920 --> 00:01:18.040]  在美國的家庭裏面
[00:01:18.040 --> 00:01:21.080]  家庭暴力是很常見的事
[00:01:21.080 --> 00:01:23.520]  所以我們發覺時不時會聽到
[00:01:23.520 --> 00:01:26.240]  有個妻子有個小朋友
[00:01:26.240 --> 00:01:29.960]  在家裏面受到一些虐待
[00:01:29.960 --> 00:01:33.000]  無論是身體上還是情緒上
[00:01:33.000 --> 00:01:35.920]  很多時候在他們的人生當中
[00:01:35.920 --> 00:01:41.760]  留下一個似乎很難以去磨滅的傷痕
[00:01:41.760 --> 00:01:44.360]  我希望我們當中的頂尖女朋友們
[00:01:44.360 --> 00:01:48.840]  你不會有太多機會遇到這些邪惡的事情
[00:01:48.840 --> 00:01:50.520]  發生在你的身上
[00:01:50.520 --> 00:01:54.560]  但無可否認只要你稍為留意一下的話
[00:01:54.560 --> 00:01:59.800]  我們根本會活在一個很邪惡不公的社會當中
[00:01:59.800 --> 00:02:01.720]  所以今天我們講到這個最後的題目
[00:02:01.720 --> 00:02:03.520]  「以善勝惡」
[00:02:03.520 --> 00:02:04.640]  How can we do that?
[00:02:04.640 --> 00:02:06.120]  怎樣能夠以善勝惡?
[00:02:06.120 --> 00:02:07.440]  為甚麼我們要以善勝惡呢?
[00:02:07.440 --> 00:02:10.120]  惡不是應該用惡去對付的嗎?
[00:02:10.120 --> 00:02:12.680]  所以當我們講到這個問題的時候
[00:02:12.680 --> 00:02:17.120]  我們都會從一個受害者的立場去看
[00:02:17.120 --> 00:02:19.480]  有誰覺得自己很邪惡?
[00:02:19.480 --> 00:02:20.760]  可能你不覺得
[00:02:20.760 --> 00:02:22.080]  我不覺得自己很邪惡
[00:02:22.080 --> 00:02:23.360]  當我們講到以善勝惡的時候
[00:02:23.360 --> 00:02:28.640]  大家會說萬一我落在一個很邪惡的處境當中
[00:02:28.640 --> 00:02:31.360]  或者落在一個很邪惡的人手裡的時候
[00:02:31.360 --> 00:02:33.640]  我怎樣能夠以善勝惡呢?
[00:02:33.640 --> 00:02:35.360]  可能你看這個題目的時候
[00:02:35.360 --> 00:02:38.720]  這是第一個帶給你的思想
[00:02:38.720 --> 00:02:40.920]  我們不會覺得自己邪惡
[00:02:40.920 --> 00:02:43.960]  但事實上又是不是真的這樣呢?
[00:02:43.960 --> 00:02:47.280]  我們在座當中有很多弟兄、男士們
[00:02:47.280 --> 00:02:49.680]  問你一個很簡單的問題
[00:02:49.680 --> 00:02:53.440]  我們經常聽過「朋友妻不可欺人」
[00:02:53.440 --> 00:02:54.760]  有沒有聽過?
[00:02:54.760 --> 00:02:57.440]  即是不要搞朋友的老婆
[00:02:57.440 --> 00:02:58.640]  很簡單的道理
[00:02:58.640 --> 00:02:59.360]  你會不會呢?
[00:02:59.360 --> 00:03:01.600]  你不會,因為你不敢
[00:03:01.600 --> 00:03:03.640]  你不敢的話就會坐牢
[00:03:03.640 --> 00:03:06.400]  對你的同事朋友也好
[00:03:06.400 --> 00:03:07.800]  你不敢做這些事情
[00:03:07.800 --> 00:03:10.080]  因為你考慮到那個後果
[00:03:10.080 --> 00:03:12.080]  但是
[00:03:12.080 --> 00:03:12.960]  如果我問
[00:03:12.960 --> 00:03:14.760]  有沒有曾經一些邪惡
[00:03:14.760 --> 00:03:16.840]  類似邪惡的念頭
[00:03:16.840 --> 00:03:19.800]  出現過在你的腦海裡呢?
[00:03:19.800 --> 00:03:21.840]  可能我們就不敢說了
[00:03:21.840 --> 00:03:23.360]  會不會呢?
[00:03:23.360 --> 00:03:24.960]  上個星期有人送了兩張門票給我
[00:03:24.960 --> 00:03:27.320]  我看了許冠文動不動就笑了
[00:03:27.320 --> 00:03:29.840]  他說男人只有三種
[00:03:29.840 --> 00:03:31.040]  很色情
[00:03:31.040 --> 00:03:32.040]  極端色情
[00:03:32.040 --> 00:03:33.360]  然後色情狂
[00:03:33.360 --> 00:03:34.600]  是三種男人
[00:03:34.600 --> 00:03:36.720]  是三種了
[00:03:36.720 --> 00:03:37.160]  OK
[00:03:37.160 --> 00:03:37.880]  那就動不動就笑了
[00:03:37.880 --> 00:03:40.440]  不過我不是許冠文
[00:03:40.440 --> 00:03:41.800]  姐妹呢?
[00:03:41.800 --> 00:03:43.840]  姐妹很多時候我們不會出手傷人的
[00:03:43.840 --> 00:03:44.400]  為什麼呢?
[00:03:44.400 --> 00:03:46.240]  嘩!又是失私民
[00:03:46.240 --> 00:03:49.480]  一個女士們怎麼會用手打人呢?
[00:03:49.480 --> 00:03:50.960]  雖然我們很少見到
[00:03:50.960 --> 00:03:52.080]  我也見過
[00:03:52.080 --> 00:03:57.320]  不過很少見到有女士們出手傷人的
[00:03:57.320 --> 00:04:00.360]  因為真的不是很好看
[00:04:00.360 --> 00:04:02.160]  不過我又知道
[00:04:02.160 --> 00:04:04.200]  我不知道我對董仔有沒有
[00:04:04.200 --> 00:04:06.240]  我們的心裡面
[00:04:06.240 --> 00:04:08.760]  時時會詛咒別人
[00:04:08.760 --> 00:04:10.920]  你不喜歡這個人
[00:04:10.920 --> 00:04:12.680]  不過口裡也不會說的
[00:04:12.680 --> 00:04:19.360]  心裡面我們可能會詛咒這個人
[00:04:19.360 --> 00:04:21.160]  所以我說的是什麼呢?
[00:04:21.160 --> 00:04:23.160]  我是說以善成惡
[00:04:23.160 --> 00:04:24.840]  很多時候我們只是想著
[00:04:24.840 --> 00:04:26.600]  我們落在這樣的處境當中
[00:04:26.600 --> 00:04:28.920]  應該怎麼去以善成惡
[00:04:28.920 --> 00:04:30.880]  但是原來在我們自己的生命裡面
[00:04:30.880 --> 00:04:33.480]  我們不知不覺裡面來說
[00:04:33.480 --> 00:04:34.920]  我們有些邪惡的念頭
[00:04:34.920 --> 00:04:36.840]  都時時出現在我們腦海當中
[00:04:36.840 --> 00:04:39.440]  而聖經說得很清楚
[00:04:39.440 --> 00:04:42.360]  如果你看到一個婦女動了邪念的時候
[00:04:42.360 --> 00:04:45.920]  聖經說你已經跟她犯奸淫了
[00:04:45.920 --> 00:04:47.720]  當然我們知道
[00:04:47.720 --> 00:04:52.120]  邪惡的行為和邪惡的念頭是不一樣的
[00:04:52.120 --> 00:04:53.480]  不是等同的
[00:04:53.480 --> 00:04:56.400]  邪惡的行為個個都見到的
[00:04:56.400 --> 00:04:58.840]  做了出來的
[00:04:58.840 --> 00:05:01.040]  這個見不到 第二個也會見到
[00:05:01.040 --> 00:05:03.240]  但是邪惡的念頭
[00:05:03.240 --> 00:05:07.360]  只有你自己和上帝才會知道
[00:05:07.360 --> 00:05:08.920]  但是如果剛才聖經說
[00:05:08.920 --> 00:05:11.760]  當我們就算有這種邪惡的念頭
[00:05:11.760 --> 00:05:13.440]  都是犯罪得罪神的時候
[00:05:13.440 --> 00:05:14.560]  除非你不信神
[00:05:14.560 --> 00:05:15.600]  除非你不信上帝
[00:05:15.600 --> 00:05:17.320]  除非你不是基督徒
[00:05:17.320 --> 00:05:18.160]  如果是的話
[00:05:18.160 --> 00:05:22.040]  原來我們經常都會在善與惡當中游走
[00:05:22.040 --> 00:05:23.360]  在我們的思想
[00:05:23.360 --> 00:05:24.120]  很多時候
[00:05:24.120 --> 00:05:27.760]  甚至我容讓我們這些邪惡的思想去發展
[00:05:27.760 --> 00:05:30.240]  我們明知神不喜歡我們這樣想事
[00:05:30.240 --> 00:05:32.280]  但是我仍然繼續這樣去做
[00:05:32.280 --> 00:05:33.960]  這是什麼意思呢
[00:05:33.960 --> 00:05:36.080]  很多時候原來在聖經裡面
[00:05:36.080 --> 00:05:39.920]  一個基督徒不需要你做出來才是犯罪
[00:05:39.920 --> 00:05:41.200]  就算我們不做出來
[00:05:41.200 --> 00:05:41.840]  不要行動
[00:05:41.840 --> 00:05:44.480]  但是我們讓我們的邪惡的思想
[00:05:44.480 --> 00:05:47.200]  欲念不斷地在生命當中
[00:05:47.200 --> 00:05:50.360]  讓它能夠擴大
[00:05:50.360 --> 00:05:51.640]  Sooner or later
[00:05:51.640 --> 00:05:54.920]  我們都會做一些不應該做的事
[00:05:54.920 --> 00:05:58.360]  所以今天當我跟大家說這個題目的時候
[00:05:58.360 --> 00:06:02.280]  剛才的靈也幫助我們要小心
[00:06:02.280 --> 00:06:04.040]  當我們說以善性惡的時候
[00:06:04.040 --> 00:06:07.600]  不單單是如何能夠去克服我們邪惡的環境
[00:06:07.600 --> 00:06:09.480]  如果求神幫助我們有這樣的力量
[00:06:09.480 --> 00:06:11.160]  去克服我們自己
[00:06:11.160 --> 00:06:12.800]  一些邪惡的念頭
[00:06:12.800 --> 00:06:14.320]  因為正如我剛才所說
[00:06:14.320 --> 00:06:15.600]  除非我們不相信上帝
[00:06:15.600 --> 00:06:17.440]  如果我們相信上帝的話
[00:06:17.440 --> 00:06:20.200]  我們讓這些邪惡的思想
[00:06:20.200 --> 00:06:23.360]  不斷地在我們生命裡面繁衍的時候
[00:06:23.360 --> 00:06:27.320]  其實我們不配做天國的國民
[00:06:27.320 --> 00:06:30.280]  今天跟大家說的經文
[00:06:30.280 --> 00:06:32.480]  是來自一段很熟悉的聖經
[00:06:32.480 --> 00:06:34.280]  是登山補訓
[00:06:34.280 --> 00:06:36.680]  大家基督徒應該聽過的
[00:06:36.680 --> 00:06:39.960]  耶穌在《馬太福音》第五章開支到第七章
[00:06:39.960 --> 00:06:43.080]  在山上講了一大堆的教導
