
[00:00:00.000 --> 00:00:02.760]  好 今天跟大家分享「恃求必應」
[00:00:02.760 --> 00:00:04.760]  剛才一開始的時候已經講過了
[00:00:04.760 --> 00:00:07.760]  祈禱那時候告訴你 包括五樣東西
[00:00:07.760 --> 00:00:15.000]  就是要去讚美 然後認罪 感恩 禱告和代求
[00:00:15.000 --> 00:00:18.880]  不得不承認我自己在學習讚美的事上
[00:00:18.880 --> 00:00:20.460]  都不是很熟悉的
[00:00:20.460 --> 00:00:23.800]  所以我有時候就會拿詩篇
[00:00:23.800 --> 00:00:27.120]  詩篇有很多時候 詩篇一開始
[00:00:27.120 --> 00:00:29.820]  就對神有很多的歌頌 還有我的盤石
[00:00:29.820 --> 00:00:32.740]  是我的救贖主 是我的山寨
[00:00:32.740 --> 00:00:37.740]  所以我就會拿這些來成為我自己的祈禱
[00:00:37.740 --> 00:00:41.140]  那麼你開始之前就要看禱告
[00:00:41.140 --> 00:00:45.800]  就要想到神的榮耀 神的尊貴 神的權能
[00:00:45.800 --> 00:00:49.300]  更加想到神在歷史裡面所做的事
[00:00:49.300 --> 00:00:50.940]  就好像哈巴谷先知
[00:00:50.940 --> 00:00:55.220]  面對到當時的社會非常非常的惡劣
[00:00:55.220 --> 00:00:59.060]  有權力的人制定一些法例 令到無辜的人受害
[00:00:59.060 --> 00:01:02.100]  他在質疑神 但是他在禱告的時候
[00:01:02.100 --> 00:01:06.580]  他先去想到神的作為 是加強他的信心的
[00:01:06.580 --> 00:01:08.980]  所以我們在禱告之前不是一下子低頭
[00:01:08.980 --> 00:01:10.660]  立刻就這樣
[00:01:10.660 --> 00:01:12.760]  我們都要想一想神是怎樣的
[00:01:12.760 --> 00:01:16.400]  就是令到我們能夠產生一種敬虔
[00:01:16.400 --> 00:01:19.040]  為他的心 而不會隨便
[00:01:19.040 --> 00:01:21.580]  我們更加不能夠輕忽神的聖潔
[00:01:21.580 --> 00:01:24.960]  為什麼呢 在禱告裡面我們要有認罪
[00:01:24.960 --> 00:01:26.900]  因為聖潔裡面很清楚的說
[00:01:26.900 --> 00:01:31.220]  他說 《希伯來書》第十二章第十四節
[00:01:31.220 --> 00:01:33.580]  我請二汪同學讀出來 好不好
[00:01:33.580 --> 00:01:37.720]  你們要追求與眾人和睦 並要追求聖潔
[00:01:37.720 --> 00:01:40.480]  非聖潔 莫有人能見主
[00:01:40.480 --> 00:01:44.060]  原來我們禱告就是要去面對聖潔的主
[00:01:44.060 --> 00:01:47.840]  所以我們不是簡單一兩句認罪就算了
[00:01:47.840 --> 00:01:50.900]  最重要我們有沒有真誠的認罪
[00:01:50.900 --> 00:01:55.440]  上次跟大家說 今天我們會看CP51篇的
[00:01:55.440 --> 00:01:57.440]  我不知道有多少人看了
[00:01:57.440 --> 00:02:01.720]  其實CP51篇是很著名的懺悔詩
[00:02:01.720 --> 00:02:06.400]  早兩集的 上個星期
