
[00:00:00.000 --> 00:00:05.400]  各位弟兄姊妹們主內平安
[00:00:05.400 --> 00:00:10.300]  剛才敬拜主席也有提到颱風
[00:00:10.300 --> 00:00:13.600]  今天主席有提到這個颱風
[00:00:13.600 --> 00:00:17.900]  這個颱風叫山竹
[00:00:17.900 --> 00:00:21.200]  我想起我小時候最喜歡吃的山竹牛肉
[00:00:21.200 --> 00:00:25.400]  我記得我小時候喜歡吃的是山竹牛肉
[00:00:25.400 --> 00:00:30.700]  又下一點汁是非常好味的
[00:00:30.700 --> 00:00:37.800]  這塊山竹牛肉就牽動了我的心
[00:00:37.800 --> 00:00:43.700]  我們很多親人都在香港
[00:00:43.700 --> 00:00:50.300]  知道今天是掛了十號風球
[00:00:50.300 --> 00:00:54.300]  也不斷圍著這塊山竹牛肉祈禱
[00:00:54.300 --> 00:00:57.900]  我們要不斷地為這個山竹牛肉來禱告
[00:00:57.900 --> 00:01:01.100]  我求神你保守香港平安
[00:01:01.100 --> 00:01:03.100]  我求神今天早上說
[00:01:03.100 --> 00:01:06.600]  神啊你幫助他們給香港平安
[00:01:06.600 --> 00:01:09.600]  大家安安全全地平安來度過
[00:01:09.600 --> 00:01:12.600]  大家安安全全地平安地度過
[00:01:12.600 --> 00:01:14.100]  但當我祈完禱之後
[00:01:14.100 --> 00:01:16.500]  我覺得神都是會看顧的
[00:01:16.500 --> 00:01:17.600]  當我禱告之後
[00:01:17.600 --> 00:01:20.100]  我覺得神是在看顧的
[00:01:20.100 --> 00:01:25.100]  神會聽我們基督徒的禱告
[00:01:25.100 --> 00:01:28.100]  神是會看顧我們基督徒的禱告
[00:01:28.100 --> 00:01:29.300]  來保守我們
[00:01:29.300 --> 00:01:31.100]  會來保守我們
[00:01:31.100 --> 00:01:34.300]  其實我們知道神是一直會看顧我們
[00:01:34.300 --> 00:01:38.100]  我們要相信神一定會看顧我們的
[00:01:38.100 --> 00:01:42.300]  我們在創世紀裡面就知道了
[00:01:42.300 --> 00:01:45.100]  在創世紀裡面我們已經知道了
[00:01:45.100 --> 00:01:46.900]  我們知道在創世紀裡面
[00:01:46.900 --> 00:01:50.100]  神講到神創造宇宙萬物
[00:01:50.100 --> 00:01:53.100]  神說祂會創造宇宙萬物
[00:01:53.100 --> 00:01:55.600]  但創造宇宙萬物不是說
[00:01:55.600 --> 00:01:58.100]  我創造了就算數了
[00:01:58.100 --> 00:01:59.100]  神不是這樣的
[00:01:59.100 --> 00:02:02.600]  祂不是說祂創造之後就不理你們
[00:02:02.600 --> 00:02:05.100]  也不會說神創造了這個世界之後
[00:02:05.100 --> 00:02:07.600]  好像不聞不問這樣
[00:02:07.600 --> 00:02:10.100]  祂也不會說不理不睬的
[00:02:10.100 --> 00:02:11.100]  相反來說呢
[00:02:11.100 --> 00:02:12.600]  相反來說呢
[00:02:12.600 --> 00:02:14.600]  神是創造了之後
[00:02:14.600 --> 00:02:16.600]  神是創造了以後
[00:02:16.600 --> 00:02:19.100]  祂是要進行一個護理
[00:02:19.100 --> 00:02:22.100]  祂會進行一個護理
[00:02:22.100 --> 00:02:24.100]  今天我們作為基督徒
[00:02:24.100 --> 00:02:26.100]  今天我們成為基督徒
[00:02:26.100 --> 00:02:28.600]  當我們知道神的創造的時候
[00:02:28.600 --> 00:02:31.100]  當我們知道神的創造之後
[00:02:31.100 --> 00:02:34.100]  我們也都應該要認識神的護理
[00:02:34.100 --> 00:02:37.100]  我們也應該去認識神的護理
[00:02:37.100 --> 00:02:41.100]  要認識神的看顧和保守
[00:02:41.100 --> 00:02:44.100]  我們要知道神的看顧與保守
[00:02:44.100 --> 00:02:47.100]  今天我們想從神的護理來看
[00:02:47.100 --> 00:02:50.100]  我們基督徒的人生是怎麼樣
[00:02:50.100 --> 00:02:52.100]  我們從神的護理來看看
[00:02:52.100 --> 00:02:54.100]  基督徒的人生是什麼
[00:02:54.100 --> 00:02:58.100]  所謂的護理呢
[00:02:58.100 --> 00:03:00.100]  就是講神保守著
[00:03:00.100 --> 00:03:02.100]  祂所做的一切的事
[00:03:02.100 --> 00:03:05.100]  就是神會保守祂所造的一切
[00:03:05.100 --> 00:03:07.100]  而且祂會繼續引導萬物
[00:03:07.100 --> 00:03:09.100]  繼續來前行
[00:03:09.100 --> 00:03:12.100]  祂會引導萬物繼續的進行
[00:03:12.100 --> 00:03:16.100]  其實護理是神很奇妙的一個作為
[00:03:16.100 --> 00:03:19.100]  護理就是神很奇妙的一個作為
[00:03:19.100 --> 00:03:25.100]  神護理是完成了祂在宇宙一切的計劃
[00:03:25.100 --> 00:03:28.100]  祂是要完成祂一切的計劃
[00:03:28.100 --> 00:03:33.100]  還包括了神的拯救和救贖
[00:03:33.100 --> 00:03:36.100]  還有神的拯救跟祂的救贖
[00:03:36.100 --> 00:03:40.100]  我們知道神差遣祂的獨生兒子來到這個世上
[00:03:40.100 --> 00:03:43.100]  神差遣祂的獨生兒子來到這個世上
[00:03:43.100 --> 00:03:45.100]  就是主耶穌
[00:03:45.100 --> 00:03:46.100]  就是主耶穌
[00:03:46.100 --> 00:03:48.100]  祂要救贖我們每一個罪人
[00:03:48.100 --> 00:03:50.100]  祂要救贖我們每一位的罪人
[00:03:50.100 --> 00:03:55.100]  所以救贖是護理的其中最重要的一件事
[00:03:55.100 --> 00:03:58.100]  所以救贖就是護理最重要的一部分
[00:03:58.100 --> 00:04:01.100]  其實我們整本聖經無論在舊約還是新約裡面
[00:04:01.100 --> 00:04:03.100]  其實都是指著一件事
[00:04:03.100 --> 00:04:05.100]  指著這種救贖
[00:04:05.100 --> 00:04:07.100]  祂所指的就是一種救贖
