
[00:00:00.000 --> 00:00:06.000]  感謝主能夠在今天可以來到我們中間來分享
[00:00:06.000 --> 00:00:12.000]  今天是我們父親跟兒子父遺子一起分享
[00:00:12.000 --> 00:00:18.000]  其實整本聖經就是一個父遺子的故事
[00:00:18.000 --> 00:00:22.000]  我們看到我們的天父
[00:00:22.000 --> 00:00:28.000]  他跟他的兒子愛子創造我們
[00:00:29.000 --> 00:00:34.000]  讓我們人在他的裏面能夠成爲神的兒子
[00:00:34.000 --> 00:00:38.000]  但是當我們亞當夏娃墮落以後
[00:00:38.000 --> 00:00:42.000]  我們也還是看見繼續這位天上的父
[00:00:42.000 --> 00:00:46.000]  拆遣他的獨生愛子來到世上
[00:00:46.000 --> 00:00:51.000]  最主要的目的不只是讓我們信耶穌得永生上天堂
[00:00:51.000 --> 00:00:56.000]  最主要的就是讓我們得到兒子的名分
[00:00:57.000 --> 00:01:00.000]  而且讓我們能夠長大成人
[00:01:00.000 --> 00:01:03.000]  蠻有基督長成的聲量
[00:01:03.000 --> 00:01:08.000]  而且讓我們慢慢學習怎麼樣做父親
[00:01:08.000 --> 00:01:11.000]  怎麼樣做屬靈的父親
[00:01:11.000 --> 00:01:14.000]  所以我想我們今天在這裏
[00:01:14.000 --> 00:01:18.000]  今天要分享的也是一個父親天父怎麼樣教導
[00:01:18.000 --> 00:01:22.000]  怎麼樣教導父親的一些事情
[00:01:23.000 --> 00:01:27.000]  周星光等一下會要分享特別
[00:01:27.000 --> 00:01:32.000]  我跟他還有他新的一個嬰孩的事情
[00:01:32.000 --> 00:01:36.000]  但是我要首先在這裏用一點點的時間分享
[00:01:36.000 --> 00:01:41.000]  分享到說在我的上一代上上一代
[00:01:41.000 --> 00:01:44.000]  因爲聖經裏面告訴我們說
[00:01:44.000 --> 00:01:47.000]  神是亞伯拉罕以撒亞各的神
[00:01:47.000 --> 00:01:52.000]  他是世世代代成爲我們的居所
[00:01:53.000 --> 00:01:54.000]  亞伯拉罕父神
[00:01:54.000 --> 00:01:57.000]  另外一方面在聖經裏面也提到
[00:01:57.000 --> 00:02:01.000]  保羅在那一幅圖畫在監獄裏面
[00:02:01.000 --> 00:02:04.000]  因此我在父面前屈膝
[00:02:04.000 --> 00:02:07.000]  天上地上的各家從他得名
[00:02:07.000 --> 00:02:10.000]  保羅在父面前屈膝
[00:02:10.000 --> 00:02:14.000]  他是在天父面前屈膝
[00:02:14.000 --> 00:02:16.000]  他是一個屬靈的父親
[00:02:16.000 --> 00:02:19.000]  跪在天父面前爲什麼禱告
[00:02:20.000 --> 00:02:24.000]  地上所有的父親天上各家
[00:02:24.000 --> 00:02:27.000]  其實原文裏面是各個父親禱告
[00:02:27.000 --> 00:02:31.000]  所以我想我用一點點時間談到
[00:02:31.000 --> 00:02:36.000]  我感謝主讓我不只是我這一代
[00:02:36.000 --> 00:02:39.000]  是我的上一代而且上上一代
[00:02:39.000 --> 00:02:44.000]  第一個我們家姓主的就是我的祖父周宋
[00:02:44.000 --> 00:02:49.000]  而周宋他領受天父給他
[00:02:50.000 --> 00:02:54.000]  一個父親他領受天父給他教導的事
[00:02:54.000 --> 00:02:58.000]  我想在這裏我提到說我感謝神
[00:02:58.000 --> 00:03:00.000]  我有一個這樣的祖父
[00:03:00.000 --> 00:03:03.000]  而我的祖父他的名字叫做周宋
[00:03:03.000 --> 00:03:07.000]  而他的名字我們看見是
[00:03:07.000 --> 00:03:11.000]  而且在真的是在一百多年前
[00:03:11.000 --> 00:03:15.000]  在萬人中檢選而他被檢選
[00:03:15.000 --> 00:03:18.000]  雖然我們的家庭非常的貧窮
[00:03:19.000 --> 00:03:21.000]  因爲我祖父那時候家裏非常的貧窮
[00:03:21.000 --> 00:03:25.000]  在臺灣的中部彰化那個地方
[00:03:25.000 --> 00:03:29.000]  而且好像很福氣
[00:03:29.000 --> 00:03:34.000]  他三十八歲就生了七個兒子
[00:03:34.000 --> 00:03:37.000]  我爸爸是老二七個兄弟
[00:03:37.000 --> 00:03:40.000]  我前不久看到一個影片
[00:03:40.000 --> 00:03:43.000]  談到一個人生了七個孩子
[00:03:43.000 --> 00:03:45.000]  很有錢生了七個孩子
[00:03:45.000 --> 00:03:48.000]  但是對我祖父來說
[00:03:49.000 --> 00:03:51.000]  他生了七個孩子
[00:03:51.000 --> 00:03:54.000]  在臺灣有一句話說好像
[00:03:54.000 --> 00:03:58.000]  好像生太多了對他來說
[00:03:58.000 --> 00:04:01.000]  這樣窮怎麼能夠養育
[00:04:01.000 --> 00:04:03.000]  這樣多的孩子
[00:04:03.000 --> 00:04:06.000]  不但是這樣而且後來他信了耶穌
[00:04:06.000 --> 00:04:10.000]  他信了耶穌以後他孝順他的母親
[00:04:10.000 --> 00:04:13.000]  他母親本來不讓他信耶穌的
[00:04:13.000 --> 00:04:15.000]  但是因爲後來他孝順
[00:04:15.000 --> 00:04:18.000]  所以我的真祖母也因爲這樣
[00:04:19.000 --> 00:04:20.000]  就信耶穌了
[00:04:20.000 --> 00:04:23.000]  所以對我來說其實我是第四代
[00:04:23.000 --> 00:04:26.000]  而在這裏我要提到說
[00:04:26.000 --> 00:04:31.000]  而我的祖父他七個孩子養育
[00:04:31.000 --> 00:04:33.000]  非常的辛苦
[00:04:33.000 --> 00:04:37.000]  可以說在當時的承重的壓力非常的大
[00:04:37.000 --> 00:04:40.000]  所以他後來就生了肺病
[00:04:40.000 --> 00:04:44.000]  所以他是真的是可以說是過勞死
[00:04:44.000 --> 00:04:47.000]  而是那個時候的勞病那個肺病
[00:04:48.000 --> 00:04:50.000]  是比現在的癌症更可怕
[00:04:50.000 --> 00:04:54.000]  但是他留下給我們的產業一直到現在
[00:04:54.000 --> 00:04:57.000]  我們周家的產業是什麼
[00:04:57.000 --> 00:04:59.000]  就是他最後所說的話
[00:04:59.000 --> 00:05:01.000]  他對我的祖母說
[00:05:01.000 --> 00:05:04.000]  你要堅定的依靠神
[00:05:04.000 --> 00:05:08.000]  我離開以後我被主接去天家的時候
[00:05:08.000 --> 00:05:12.000]  你一定要堅定的信靠耶穌
[00:05:12.000 --> 00:05:15.000]  而且帶領七個孩子都要信耶穌
[00:05:16.000 --> 00:05:18.000]  我在天上等你
[00:05:18.000 --> 00:05:21.000]  而且要等這七個孩子都到天上
[00:05:21.000 --> 00:05:26.000]  這個是我們整個信仰的產業
[00:05:26.000 --> 00:05:29.000]  一直到現在過了一百多年
[00:05:29.000 --> 00:05:31.000]  這個產業在我們的裏面
[00:05:31.000 --> 00:05:35.000]  所以神用這一個我祖父的產業養育我們
[00:05:35.000 --> 00:05:39.000]  讓我們在這樣的信仰裏面來成長
[00:05:39.000 --> 00:05:42.000]  而他後來講的一些話
[00:05:43.000 --> 00:05:46.000]  我感謝神是神透過他
