
[00:00:00.000 --> 00:00:03.600]  有弟兄姊妹在現場一齊崇拜
[00:00:03.600 --> 00:00:05.600]  是一件很美好的事
[00:00:05.600 --> 00:00:07.600]  願主與你們同在
[00:00:07.600 --> 00:00:12.400]  亦都願現在還是在扇上面的弟兄姊妹同在
[00:00:12.400 --> 00:00:14.600]  深信很快的一天
[00:00:14.600 --> 00:00:17.600]  我們能夠面對面一齊敬拜神
[00:00:17.600 --> 00:00:22.600]  今天的講題
[00:00:22.600 --> 00:00:25.200]  「我信罪得赦免」
[00:00:25.200 --> 00:00:29.400]  當然仍然是圍繞著試圖信經
[00:00:29.400 --> 00:00:32.000]  的講解
[00:00:32.000 --> 00:00:35.800]  「我信聖靈」那一段裏面
[00:00:35.800 --> 00:00:41.400]  就包含著「我信罪得赦免」這一句說話
[00:00:41.400 --> 00:00:45.600]  而「我信罪得赦免」亦都是在
[00:00:45.600 --> 00:00:48.600]  「我信聖靈」這一段的說話裏面
[00:00:48.600 --> 00:00:51.800]  那五句是在正中間的
[00:00:51.800 --> 00:00:55.400]  前面兩句是在教會
[00:00:55.400 --> 00:00:59.600]  以及其中的生活是我們現在能夠經歷到的
[00:00:59.600 --> 00:01:03.400]  後面那兩句是在講復活
[00:01:03.400 --> 00:01:06.400]  以及相關的形態
[00:01:06.400 --> 00:01:08.800]  是將來能夠經歷到的
[00:01:08.800 --> 00:01:12.600]  「我信罪得赦免」在正中間
[00:01:12.600 --> 00:01:15.600]  就應該不只是過去式
[00:01:15.600 --> 00:01:18.200]  又不是未來式
[00:01:18.200 --> 00:01:20.000]  應該是現在式
[00:01:20.000 --> 00:01:23.200]  甚至是現在進行式
[00:01:23.200 --> 00:01:26.400]  不過你說如果是現在進行式的話
[00:01:26.400 --> 00:01:33.200]  那「我信罪得赦免」對我們的意義是甚麼呢?
[00:01:33.200 --> 00:01:40.000]  相信你還記得耶穌醫治坦子的那件事
[00:01:40.000 --> 00:01:44.600]  那一件事是圍繞著「赦免」這個主題
[00:01:44.600 --> 00:01:50.400]  一個很有趣的發現或者事實
[00:01:50.400 --> 00:01:54.400]  就是講「你罪赦免」
[00:01:54.400 --> 00:01:57.200]  講出來是很容易的
[00:01:57.200 --> 00:01:59.000]  眼又見不到
[00:01:59.000 --> 00:02:01.800]  口講又無憑
[00:02:01.800 --> 00:02:05.200]  於是乎在這件事件裏面
[00:02:05.200 --> 00:02:08.400]  耶穌醫治了坦子
[00:02:08.400 --> 00:02:13.600]  即是說做了一件表面上更加困難的事
[00:02:13.600 --> 00:02:16.200]  當這件事發生的時候
[00:02:16.200 --> 00:02:20.600]  耶穌就表示祂所講的
[00:02:20.600 --> 00:02:24.000]  「你罪赦免」就應該是生效的了
[00:02:24.000 --> 00:02:27.800]  因為講「你罪赦免」是很容易的
[00:02:27.800 --> 00:02:29.800]  但是正如經文所講
