
[00:00:00.000 --> 00:00:02.240]  今日要同大家講一個題目
[00:00:02.240 --> 00:00:06.400]  是開啟心眼的禱告
[00:00:06.400 --> 00:00:07.400]  弟兄姊妹
[00:00:07.400 --> 00:00:09.680]  唔知道你每一朝起身
[00:00:09.680 --> 00:00:10.840]  睜大眼睛
[00:00:10.840 --> 00:00:12.960]  你睇見啲咩呢
[00:00:12.960 --> 00:00:15.360]  咁邊隊贏波
[00:00:15.360 --> 00:00:17.160]  咁都知道啦
[00:00:17.160 --> 00:00:19.640]  咁可能我哋返工嘅時候
[00:00:19.640 --> 00:00:20.640]  我一睜大眼睛
[00:00:20.640 --> 00:00:22.600]  我呢就想像到
[00:00:22.600 --> 00:00:24.520]  可能老細嘅面色
[00:00:24.520 --> 00:00:26.280]  又或者
[00:00:26.280 --> 00:00:31.480]  我去碌下啲社交媒體嘅時候
[00:00:31.480 --> 00:00:33.120]  可能心裏邊
[00:00:33.120 --> 00:00:35.840]  睇見我哋咁多呢啲朋友
[00:00:35.840 --> 00:00:36.640]  平輩
[00:00:36.640 --> 00:00:38.680]  好似身光頸靚喎
[00:00:38.680 --> 00:00:40.120]  對比自己嘅時候
[00:00:40.120 --> 00:00:42.400]  會唔會充滿好多嘅焦慮呢
[00:00:42.400 --> 00:00:44.040]  又或者一啲嘅家長
[00:00:44.040 --> 00:00:45.760]  佢睇到
[00:00:45.760 --> 00:00:47.640]  或者想諗到
[00:00:47.640 --> 00:00:49.080]  嘩一起身嘅時候
[00:00:49.080 --> 00:00:50.640]  諗到個細路
[00:00:50.640 --> 00:00:52.160]  諗到啲仔女
[00:00:52.160 --> 00:00:54.320]  係一個嘅
[00:00:54.320 --> 00:00:55.880]  半逆期嘅時候
[00:00:55.880 --> 00:00:57.760]  可能頭都痛埋
[00:00:57.760 --> 00:01:00.080]  又或者我哋
[00:01:00.080 --> 00:01:03.480]  睇到我哋年長嘅父母
[00:01:03.480 --> 00:01:06.120]  嘅身體
[00:01:06.120 --> 00:01:08.000]  連脈啦
[00:01:08.000 --> 00:01:09.600]  佢哋嘅身影
[00:01:09.600 --> 00:01:12.520]  都唔係好似以前咁有活力
[00:01:12.520 --> 00:01:14.640]  又或者我哋睇唔睇到
[00:01:14.640 --> 00:01:16.640]  我哋年長嘅弟兄姊妹
[00:01:16.640 --> 00:01:18.120]  或者我哋一啲嘅弟兄姊妹
[00:01:18.120 --> 00:01:18.760]  睇到
[00:01:18.760 --> 00:01:20.920]  嘩一枱面都好多藥喎
[00:01:20.920 --> 00:01:22.040]  唔係維他命
[00:01:22.040 --> 00:01:23.600]  唔係一啲補充劑
[00:01:23.600 --> 00:01:25.920]  有好多嘅藥袋呀或者呢
[00:01:25.920 --> 00:01:32.120]  一啲嘅醫院嘅複診紙
[00:01:32.120 --> 00:01:33.680]  我哋嘅眼睛呢
[00:01:33.680 --> 00:01:36.280]  會睇到好多嘢嘅
[00:01:36.280 --> 00:01:37.960]  我哋嘅肉眼
[00:01:37.960 --> 00:01:39.920]  好多時候讓我哋呢
[00:01:39.920 --> 00:01:41.680]  只係睇得見
[00:01:41.680 --> 00:01:43.680]  眼前嘅困境
[00:01:43.680 --> 00:01:44.960]  眼前一啲
[00:01:44.960 --> 00:01:47.000]  好有限制嘅嘢
[00:01:47.000 --> 00:01:48.400]  或者睇到自己
[00:01:48.400 --> 00:01:49.920]  呀幾咁軟弱呀
[00:01:49.920 --> 00:01:51.120]  幾咁無力呀
[00:01:51.120 --> 00:01:54.000]  幾咁渺小呀咁樣
[00:01:54.000 --> 00:01:54.960]  但係保羅呢
[00:01:54.960 --> 00:01:56.800]  佢喺監獄嘅裏邊呢
[00:01:56.800 --> 00:01:58.680]  卻係為信徒呢
