
[00:00:00.000 --> 00:00:02.000]  我們繼續看這個系列
[00:00:02.000 --> 00:00:04.000]  我們看基督眼中的教會
[00:00:04.000 --> 00:00:06.000]  如果你今天第一次來教會的話
[00:00:06.000 --> 00:00:08.000]  我們每逢講道的時候
[00:00:08.000 --> 00:00:10.000]  我們都會看一看聖經對我們有什麼應用
[00:00:10.000 --> 00:00:12.000]  聖經是上帝的話語
[00:00:12.000 --> 00:00:14.000]  上帝對我們的提醒
[00:00:14.000 --> 00:00:16.000]  對以前的信徒的提醒
[00:00:16.000 --> 00:00:18.000]  也是對我們今天的提醒
[00:00:18.000 --> 00:00:20.000]  所以我們在看一個系列
[00:00:20.000 --> 00:00:22.000]  就是聖經裏面曾經耶穌基督
[00:00:22.000 --> 00:00:24.000]  寫了七封信給當時七個教會
[00:00:24.000 --> 00:00:26.000]  上一次我們看了第一個教會的那封信
[00:00:26.000 --> 00:00:28.000]  叫做什麼教會?
[00:00:28.000 --> 00:00:30.000]  異忽所教會
[00:00:30.000 --> 00:00:32.000]  異忽所
[00:00:32.000 --> 00:00:34.000]  然後這次我們看第二封的信
[00:00:34.000 --> 00:00:36.000]  這封信就是寫給
[00:00:36.000 --> 00:00:38.000]  一個地方叫做史美蘭
[00:00:38.000 --> 00:00:40.000]  在今天土耳其的西邊
[00:00:40.000 --> 00:00:42.000]  你看到這條路線
[00:00:42.000 --> 00:00:44.000]  由異忽所開始
[00:00:44.000 --> 00:00:46.000]  第一個城市
[00:00:46.000 --> 00:00:48.000]  然後去到史美蘭
[00:00:48.000 --> 00:00:50.000]  然後彼加摩 推雅推拉
[00:00:50.000 --> 00:00:52.000]  撒迪 菲拉迪菲
[00:00:52.000 --> 00:00:54.000]  然後最後就是老弟家
[00:00:54.000 --> 00:00:56.000]  那這裏就講到
[00:00:56.000 --> 00:00:58.000]  耶穌會寫七封信
[00:00:58.000 --> 00:01:00.000]  給這七個教會
[00:01:00.000 --> 00:01:02.000]  那這條路線
[00:01:02.000 --> 00:01:04.000]  大概可能是當時由正的路線
[00:01:04.000 --> 00:01:06.000]  由異忽所直到去
[00:01:06.000 --> 00:01:08.000]  老弟家
[00:01:08.000 --> 00:01:10.000]  可以大家想象一下
[00:01:10.000 --> 00:01:12.000]  如果上帝寫封信給你
[00:01:12.000 --> 00:01:14.000]  耶穌今天寫封信給你
[00:01:14.000 --> 00:01:16.000]  你覺得他
[00:01:16.000 --> 00:01:18.000]  封信會講些什麼呢?
[00:01:18.000 --> 00:01:20.000]  或者他封信寫給我們教會
[00:01:20.000 --> 00:01:22.000]  那封信的內容
[00:01:22.000 --> 00:01:24.000]  應該會是怎樣的?
[00:01:24.000 --> 00:01:26.000]  希望能幫到我們
[00:01:26.000 --> 00:01:28.000]  去看這七封信
[00:01:28.000 --> 00:01:30.000]  就像我之前說的
[00:01:30.000 --> 00:01:32.000]  我們看了異忽所的教會
[00:01:32.000 --> 00:01:34.000]  然後我們這次看
[00:01:34.000 --> 00:01:36.000]  史美蘭教會
[00:01:36.000 --> 00:01:38.000]  史美蘭當然是一個城市
