
[00:00:00.000 --> 00:00:04.000]  好 今天我們來看《思唐傳》第十五章
[00:00:04.000 --> 00:00:08.000]  上星期講了第十四章 今天看第十五章
[00:00:08.000 --> 00:00:10.000]  這個題目叫做什麼?
[00:00:10.000 --> 00:00:17.000]  有效解決分歧
[00:00:17.000 --> 00:00:21.000]  我相信人與人之間有時候都會有不同的意見
[00:00:21.000 --> 00:00:23.000]  甚至會有分歧 會不會?
[00:00:23.000 --> 00:00:24.000]  事實上都有 是不是?
[00:00:24.000 --> 00:00:28.000]  因為我們總有不同的背景 不同的想法
[00:00:28.000 --> 00:00:31.000]  有不同的喜好 甚至有不同的意見
[00:00:31.000 --> 00:00:36.000]  這個發生在我們工作上 大家同事之間
[00:00:36.000 --> 00:00:38.000]  有時候會有這個情況
[00:00:38.000 --> 00:00:40.000]  在家庭裏面更加會 是不是?
[00:00:40.000 --> 00:00:45.000]  因為大家相處在一起 很多時候習慣很不同
[00:00:45.000 --> 00:00:48.000]  所以意見亦都會有分歧
[00:00:48.000 --> 00:00:50.000]  在教會裏面 有沒有?
[00:00:50.000 --> 00:00:51.000]  都會有 是不是?
[00:00:51.000 --> 00:00:54.000]  你喜歡放在左邊還是右邊
[00:00:54.000 --> 00:00:57.000]  十字架放在這邊 還是放在這邊
[00:00:57.000 --> 00:00:59.000]  這個應該放在前面還是後面
[00:00:59.000 --> 00:01:02.000]  都有不同的意見 哪個比較好?
[00:01:02.000 --> 00:01:04.000]  見仁見智 有時候
[00:01:04.000 --> 00:01:07.000]  很難說絕對好還是壞
[00:01:07.000 --> 00:01:09.000]  的確有些情況是比較好的
[00:01:09.000 --> 00:01:12.000]  我們有時候想想 他的意見比較好
[00:01:12.000 --> 00:01:14.000]  都會有發生
[00:01:14.000 --> 00:01:19.000]  所以的確我們無論在社會 在教會 在家庭 在工作
[00:01:19.000 --> 00:01:22.000]  在不同的地方 只要有不同的人
[00:01:22.000 --> 00:01:24.000]  一定有不同的意見
[00:01:24.000 --> 00:01:28.000]  事實上 在教會 甚至講到聖經的真理
[00:01:28.000 --> 00:01:31.000]  怎樣應用的時候
[00:01:31.000 --> 00:01:34.000]  亦都有很多不同應用的方法
[00:01:34.000 --> 00:01:36.000]  所以我們如果分不清楚
[00:01:36.000 --> 00:01:38.000]  甚麼是絕對的真理
[00:01:38.000 --> 00:01:41.000]  甚麼是一些相對的
[00:01:41.000 --> 00:01:44.000]  有些其實不關真理事
[00:01:44.000 --> 00:01:46.000]  只不過是這些做法的不同
[00:01:46.000 --> 00:01:49.000]  我們如果能夠分得清楚
[00:01:49.000 --> 00:01:54.000]  我們就越能夠了解 甚麼的意見是最好的
[00:01:54.000 --> 00:01:56.000]  或者甚麼意見是沒甚麼所謂的
[00:01:56.000 --> 00:01:59.000]  這些都是很重要的學習
[00:01:59.000 --> 00:02:00.000]  是一種藝術
[00:02:00.000 --> 00:02:03.000]  但亦都是對真理的認識很重要
[00:02:03.000 --> 00:02:05.000]  所以有的時候
[00:02:05.000 --> 00:02:07.000]  神亦都是透過這些機會
[00:02:07.000 --> 00:02:09.000]  去幫助我們成長
[00:02:09.000 --> 00:02:12.000]  因為有時候我們以為自己想的東西一定對
[00:02:12.000 --> 00:02:15.000]  但當跟別人聊天 甚至有一些討論
[00:02:15.000 --> 00:02:18.000]  甚至有一些意見分歧的時候
[00:02:18.000 --> 00:02:21.000]  我們可能幫助我們成熟去思考
