
[00:00:00.000 --> 00:00:02.240]  好 各位親愛的大英姊妹 我們很開心
[00:00:02.240 --> 00:00:04.540]  可以有星期三的《查經》了
[00:00:04.540 --> 00:00:07.680]  如果我們參加了過去的四次
[00:00:07.680 --> 00:00:09.840]  我們就查了《數羅》
[00:00:09.840 --> 00:00:13.260]  《數羅》是怎樣被神帶去選召的
[00:00:13.260 --> 00:00:17.340]  但是當他有權力之後 慢慢的就腐化了
[00:00:17.340 --> 00:00:19.760]  結果就被神氣絕了
[00:00:19.760 --> 00:00:22.680]  不是神氣絕 而是他自己氣絕了自己
[00:00:22.680 --> 00:00:26.020]  因為他沒有珍惜神給他的機會
[00:00:26.020 --> 00:00:28.180]  但是今天就不是查大衛
[00:00:28.180 --> 00:00:30.440]  是下個星期才開始查大衛
[00:00:30.440 --> 00:00:31.400]  為什麼呢?
[00:00:31.400 --> 00:00:35.820]  這個星期有受苦節和復活節
[00:00:35.820 --> 00:00:38.740]  我很相信很多教會都有受苦節的晚會
[00:00:38.740 --> 00:00:40.620]  和復活節的主日
[00:00:40.620 --> 00:00:44.740]  在今晚一刻 我就想和大家查一段經文
[00:00:44.740 --> 00:00:48.160]  先想一想 大家想一想
[00:00:48.160 --> 00:00:51.660]  你有沒有想過耶穌復活之後的樣子是怎樣的?
[00:00:51.660 --> 00:00:53.500]  耶穌是否可以吃東西的呢?
[00:00:53.500 --> 00:00:55.880]  他關了門又突然之間可以出現的
[00:00:55.880 --> 00:00:58.320]  為什麼門徒認不出他呢?
[00:00:58.320 --> 00:01:01.640]  一直隱瞞著 將來我們上了天國的時候
[00:01:01.640 --> 00:01:03.420]  我們的樣子是怎樣的呢?
[00:01:03.420 --> 00:01:06.460]  是你覺得最美的那段時間
[00:01:06.460 --> 00:01:09.100]  還是哪個時候呢?
[00:01:09.100 --> 00:01:12.440]  剛才吃飯的時候 我們有親子時刻都問我
[00:01:12.440 --> 00:01:15.180]  爸爸你覺得你自己最美是哪個時候?
[00:01:15.180 --> 00:01:17.020]  我跟他說就是未來的日子
[00:01:17.020 --> 00:01:18.880]  他多頭呆了
[00:01:18.880 --> 00:01:25.020]  我永遠的答案是不會是正統的答案
[00:01:25.020 --> 00:01:26.080]  究竟是怎樣的呢?
[00:01:26.080 --> 00:01:27.540]  一會兒我們都會探討
[00:01:27.540 --> 00:01:31.480]  但是我主要都是說耶穌的復活
