
[00:00:00.000 --> 00:00:02.160]  我想大家可以這樣想像一下
[00:00:02.160 --> 00:00:04.140]  在你的人生裏面
[00:00:04.140 --> 00:00:05.420]  人生的旅程上面
[00:00:05.420 --> 00:00:08.420]  你突然之間遇到一座大山
[00:00:08.420 --> 00:00:11.880]  你覺得你在耶穌基督裏面的信心
[00:00:11.880 --> 00:00:15.580]  可以幫你移除這個面前的大山呢?
[00:00:15.580 --> 00:00:18.300]  抑或是這個大山
[00:00:18.300 --> 00:00:23.840]  將你在基督耶穌裏面的信心移除呢?
[00:00:23.840 --> 00:00:28.100]  有人說不信或者是小信
[00:00:28.100 --> 00:00:32.300]  就會將人生的問題、人生的困境
[00:00:32.300 --> 00:00:35.720]  放在我們人與神之間
[00:00:35.720 --> 00:00:38.340]  但是信心卻是將神
[00:00:38.340 --> 00:00:43.340]  放在我們人生的問題與我們之間
[00:00:43.340 --> 00:00:46.840]  總是當人面對不同類型的問題的時候
[00:00:46.840 --> 00:00:48.560]  不同的人有不同的反應
[00:00:48.560 --> 00:00:50.260]  有些人就會放棄
[00:00:50.260 --> 00:00:51.920]  有些人就會認命
[00:00:51.920 --> 00:00:56.680]  這一類的人通常比較是被動的
[00:00:56.680 --> 00:00:59.520]  這一類的人就很少主動去爭取
[00:00:59.520 --> 00:01:02.760]  就是命運給他們什麼
[00:01:02.760 --> 00:01:04.680]  那他們就照單全收
[00:01:04.680 --> 00:01:06.180]  就好像你們去餐廳那樣
[00:01:06.180 --> 00:01:07.520]  擺點什麼菜到你的桌面
[00:01:07.520 --> 00:01:09.300]  你就吃吧
[00:01:09.300 --> 00:01:10.980]  有些人就會怨天尤人
[00:01:10.980 --> 00:01:12.800]  有些人就指著
[00:01:12.800 --> 00:01:14.220]  為什麼這個世界對我不公平?
[00:01:14.220 --> 00:01:17.800]  這個政府、這個社會、父母、學校、教會
[00:01:17.800 --> 00:01:19.340]  總是對我不公平
[00:01:19.340 --> 00:01:23.760]  他們就是所有問題的受害者
[00:01:23.760 --> 00:01:25.640]  這一類的人就比較缺乏了
[00:01:25.640 --> 00:01:27.140]  做人的承擔和勇氣
[00:01:27.140 --> 00:01:28.480]  因為為什麼?
[00:01:28.480 --> 00:01:30.060]  做受害者最容易
[00:01:30.060 --> 00:01:31.300]  在人生問題裡面
[00:01:31.300 --> 00:01:32.300]  這個就是出路了
[00:01:32.300 --> 00:01:33.100]  不用做任何
[00:01:33.100 --> 00:01:34.480]  因為不是我的問題
[00:01:34.480 --> 00:01:38.600]  有些人就會站出來
[00:01:38.600 --> 00:01:40.060]  無論是不是他們的錯
[00:01:40.060 --> 00:01:45.980]  站出來面對人生路途上的大山
[00:01:45.980 --> 00:01:49.400]  盡了自己的能力面對這個問題
[00:01:49.400 --> 00:01:53.480]  甚至是作出合理的改變
[00:01:53.480 --> 00:01:56.840]  我相信我們今天所讀的經文裡的主角
[00:01:56.840 --> 00:01:58.140]  這個婦女
[00:01:58.140 --> 00:01:59.640]  就是屬於這一類的人
[00:01:59.640 --> 00:02:03.600]  當她面對人生路途上的大山的時候
[00:02:03.600 --> 00:02:04.800]  故事的發展告訴我們
[00:02:04.800 --> 00:02:10.340]  這個婦女就在絕望的人生困境裡面
[00:02:10.340 --> 00:02:12.220]  成功走出來
[00:02:12.220 --> 00:02:15.480]  全因在《耶穌居的》裡面的信心
[00:02:15.480 --> 00:02:16.680]  一個很值得我們學習
[00:02:16.680 --> 00:02:19.020]  很值得我們去看的一個故事
[00:02:19.020 --> 00:02:21.180]  今天就讓我們給你們看
[00:02:21.180 --> 00:02:23.520]  很多的傳道者看到這個經文
[00:02:23.520 --> 00:02:24.960]  說有一個婦女
[00:02:24.960 --> 00:02:27.060]  患了十二年的血流
