
[00:00:00.000 --> 00:00:01.940]  鄧小妹 新年快樂
[00:00:01.940 --> 00:00:05.580]  今天用了一個很傳統的
[00:00:05.580 --> 00:00:07.520]  港島的題目
[00:00:07.520 --> 00:00:11.020]  主是好牧人 我相信
[00:00:11.020 --> 00:00:13.820]  現在這一刻 大家如果能夠
[00:00:13.820 --> 00:00:16.560]  跟主的關係有一個很深深的結連
[00:00:16.560 --> 00:00:19.280]  我相信這是我們新年
[00:00:19.280 --> 00:00:22.220]  一個最大的期盼 一個最
[00:00:22.220 --> 00:00:24.120]  好的新年禮物
[00:00:24.120 --> 00:00:27.200]  為什麼耶穌會在這裡
[00:00:27.200 --> 00:00:30.120]  講到牧羊的人
[00:00:30.120 --> 00:00:32.620]  講到羊的門 講到羊群
[00:00:32.620 --> 00:00:35.640]  其實跟之前第九章是很有關係的
[00:00:35.640 --> 00:00:38.640]  第九章講到一個身內黑暗的人
[00:00:38.640 --> 00:00:40.620]  耶穌治好了他
[00:00:40.620 --> 00:00:43.540]  大家如果記得是在兩個星期之前
[00:00:43.540 --> 00:00:46.740]  有一個這樣的情況出現
[00:00:46.740 --> 00:00:50.420]  治好了這個身內黑暗的人 令到他能夠看見
[00:00:50.420 --> 00:00:54.280]  但是法利塞人對這件事感到非常不開心
[00:00:54.280 --> 00:00:57.800]  因為那一天是安息日 他們認為
[00:00:57.800 --> 00:01:00.540]  耶穌在安息日治治人的病
[00:01:00.540 --> 00:01:03.480]  是干犯了摩西的律法
[00:01:03.480 --> 00:01:06.940]  他們將身內黑暗的人抓來
[00:01:06.940 --> 00:01:07.940]  去盤問
[00:01:07.940 --> 00:01:12.080]  最後竟然將那個黑暗被
[00:01:12.080 --> 00:01:15.560]  治好的人 然後趕出了會堂
[00:01:15.560 --> 00:01:18.360]  這個就是整整第十章
[00:01:18.360 --> 00:01:21.160]  背景的由來
[00:01:21.160 --> 00:01:23.880]  其實福音書裡面不知多在
[00:01:23.880 --> 00:01:27.280]  提及這件類似的事
[00:01:27.280 --> 00:01:30.400]  其實有很多類似的事
[00:01:30.400 --> 00:01:33.160]  也都發生了 耶穌在安息日為人
[00:01:33.160 --> 00:01:36.180]  治病 那他旁邊就會有一群
[00:01:36.180 --> 00:01:39.140]  法利塞人來虎視眈眈
[00:01:39.140 --> 00:01:41.740]  來等候去抓住
[00:01:41.740 --> 00:01:44.700]  主耶穌的把柄 來誣衊他
[00:01:44.700 --> 00:01:47.660]  去陷害他 因為在猶太人
[00:01:47.660 --> 00:01:50.640]  的律法上規定是要守
[00:01:50.640 --> 00:01:52.740]  安息日 不可以作供
[00:01:53.420 --> 00:01:56.380]  法利塞人去看耶穌 去治好
[00:01:56.380 --> 00:01:59.700]  核子這件事 也都是一樣
[00:01:59.700 --> 00:02:02.620]  他們終極的關懷
[00:02:02.620 --> 00:02:05.760]  並不是這個核子的眼睛
[00:02:05.760 --> 00:02:08.300]  是能不能夠去開到
[00:02:08.300 --> 00:02:11.160]  他們沒有關懷到
[00:02:11.160 --> 00:02:14.060]  關心到這個
[00:02:14.060 --> 00:02:17.080]  盲了的人 他盲了的時候
[00:02:17.080 --> 00:02:19.860]  他的日子是多麼的
[00:02:19.860 --> 00:02:22.820]  困難 是多麼的不方便
[00:02:22.820 --> 00:02:25.860]  他們也都不是想耶穌治好他
[00:02:25.860 --> 00:02:28.680]  是一件多麼的值得高興
[00:02:28.680 --> 00:02:30.680]  歡欣雀躍的事情
[00:02:30.680 --> 00:02:32.660]  因為
[00:02:32.660 --> 00:02:35.840]  他們只是關心耶穌
[00:02:35.840 --> 00:02:38.880]  你有沒有守這條的規矩
[00:02:38.880 --> 00:02:41.280]  在安息日 有沒有做好
[00:02:41.280 --> 00:02:44.280]  安息日應該做的事情
[00:02:44.280 --> 00:02:45.280]  大家猜一猜
[00:02:45.280 --> 00:02:49.320]  究竟在這段經文裏面
[00:02:49.320 --> 00:02:51.500]  真正的核子是誰
[00:02:53.820 --> 00:02:54.820]  很明顯
[00:02:54.820 --> 00:02:58.420]  不是耶穌 很明顯不是那個
[00:02:58.420 --> 00:03:01.620]  盲了眼得醫治的那個人
[00:03:01.620 --> 00:03:05.000]  而是真正的盲了的那群人是誰
[00:03:05.000 --> 00:03:07.200]  是法利塞人
[00:03:07.200 --> 00:03:09.020]  他在哪裏盲了
[00:03:09.020 --> 00:03:11.300]  心裏盲了
[00:03:11.300 --> 00:03:13.840]  可能是掩蓋了 自己也看不到
[00:03:13.840 --> 00:03:15.740]  自己也欺騙了自己
[00:03:15.740 --> 00:03:19.520]  在心裏面看不到上帝
[00:03:19.520 --> 00:03:21.320]  作為的一群人
[00:03:21.320 --> 00:03:24.360]  在心裏面感覺不到
[00:03:24.360 --> 00:03:26.240]  上帝的憐憫
[00:03:26.240 --> 00:03:29.640]  為哪一群人動了慈心的
[00:03:29.640 --> 00:03:31.480]  那一群人
[00:03:31.480 --> 00:03:35.100]  法利塞人 有時我們讀來讀去
[00:03:35.100 --> 00:03:38.140]  為甚麼他們經常都不明白呢
[00:03:38.140 --> 00:03:41.060]  橫石都不能點頭
[00:03:41.060 --> 00:03:43.240]  最後那麼奇怪
[00:03:43.240 --> 00:03:45.700]  我想他們有他們的執著
[00:03:45.700 --> 00:03:48.700]  大家之前聽我講到 都講過
[00:03:48.700 --> 00:03:50.660]  不要一扮就扮成法利塞人
[00:03:50.660 --> 00:03:53.200]  其實有他們的堅持和執著
[00:03:53.200 --> 00:03:55.300]  但是我們去到這個位置
[00:03:55.300 --> 00:03:56.880]  仍然都想
[00:03:56.880 --> 00:04:00.460]  為甚麼會有這樣的事情呢 大概
[00:04:00.460 --> 00:04:03.940]  但是我們再看聖經的時候
[00:04:03.940 --> 00:04:06.420]  其實這段經文
[00:04:06.420 --> 00:04:08.540]  藉著這段經文
[00:04:08.540 --> 00:04:11.060]  主要帶我們再去看
[00:04:11.060 --> 00:04:15.060]  究竟牧羊人和羊的關係
[00:04:15.060 --> 00:04:17.900]  即是主才是那位大牧者
[00:04:17.900 --> 00:04:19.700]  牧羊人和羊的關係
[00:04:19.700 --> 00:04:20.820]  究竟是怎樣
[00:04:20.820 --> 00:04:23.800]  這才是我們應該要去追求
[00:04:23.800 --> 00:04:26.260]  要去明白 去理解的地方
[00:04:26.260 --> 00:04:29.260]  在當中 法利塞人自以為掌握了
[00:04:29.260 --> 00:04:34.000]  律法和應用律法的權柄
[00:04:34.000 --> 00:04:35.280]  那個專業
[00:04:35.280 --> 00:04:36.500]  所以他們
[00:04:36.500 --> 00:04:39.620]  亦都因為他們有這樣的能力和專業
[00:04:39.620 --> 00:04:43.580]  他們亦都應該有資格來教導
[00:04:43.580 --> 00:04:47.600]  當時的百姓是怎樣過他們的生活
[00:04:47.600 --> 00:04:53.340]  但是他們沒有辦法真正有效的去教導當時的百姓
[00:04:53.340 --> 00:04:54.160]  因為
[00:04:54.160 --> 00:04:55.860]  大家去想想
[00:04:55.860 --> 00:05:00.000]  教導的只是停留在一個在說規矩
[00:05:00.000 --> 00:05:05.320]  在說做得對與錯的層面
[00:05:05.320 --> 00:05:07.680]  就是去到這個層面
[00:05:07.680 --> 00:05:09.940]  只可以去到這個層面那麼多
[00:05:09.940 --> 00:05:13.520]  舉個例子 我想大家就明白了
[00:05:13.520 --> 00:05:16.220]  甚麼叫做去到這個層面那麼多
[00:05:16.220 --> 00:05:19.180]  讓姐妹們不要生我的氣
[00:05:19.180 --> 00:05:20.680]  舉個例子
[00:05:20.680 --> 00:05:22.960]  今天有誰遲到
[00:05:22.960 --> 00:05:27.660]  沒有人承認 我都看不到
[00:05:27.660 --> 00:05:31.200]  遲到的 麻煩出去
[00:05:31.200 --> 00:05:32.700]  規矩
[00:05:32.700 --> 00:05:35.320]  翻崇拜 敬拜神
[00:05:35.320 --> 00:05:37.620]  是不應該遲到的
[00:05:37.620 --> 00:05:39.340]  遲到了那怎麼辦
[00:05:39.340 --> 00:05:41.280]  關門 有些教會是這樣做的
[00:05:41.280 --> 00:05:43.780]  不過我們是不會這樣
