
[00:00:00.000 --> 00:00:03.020]  今天節目讓我們聽神的道理
[00:00:03.020 --> 00:00:05.320]  以先讓我們先同心協力禱告
[00:00:05.320 --> 00:00:08.980]  第一樣我們先聽神的道理之前先同心禱告
[00:00:08.980 --> 00:00:14.080]  菩薩多謝祢 讓我們可以打開祢的說話
[00:00:14.080 --> 00:00:16.780]  由歲首到年終
[00:00:16.780 --> 00:00:19.080]  跟著祢
[00:00:19.080 --> 00:00:22.440]  祢的說話成為我們腳前的燈 路上的光
[00:00:22.440 --> 00:00:26.940]  讓我們知道怎樣走過去這一年的時間
[00:00:28.060 --> 00:00:31.100]  也讓我們不會只是停留在這一刻
[00:00:31.100 --> 00:00:34.180]  因為我們知道還有更長的日子
[00:00:34.180 --> 00:00:36.300]  祢把我們放在這個地上
[00:00:36.300 --> 00:00:39.400]  能夠繼續去經歷
[00:00:39.400 --> 00:00:42.080]  與神祢同在的那份甜蜜
[00:00:42.080 --> 00:00:44.380]  也讓我們能夠在
[00:00:44.380 --> 00:00:46.920]  人生的過程當中
[00:00:46.920 --> 00:00:49.440]  起或跌的時候
[00:00:49.440 --> 00:00:52.480]  都能夠經歷與神祢同在
[00:00:52.480 --> 00:00:53.880]  祢那份信神
[00:00:54.400 --> 00:00:58.260]  祂幫助我們 在聽祢的道理的過程當中
[00:00:58.260 --> 00:01:01.240]  有聖靈與我們能夠陪伴
[00:01:01.240 --> 00:01:04.080]  啟迪我們能夠明白當中的意義
[00:01:04.080 --> 00:01:05.620]  將我們的心
[00:01:05.620 --> 00:01:08.280]  重歸於一個玉心
[00:01:08.280 --> 00:01:10.080]  而不是一個石的心腸
[00:01:10.080 --> 00:01:12.280]  祂與我們同在
[00:01:12.280 --> 00:01:13.780]  Heavenly Father
[00:01:13.780 --> 00:01:16.160]  We would like to give thanks once again to you
[00:01:16.160 --> 00:01:20.160]  because you let us have another opportunity to turn to your word
[00:01:20.160 --> 00:01:23.060]  and to learn about who you are
[00:01:23.060 --> 00:01:25.920]  and also to let us have the direction
[00:01:25.920 --> 00:01:31.160]  how to keep going for the following times of our life
[00:01:31.160 --> 00:01:34.780]  We know that how we can stay close to you
[00:01:34.780 --> 00:01:36.220]  and walk with you
[00:01:36.220 --> 00:01:38.400]  So we ask for your Holy Spirit
[00:01:38.400 --> 00:01:40.780]  accompanied with us for today
[00:01:40.780 --> 00:01:43.140]  and from today to the future
[00:01:43.140 --> 00:01:45.700]  so that we are well prepared to
[00:01:45.700 --> 00:01:48.340]  face all the circumstances
[00:01:48.340 --> 00:01:52.360]  and also let us to have the experience
[00:01:52.360 --> 00:01:54.900]  that we know who you are
[00:01:54.900 --> 00:01:58.400]  and your providence throughout our life
[00:01:58.400 --> 00:02:01.240]  We pray in the name of our Lord Jesus Christ
[00:02:01.240 --> 00:02:02.300]  Amen
[00:02:02.300 --> 00:02:07.980]  不知道你有沒有想過
[00:02:07.980 --> 00:02:10.280]  你存在在這個世界裏面
[00:02:10.280 --> 00:02:13.740]  那個本身的意義是甚麼
[00:02:13.740 --> 00:02:15.000]  你有沒有想過
[00:02:15.000 --> 00:02:17.320]  你存在這個世界上的意義是甚麼
[00:02:17.320 --> 00:02:19.160]  在我讀神學的時候
[00:02:19.160 --> 00:02:20.480]  有一位神學家
[00:02:20.480 --> 00:02:23.560]  是我其中一個比較多專注研究的
[00:02:23.560 --> 00:02:25.860]  他的名字叫Soren Kierkegaard
[00:02:25.860 --> 00:02:27.660]  就是我在讀神學的時候
[00:02:27.660 --> 00:02:29.720]  有一位神學家
[00:02:29.720 --> 00:02:31.360]  我比較專注的
[00:02:31.360 --> 00:02:35.440]  叫做Soren Kierkegaard
[00:02:35.440 --> 00:02:41.840]  他的中文翻譯叫做郝克果
[00:02:41.840 --> 00:02:45.280]  他是一個神學家
[00:02:45.280 --> 00:02:46.980]  他既是一個神學家
[00:02:46.980 --> 00:02:48.340]  他也是一個哲學家
[00:02:48.340 --> 00:02:49.620]  他也是一個哲學家
[00:02:49.620 --> 00:02:53.020]  甚麼使得他這麼吸引我呢
[00:02:53.020 --> 00:02:55.460]  甚麼樣的吸引我呢
[00:02:55.460 --> 00:02:58.860]  就是因為他對於基督徒存在
[00:02:58.860 --> 00:03:01.420]  在這個世界的意義
[00:03:01.420 --> 00:03:03.060]  他有很深層的反思
[00:03:03.060 --> 00:03:05.160]  他對基督徒存在這個世界的意義
[00:03:05.160 --> 00:03:07.300]  有很深層的反應
[00:03:07.300 --> 00:03:09.260]  他簡單地來講
[00:03:09.260 --> 00:03:12.440]  可以說是在神學或者哲學界裏面
[00:03:12.440 --> 00:03:15.680]  所謂存在主義的鼻祖
[00:03:15.680 --> 00:03:19.640]  他可以說是在神學界和哲學界
[00:03:19.640 --> 00:03:21.740]  是存在主義的鼻祖
[00:03:21.740 --> 00:03:23.820]  甚至有系統的去在思想
[00:03:23.820 --> 00:03:26.160]  幾乎存在在這個世界本身的意義
[00:03:26.160 --> 00:03:28.760]  甚至一個人存在在這個世界本身的意義
[00:03:28.760 --> 00:03:30.360]  他有深層的理解
[00:03:30.360 --> 00:03:32.960]  一個基督徒存在這個世界上的意義
[00:03:32.960 --> 00:03:35.800]  甚至一個人在這個世界上的意義
[00:03:35.800 --> 00:03:42.100]  其中他有一個觀念是很值得人反思的
[00:03:42.100 --> 00:03:44.700]  他有一個觀念很值得人去反思的
[00:03:44.700 --> 00:03:46.180]  用英文翻譯來講
[00:03:46.180 --> 00:03:48.740]  就叫做either/or
[00:03:48.740 --> 00:03:49.580]  因為英文呢
[00:03:49.580 --> 00:03:50.340]  要麼是這樣
[00:03:50.340 --> 00:03:51.340]  要麼是這樣
[00:03:51.340 --> 00:03:52.940]  這樣或是那樣
[00:03:52.940 --> 00:03:54.240]  這樣或是那樣
[00:03:54.240 --> 00:03:56.380]  甚至他整個的主題
[00:03:56.380 --> 00:04:01.920]  也都寫在他這些著作的主要觀念當中
[00:04:01.920 --> 00:04:06.560]  就是他的觀念都寫在他的著作當中
[00:04:06.560 --> 00:04:10.800]  除了他這個所謂存在主義的反思
[00:04:10.800 --> 00:04:13.260]  還有存在主義的反思
[00:04:13.260 --> 00:04:15.540]  就衍生了後來這個世代
[00:04:15.540 --> 00:04:18.280]  更多不同類型的存在主義
[00:04:18.280 --> 00:04:21.280]  甚至走向一個極端主義
[00:04:21.280 --> 00:04:24.040]  就是個人主義的一個思維
[00:04:24.040 --> 00:04:26.580]  就是由這種的反思以後
[00:04:26.580 --> 00:04:30.320]  產生這種個人主義
[00:04:30.320 --> 00:04:32.020]  所謂什麼叫存在主義呢?
[00:04:32.020 --> 00:04:33.660]  什麼是存在主義呢?
[00:04:33.660 --> 00:04:35.660]  就是作為一個人
[00:04:35.660 --> 00:04:36.760]  作為一個人
[00:04:36.760 --> 00:04:40.020]  我現在活在這個時間、這個空間裡面
[00:04:40.020 --> 00:04:42.860]  我現在活在這個時間、這個空間裡面
[00:04:42.860 --> 00:04:44.840]  究竟我的意義
[00:04:44.840 --> 00:04:47.840]  在這個空間、這個時刻
[00:04:47.840 --> 00:04:49.140]  是有什麼作用?
[00:04:49.140 --> 00:04:52.840]  我的意義在這個時間、這個空間有什麼作用呢?
[00:04:52.840 --> 00:04:54.880]  甚至走向一個極端
[00:04:54.880 --> 00:04:56.440]  甚至走向一個極端
[00:04:56.440 --> 00:05:00.620]  我只不過是這個世界其中一個的元素
[00:05:00.620 --> 00:05:02.780]  我不過是這個世界的一個元素
[00:05:02.780 --> 00:05:05.080]  我可以不是一個個體
[00:05:05.080 --> 00:05:06.660]  我可以是一個死物一樣
[00:05:06.660 --> 00:05:08.560]  不是一個個體
[00:05:08.560 --> 00:05:09.920]  好像一個思維一樣
[00:05:09.920 --> 00:05:12.800]  不過它存在這裡有它本身的作用的意思
[00:05:12.800 --> 00:05:15.160]  它存在這個世界上有它的作用
[00:05:15.160 --> 00:05:18.060]  如果講得比較玄學一點呢?
[00:05:18.060 --> 00:05:20.440]  如果講得比較玄學一點呢?
[00:05:20.440 --> 00:05:22.100]  就好像一條河流一樣
[00:05:22.100 --> 00:05:23.640]  就好像一條河流一樣
[00:05:23.640 --> 00:05:27.000]  在這條河流當中有很多溪水在流動
[00:05:27.000 --> 00:05:29.580]  在有很多的流動
[00:05:29.580 --> 00:05:32.720]  我們只不過是其中一條溪水
[00:05:32.720 --> 00:05:35.440]  溪裡面的一粒小石
[00:05:35.440 --> 00:05:38.980]  我們不過是一個虛水中的一顆小石頭
[00:05:38.980 --> 00:05:40.580]  看起來好像沒什麼作用
[00:05:40.580 --> 00:05:41.780]  看起來好像沒什麼作用
[00:05:41.780 --> 00:05:43.320]  但實際上它有它的作用
[00:05:43.320 --> 00:05:44.960]  但實際上它有它的作用
[00:05:44.960 --> 00:05:48.400]  因為我自己本身讀地理學
[00:05:48.400 --> 00:05:54.000]  所以我自己對於這些比較有反思比較深層
[00:05:54.000 --> 00:05:55.600]  因為我讀地理學
[00:05:55.600 --> 00:05:57.640]  這些反思有一些比較深層
[00:05:57.640 --> 00:05:59.900]  即使一個河流裡面一塊石頭也好
[00:05:59.900 --> 00:06:02.440]  這個是河流的一個小石子也好
[00:06:02.440 --> 00:06:05.880]  它要影響河流的河水轉動的方向
[00:06:05.880 --> 00:06:08.620]  它會影響河流河水轉動的方向
[00:06:08.620 --> 00:06:10.120]  所以就憑一塊石頭
[00:06:10.120 --> 00:06:11.280]  就憑一塊石頭
[00:06:11.280 --> 00:06:15.060]  就可以激起一個沙堆或者一個島嶼
[00:06:15.060 --> 00:06:18.560]  它會造成一個沙堆或者一個島嶼
[00:06:18.560 --> 00:06:21.600]  所以存在主義可以是一個很深層的反思
[00:06:21.600 --> 00:06:23.620]  存在主義可以有一個很深層的反思
[00:06:23.620 --> 00:06:25.500]  但可以走到另外一個極端呢?
[00:06:25.500 --> 00:06:26.640]  但可以走到另外一個極端
[00:06:26.640 --> 00:06:28.560]  就好像沒有上帝什麼都沒有
[00:06:28.560 --> 00:06:31.160]  你在這個世界只有一件東西
[00:06:31.160 --> 00:06:32.800]  就是這個世界可以沒有上帝
[00:06:32.800 --> 00:06:34.040]  只有一件事
[00:06:34.040 --> 00:06:35.180]  它存在就存在
[00:06:35.180 --> 00:06:36.740]  不存在就不存在
[00:06:36.740 --> 00:06:37.980]  它存在就存在
[00:06:37.980 --> 00:06:39.140]  不存在就不存在
[00:06:39.140 --> 00:06:40.820]  究竟存在的意義是什麼呢?
[00:06:40.820 --> 00:06:42.520]  究竟存在的意義是什麼呢?
[00:06:42.520 --> 00:06:43.880]  你自己都不知道是什麼
[00:06:43.880 --> 00:06:45.880]  甚至你都不知道
[00:06:45.880 --> 00:06:47.660]  這種思維呢?
[00:06:47.660 --> 00:06:49.020]  這種思維
[00:06:49.020 --> 00:06:50.120]  不是大家不知道
[00:06:50.120 --> 00:06:51.620]  不是大家不知道
