
[00:00:00.000 --> 00:00:02.000]  各位姊妹早安
[00:00:02.000 --> 00:00:06.000]  經過了中國商周和宣教主日
[00:00:06.000 --> 00:00:09.000]  今天我們回到提摩泰前書
[00:00:09.000 --> 00:00:14.000]  我會和大家看第六章剛才讀出的經文
[00:00:14.000 --> 00:00:17.000]  提摩泰前書到了第六章
[00:00:17.000 --> 00:00:21.000]  保羅就帶出了一個很貼身的問題
[00:00:21.000 --> 00:00:23.000]  和我們講錢
[00:00:23.000 --> 00:00:28.000]  這個也是所有基督徒都很熱切關注的問題
[00:00:28.000 --> 00:00:31.000]  關注的其中一個原因
[00:00:31.000 --> 00:00:37.000]  就是這個世界的經濟資源分配是極不公平
[00:00:37.000 --> 00:00:42.000]  全世界最少有五分之一的人口
[00:00:42.000 --> 00:00:44.000]  是活在貧窮當中
[00:00:44.000 --> 00:00:46.000]  他們衣食不足
[00:00:46.000 --> 00:00:51.000]  連生存的基本需要都是不足夠
[00:00:51.000 --> 00:00:54.000]  但是卻有一小撮人
[00:00:54.000 --> 00:00:57.000]  是生活在極度奢華當中
[00:00:57.000 --> 00:01:02.000]  香港是一個資本主義的社會
[00:01:02.000 --> 00:01:06.000]  貧富懸殊是極為嚴重
[00:01:06.000 --> 00:01:10.000]  根據政府最新的數字
[00:01:10.000 --> 00:01:15.000]  香港貧窮人口是過去七年來最高的
[00:01:15.000 --> 00:01:23.000]  大家知不知道香港的貧窮率是有百分之多少
[00:01:23.000 --> 00:01:29.000]  香港的貧窮率是百分之十九點九
[00:01:29.000 --> 00:01:34.000]  即是說我們和全世界已經拉平了
[00:01:34.000 --> 00:01:40.000]  每五個人當中在香港就有一個貧窮人
[00:01:40.000 --> 00:01:46.000]  香港人的普遍價值觀是什麼呢
[00:01:46.000 --> 00:01:53.000]  普遍價值觀就是金錢萬能財可通神
[00:01:53.000 --> 00:01:59.000]  基督徒身處在香港會不會都不自覺地
[00:01:59.000 --> 00:02:02.000]  被這種錢財價值觀所影響呢
[00:02:02.000 --> 00:02:09.000]  我們又怎樣可以建構一套正確的金錢神學呢
[00:02:09.000 --> 00:02:14.000]  答案當然是回到聖經裏面
[00:02:14.000 --> 00:02:21.000]  如果你看一些關於門徒理財或營商的書籍
[00:02:21.000 --> 00:02:24.000]  你就會發現很多時候
[00:02:24.000 --> 00:02:30.000]  很多作者都會引用提摩太前書第六章
[00:02:30.000 --> 00:02:32.000]  剛才我們讀過的經文
[00:02:32.000 --> 00:02:37.000]  所以今日我們所看的經文是非常之重要
[00:02:37.000 --> 00:02:41.000]  亦都值得我們深入去思考
[00:02:41.000 --> 00:02:46.000]  在講道之先讓我們再一次同心吐告
[00:02:46.000 --> 00:02:52.000]  親愛的我們真的很願意藉著你的話語
[00:02:52.000 --> 00:02:59.000]  去找到你在我們生命裏面的旨意和目標
[00:02:59.000 --> 00:03:04.000]  特別我們怎樣去做一個忠心的管家
[00:03:04.000 --> 00:03:07.000]  主求你是教導我們
[00:03:07.000 --> 00:03:13.000]  怎樣去好好管理你所託付給我們的一切
[00:03:13.000 --> 00:03:16.000]  包括是錢財在來
[00:03:16.000 --> 00:03:20.000]  主求你的靈是引導我們每一個
[00:03:20.000 --> 00:03:24.000]  讓我們能夠進入真理當中
[00:03:24.000 --> 00:03:28.000]  亦都讓我們有從你而來的力量
[00:03:28.000 --> 00:03:30.000]  我們去活出真理
[00:03:30.000 --> 00:03:31.000]  聽我們的祈禱
[00:03:31.000 --> 00:03:34.000]  奉耶穌基督成名祈求
[00:03:34.000 --> 00:03:42.000]  保羅在提摩太前書裏面不斷重覆一點
[00:03:42.000 --> 00:03:43.000]  重覆甚麼呢?
[00:03:43.000 --> 00:03:50.000]  重覆純正的教義是必須配合敬虔的生活
[00:03:50.000 --> 00:03:55.000]  敬虔這個字在新約出現了十五次
[00:03:55.000 --> 00:03:59.000]  而在提摩太前書就出現了九次
[00:03:59.000 --> 00:04:07.000]  所以敬虔就是這本書一個非常重要的觀念
[00:04:07.000 --> 00:04:11.000]  在六章的第三至第五節
[00:04:11.000 --> 00:04:16.000]  保羅就對那些假教師作出批判
