
[00:00:00.000 --> 00:00:03.000]  再次多謝大家給我機會
[00:00:03.000 --> 00:00:05.000]  分享上帝的說話
[00:00:05.000 --> 00:00:08.000]  縱然我們在疫情底下
[00:00:08.000 --> 00:00:11.000]  仍然沒有這樣的機會
[00:00:11.000 --> 00:00:16.000]  可以實體在教會裡一齊去敬拜神
[00:00:16.000 --> 00:00:20.000]  但我深信神是無所不在
[00:00:20.000 --> 00:00:23.000]  縱然我們今天未必面對面
[00:00:23.000 --> 00:00:26.000]  在這個地方見面
[00:00:26.000 --> 00:00:28.000]  不過我經常提及
[00:00:28.000 --> 00:00:32.000]  我們最重要的不是見到人
[00:00:32.000 --> 00:00:36.000]  我們最重要的是能夠見到上帝
[00:00:36.000 --> 00:00:39.000]  所以有首詩歌也讓我們預備心
[00:00:39.000 --> 00:00:42.000]  我們一會兒去到神的華語那邊
[00:00:42.000 --> 00:00:46.000]  我仍然是用十二的使徒
[00:00:46.000 --> 00:00:48.000]  一個系列和大家分享
[00:00:48.000 --> 00:00:52.000]  而今天如我都去到第七篇
[00:00:52.000 --> 00:00:55.000]  關於使徒的講道
[00:00:55.000 --> 00:00:58.000]  而今天我會跟大家講一個使徒
[00:00:58.000 --> 00:01:00.000]  肥力這個使徒
[00:01:00.000 --> 00:01:03.000]  我們用一首詩歌來預備我們的心
[00:01:03.000 --> 00:01:05.000]  我們一會兒去到神的華語那邊
[00:01:05.000 --> 00:01:08.000]  我們一齊去敬拜我們的主
[00:01:08.000 --> 00:01:09.000]  當我們預備我們的心
[00:01:09.000 --> 00:01:11.000]  我們一會兒會再用一首詩歌
[00:01:11.000 --> 00:01:13.000]  去敬拜我們的主的時候
[00:01:13.000 --> 00:01:14.000]  這首詩歌很特別
[00:01:14.000 --> 00:01:17.000]  它說我們要抬起我們的頭
[00:01:17.000 --> 00:01:21.000]  我們很明白在過去一段日子當中
[00:01:21.000 --> 00:01:23.000]  香港這個城市
[00:01:23.000 --> 00:01:25.000]  的而且確是發生了很多很多
[00:01:25.000 --> 00:01:29.000]  不同的一些情景
[00:01:29.000 --> 00:01:31.000]  可能我們都未必對
[00:01:31.000 --> 00:01:34.000]  今天我們所住的香港這個城市
[00:01:34.000 --> 00:01:37.000]  好像開始有些陌生
[00:01:37.000 --> 00:01:40.000]  當然直至到今年
[00:01:40.000 --> 00:01:44.000]  差不多這八個月的一個疫情裡邊
[00:01:44.000 --> 00:01:46.000]  我們更加體會到
[00:01:46.000 --> 00:01:51.000]  究竟上帝為什麼容讓這個疫情
[00:01:51.000 --> 00:01:53.000]  在整個世界
[00:01:53.000 --> 00:01:57.000]  我們可以說是一種爆發
[00:01:57.000 --> 00:01:59.000]  去到今天我們仍然看到
[00:01:59.000 --> 00:02:03.000]  香港縱然的數字開始有些回落
[00:02:03.000 --> 00:02:05.000]  不過在這個第三波的疫情底下
[00:02:05.000 --> 00:02:08.000]  我們仍然都不能夠去鬆懈
[00:02:08.000 --> 00:02:09.000]  我們真的不知道
[00:02:09.000 --> 00:02:11.000]  這個疫情會不會去到第四波
[00:02:11.000 --> 00:02:13.000]  或者去到第五波
[00:02:13.000 --> 00:02:15.000]  而今天我們也都聽到
[00:02:15.000 --> 00:02:16.000]  無論在亞洲
[00:02:16.000 --> 00:02:21.000]  無論是可能在韓國 日本
