
[00:00:00.000 --> 00:00:02.700]  今天跟大家 早堂就真的很快了
[00:00:02.700 --> 00:00:05.200]  七個教會 我們去到第六個了
[00:00:05.200 --> 00:00:08.100]  第六個就叫做「非拉鐵非教會」
[00:00:08.100 --> 00:00:09.500]  早堂快很多
[00:00:09.500 --> 00:00:12.300]  待會五堂呢 是講到別監
[00:00:12.300 --> 00:00:16.000]  第一部份呢 就是PH那部份
[00:00:16.000 --> 00:00:18.200]  火炭和馬鞍山
[00:00:18.200 --> 00:00:21.500]  還在講第一個教會 都還沒講完
[00:00:21.500 --> 00:00:27.500]  「非拉鐵非教會」呢
[00:00:27.500 --> 00:00:29.200]  是一個甚麼教會來的呢
[00:00:29.200 --> 00:00:31.400]  首先這個名「非拉鐵非」先
[00:00:31.400 --> 00:00:35.400]  很多時候呢 名是有意思的
[00:00:35.400 --> 00:00:37.400]  「非拉鐵非」呢 英文呢
[00:00:37.400 --> 00:00:39.300]  講出來呢 你就很容易會知道
[00:00:39.300 --> 00:00:40.600]  Philadelphia
[00:00:40.600 --> 00:00:43.300]  美國都有一個地方叫Philadelphia
[00:00:43.300 --> 00:00:46.800]  我不知道它為甚麼改名做Philadelphia
[00:00:46.800 --> 00:00:48.800]  我不知道 我沒有去研究過
[00:00:48.800 --> 00:00:50.500]  美國的Philadelphia
[00:00:50.500 --> 00:00:53.800]  即是美國的「非拉鐵非」的歷史背景
[00:00:53.800 --> 00:00:55.800]  但是呢 聖經這個
[00:00:55.800 --> 00:00:59.400]  「非拉鐵非」這個教會 在啟示六七教會呢
[00:00:59.400 --> 00:01:01.000]  「非拉鐵非」這個名稱呢
[00:01:01.000 --> 00:01:03.500]  其實就是由兩個希臘文組成的
[00:01:03.500 --> 00:01:05.800]  第一部份呢 就是PH那部份
[00:01:05.800 --> 00:01:07.500]  PHI那部份
[00:01:07.500 --> 00:01:08.700]  Phileo
[00:01:08.700 --> 00:01:11.200]  Phileo呢 聖經裏面講到愛呢
[00:01:11.200 --> 00:01:13.000]  是有四個愛的字的
[00:01:13.000 --> 00:01:14.400]  很多時候我們一般呢
[00:01:14.400 --> 00:01:15.400]  是說只有三個
[00:01:15.400 --> 00:01:17.700]  Eros、Phileo和Agape
[00:01:17.700 --> 00:01:19.500]  最熟就是Agape的了
[00:01:19.500 --> 00:01:21.200]  以前我開過一間基督教書局
[00:01:21.200 --> 00:01:22.900]  就叫做Agape Bookstore
[00:01:22.900 --> 00:01:24.700]  在加拿大 現在已經沒有開了
[00:01:24.700 --> 00:01:26.500]  中文改為恆愛
[00:01:26.500 --> 00:01:28.000]  永恆的愛
[00:01:28.000 --> 00:01:30.900]  所以呢 這個Phileo這個字呢
[00:01:30.900 --> 00:01:32.700]  就是解一個愛字
[00:01:32.700 --> 00:01:35.200]  因為呢 聖經裏面講到愛的時候呢
[00:01:35.200 --> 00:01:36.700]  它會很細分的
[00:01:36.700 --> 00:01:38.300]  男女之間的愛呀
[00:01:38.300 --> 00:01:40.000]  朋友呀 兄弟之間的愛呀
[00:01:40.000 --> 00:01:41.300]  神的愛呀
[00:01:41.300 --> 00:01:44.300]  各種的愛 它會有不同的字眼的
[00:01:44.300 --> 00:01:45.700]  所以這個字第一部份呢
[00:01:45.700 --> 00:01:48.200]  Philadelphia 非拉鐵非呢
[00:01:48.200 --> 00:01:51.300]  我們就是知道它是關於愛的
