
[00:00:00.000 --> 00:00:06.000]  各位網友平安,很想在復活節期間向你問安
[00:00:06.000 --> 00:00:11.000]  今天我要講的題目就是"死亡,我比你長命"
[00:00:11.000 --> 00:00:14.000]  好像一個很牙刷的題目
[00:00:14.000 --> 00:00:17.000]  的而且確,死亡你不要牙刷刷
[00:00:17.000 --> 00:00:21.000]  我不怕你,因爲我贏了你
[00:00:21.000 --> 00:00:26.000]  爲什麼我們基督徒可以說死亡你不要牙刷呢?
[00:00:26.000 --> 00:00:33.000]  因爲是耶穌祂已經從死裏面復活,勝過死亡
[00:00:33.000 --> 00:00:36.000]  死亡對於每一個人來說
[00:00:36.000 --> 00:00:39.000]  好像一道網羅一樣
[00:00:39.000 --> 00:00:42.000]  這道網羅抓住所有的人
[00:00:42.000 --> 00:00:45.000]  因爲人人都有一死
[00:00:45.000 --> 00:00:49.000]  因此死亡會令我們很恐懼
[00:00:49.000 --> 00:00:51.000]  當你去看醫生的時候
[00:00:51.000 --> 00:00:53.000]  醫生再幫你做一些檢查
[00:00:53.000 --> 00:00:57.000]  又再做一些檢查,然後醫生宣判
[00:00:57.000 --> 00:01:00.000]  他說你已經得到癌症
[00:01:00.000 --> 00:01:05.000]  而且好不好彩,你已經來到癌症最後一期
[00:01:05.000 --> 00:01:08.000]  可能我們心裏突然之間
[00:01:08.000 --> 00:01:11.000]  結入一個很恐慌的裏面
[00:01:11.000 --> 00:01:14.000]  因爲死亡好像很近
[00:01:14.000 --> 00:01:16.000]  特別我做牧師
[00:01:16.000 --> 00:01:18.000]  有很多時候去醫院探病
[00:01:18.000 --> 00:01:24.000]  探到一些垂危的病人
[00:01:24.000 --> 00:01:26.000]  我心裏面真的很痛
[00:01:26.000 --> 00:01:29.000]  特別他的家人在旁邊很着急
[00:01:29.000 --> 00:01:31.000]  很想我爲他祈禱
[00:01:31.000 --> 00:01:34.000]  求耶穌來醫治他
[00:01:34.000 --> 00:01:39.000]  但我知道他已經走到最後的階段
[00:01:39.000 --> 00:01:41.000]  有時候我心裏就說
[00:01:41.000 --> 00:01:43.000]  會不會我祈求耶穌
[00:01:43.000 --> 00:01:46.000]  賜給他一份平靜安寧
[00:01:46.000 --> 00:01:51.000]  讓他舒舒服服回到天父的懷中
[00:01:51.000 --> 00:01:52.000]  回到天家
[00:01:52.000 --> 00:01:58.000]  因爲聖經說在天上是更美的地方
[00:01:58.000 --> 00:02:00.000]  因此對死亡來說
[00:02:00.000 --> 00:02:02.000]  有些人真的很害怕
[00:02:02.000 --> 00:02:04.000]  害怕得很不得了
[00:02:04.000 --> 00:02:05.000]  特別在醫院裏面
[00:02:05.000 --> 00:02:08.000]  有時候我看到幾張病牀
[00:02:08.000 --> 00:02:12.000]  因爲那個牀全部都是癌症的牀
[00:02:12.000 --> 00:02:16.000]  在那個基督徒牀的旁邊牀
[00:02:16.000 --> 00:02:18.000]  有另外一個伯伯
[00:02:18.000 --> 00:02:21.000]  我看到他真的滿面受用
[00:02:21.000 --> 00:02:23.000]  很恐懼
[00:02:23.000 --> 00:02:26.000]  他的太太就在旁邊哭
[00:02:26.000 --> 00:02:30.000]  因爲這個伯伯已經去到最後的階段
[00:02:30.000 --> 00:02:32.000]  有時候我就感到很淒涼
[00:02:32.000 --> 00:02:36.000]  爲什麼有些人對死亡的恐懼這麼大
[00:02:36.000 --> 00:02:38.000]  但是又很特別
[00:02:38.000 --> 00:02:41.000]  我又知道有些年輕人
[00:02:41.000 --> 00:02:45.000]  他們時時有一個輕生的觀念
[00:02:45.000 --> 00:02:47.000]  就很想死
[00:02:47.000 --> 00:02:48.000]  因爲爲什麼呢
[00:02:48.000 --> 00:02:49.000]  他失戀
[00:02:49.000 --> 00:02:51.000]  有些人很想死
[00:02:51.000 --> 00:02:52.000]  爲什麼呢
[00:02:52.000 --> 00:02:54.000]  因爲他破產生意失敗
[00:02:54.000 --> 00:02:57.000]  他覺得前面完全沒有希望
