
[00:00:00.000 --> 00:00:01.440]  主耶稣真的會再來嗎
[00:00:01.440 --> 00:00:07.000]  我做一個調查 好不好
[00:00:07.000 --> 00:00:10.800]  你相信主耶稣會再來的 舉一下手 好嗎
[00:00:10.800 --> 00:00:14.360]  感謝主 請放下
[00:00:14.360 --> 00:00:21.600]  你相信主耶稣在我們今世 就是在你還活著的時候 就會再來的
[00:00:21.600 --> 00:00:29.000]  這就比較少了 少了很多啊 請放下
[00:00:30.360 --> 00:00:30.680]  OK
[00:00:30.680 --> 00:00:34.680]  等一下我會告訴你這個
[00:00:34.680 --> 00:00:39.080]  全美國人的這個這個答案是什麼
[00:00:39.080 --> 00:00:45.120]  每一個主的主餐的時候
[00:00:45.120 --> 00:00:52.880]  我想我也是最近這段時間 那麼去年開始我就想在主餐的時候
[00:00:52.880 --> 00:00:57.840]  我就比較要特別focus在講這個主再來的事情
[00:01:00.120 --> 00:01:03.040]  也許對你來講 我不知道你感覺如何
[00:01:03.040 --> 00:01:10.240]  但是這些年我們越來越深的感覺到 主來的日子越來越近了
[00:01:10.240 --> 00:01:13.440]  跟你旁邊說 主來的日子近了
[00:01:13.440 --> 00:01:19.320]  彼得在這一段經文裡面
[00:01:19.320 --> 00:01:29.320]  講到彼得厚書這段經文裡面 上次我們在上一次的訊息我們是講後面 這是我們來講前面
[00:01:30.560 --> 00:01:35.160]  整個彼得厚書第三章都是在講到主再來這個主題
[00:01:35.160 --> 00:01:43.880]  彼得在彼得厚書第三章第一節到第九節這段經文裡面 他提到
[00:01:43.880 --> 00:01:51.160]  親愛的弟兄啊 我現在寫給你們的是第二封信 這兩封都是提醒你們
[00:01:51.160 --> 00:01:59.000]  激發你們誠實的心 叫你們紀念聖先知和預先所說的話和主救主的命令
[00:02:00.680 --> 00:02:06.000]  所以彼得在這個地方 他說我寫信這個給你們 要激發你們
[00:02:06.000 --> 00:02:12.720]  這個誠實的心 這個誠實的心就是指的那種單純的一個饑渴的心
[00:02:12.720 --> 00:02:20.400]  我覺得今天我們非常需要對主的再來要有再一次的提醒
[00:02:20.400 --> 00:02:27.080]  所以彼得今天這個提醒不是只是對當時候的世代的人 也是對我們今天這個提醒
[00:02:27.800 --> 00:02:33.920]  而且我們今天這個世代的人應該會更深的有這種感覺 是嗎 特別我們住在洛杉磯的
[00:02:33.920 --> 00:02:40.800]  山火雖然現在已經到昨天的報紙上面 就是已經基本上控制了
[00:02:40.800 --> 00:02:44.800]  但是親愛的兄弟妹
[00:02:44.800 --> 00:02:49.920]  不是只有今年有山火 我們住在洛杉磯的
[00:02:50.800 --> 00:02:58.600]  特別我們住在這個 就是我們住在那個比加斯這個2110
[00:02:58.600 --> 00:03:04.680]  那個附近的 free 210以北的 更深的感覺到 因為靠山
[00:03:04.680 --> 00:03:07.480]  每年都有山火
[00:03:07.480 --> 00:03:15.640]  所以這個主耶穌的再來 到底有什麼重要性呢
[00:03:17.880 --> 00:03:21.480]  對於這個世界許多不認識他的人來講
[00:03:21.480 --> 00:03:29.320]  我想有一個問題 我們都要問這個問題 就是當人死了以後去哪裡
[00:03:29.320 --> 00:03:34.280]  去哪裡 去天堂
[00:03:34.280 --> 00:03:43.680]  你說我根本不相信天堂地獄 有沒有這樣人 你不用舉手
[00:03:47.400 --> 00:03:51.960]  如果沒有天堂也沒有地獄 請問死了以後去哪裡
[00:03:51.960 --> 00:03:59.600]  我在隨時禮拜常常就講 我說我們中國人有一句話說什麼
[00:03:59.600 --> 00:04:05.160]  死了 醫了 白了 死了嗎
[00:04:05.160 --> 00:04:15.760]  如果死了以後沒有永生 死了以後沒有地獄 沒有天堂 死了
[00:04:17.240 --> 00:04:19.200]  就是醫了白了
[00:04:19.200 --> 00:04:24.480]  那我覺得啊 人生太痛苦了 是吧
[00:04:24.480 --> 00:04:30.320]  乾脆好好的幹他一票 然後就死了
[00:04:30.320 --> 00:04:42.160]  確定什麼 不是 如果你對人死以後沒有盼望 你不知道死後去哪裡 你不相信天堂不相信地獄
[00:04:42.160 --> 00:04:45.720]  其實你的人生會很可悲的
[00:04:47.760 --> 00:04:51.240]  今天很多的人因為沒有這種末世觀 包括基督徒
[00:04:51.240 --> 00:04:59.600]  以至於活著不知道為什麼而活 我常講什麼叫人生 人生是什麼
[00:04:59.600 --> 00:05:02.160]  你什麼定義人生
[00:05:02.160 --> 00:05:11.920]  我覺得很簡單 人生就是人的一生 人出生一直到死亡這叫人生是不是
[00:05:16.200 --> 00:05:19.320]  但是孔老夫子說不知生 怎麼樣
[00:05:19.320 --> 00:05:29.160]  焉知死 所以孔老夫子知不知道生 知不知道死 不知道 他知不知道人從哪裡來 他知不知道人死後去哪裡 不知道
[00:05:29.160 --> 00:05:33.680]  連孔老夫子都不知道 所以中國人都不知道
[00:05:33.680 --> 00:05:37.520]  因為我們尊他為什麼聖賢嘛
[00:05:37.520 --> 00:05:43.640]  我們是孔夫子的後代 但是其他留著沒
[00:05:47.200 --> 00:05:50.680]  至少孔夫子還承認自己無知 懂嗎
[00:05:50.680 --> 00:05:56.600]  不知生 焉知死 今天很多人啊
[00:05:56.600 --> 00:06:04.560]  不知道以後人生是什麼 也不知道從哪裡來 但是自己呢 卻以為自己知道
[00:06:04.560 --> 00:06:06.360]  那才可悲
[00:06:09.960 --> 00:06:17.040]  所以如果今天你第一次來還沒有信主的 如果你在這個我們教會裡面已經悟到了一段時間還沒有信主的
[00:06:17.040 --> 00:06:26.640]  我先丟給你一個問題 你再好好仔細下面 到底人生人死了以後去哪裡
[00:06:26.640 --> 00:06:34.200]  相信人死了以後 你相信你自己能夠到天堂了 請舉手
[00:06:38.160 --> 00:06:42.360]  有人舉半隻手 那是什麼意思 請放下
[00:06:42.360 --> 00:06:50.680]  你不確定你能不能夠去天堂 請舉下手
[00:06:50.680 --> 00:06:58.000]  都沒有 那剛才沒有舉手的 請告訴我你的答案是什麼
[00:06:58.000 --> 00:07:04.760]  剛才沒有舉手的 那舉一下手好不好
[00:07:07.240 --> 00:07:12.080]  我說剛才沒有舉手的
[00:07:12.080 --> 00:07:17.600]  剛才沒有舉手的 舉下手好不好 都沒有
[00:07:17.600 --> 00:07:30.960]  我們總是會有一些人 他就是反正你怎麼說我都不動 以不變應萬變 是不是比較安全一點
[00:07:34.280 --> 00:07:41.280]  你可以在這裡你不用表示 你可以不用舉手 但是這個問題我盼望你認真的去問這個問題
[00:07:41.280 --> 00:07:43.520]  如果你沒有這個把握
[00:07:43.520 --> 00:07:47.920]  這是一個很嚴肅的問題
[00:07:47.920 --> 00:07:55.960]  我們今天一定要解決這個問題 盼望今天在這裡的每一個人都有把握
[00:07:55.960 --> 00:08:04.040]  如果今天就在這個時候 我如果走了 我確定我可以到神那邊去 我可以到主那邊去 我可以到天國去
[00:08:05.000 --> 00:08:10.760]  好 那麼對這些 對我們基督徒來講
[00:08:10.760 --> 00:08:18.120]  很多人對將來的事情 就是所謂的基督教的末世觀 是很模模糊糊的
