
[00:00:00.000 --> 00:00:02.880]  弟兄姊妹、牧者平安
[00:00:02.880 --> 00:00:04.480]  感謝神讓我今天能夠
[00:00:04.480 --> 00:00:07.520]  跟大家一起分享神的話語
[00:00:07.520 --> 00:00:09.440]  今天我跟大家分享的題目是
[00:00:09.440 --> 00:00:15.120]  「用心聆聽社區輪舍的呼聲」
[00:00:15.120 --> 00:00:17.400]  不知道你認不認識你的鄰居
[00:00:17.400 --> 00:00:19.920]  例如住在你家的左邊、右邊
[00:00:19.920 --> 00:00:21.320]  對面的人
[00:00:21.320 --> 00:00:24.120]  你知不知道怎麼稱呼他們呢?
[00:00:24.120 --> 00:00:26.520]  平日見到面有沒有交談一下
[00:00:26.520 --> 00:00:29.720]  或者有一些日常的互動呢?
[00:00:29.720 --> 00:00:32.280]  我現在問了幾條問題
[00:00:32.280 --> 00:00:34.440]  如果令到你的腦袋在這個時間
[00:00:34.440 --> 00:00:37.560]  突然想起一些人的面孔呢?
[00:00:37.560 --> 00:00:42.720]  這些人的面孔一直留在你的心裡
[00:00:42.720 --> 00:00:45.000]  今天跟大家分享這個題目
[00:00:45.000 --> 00:00:48.280]  其實是五個在日常生活裡
[00:00:48.280 --> 00:00:50.480]  我們可以祝福別人的步驟
[00:00:50.480 --> 00:00:52.040]  第二個步驟
[00:00:52.040 --> 00:00:57.920]  當我們說到要聆聽社區和輪舍的呼聲
[00:00:57.920 --> 00:01:00.280]  呼聲是什麼意思呢?
[00:01:00.280 --> 00:01:02.800]  可以說是呼喊的聲音
[00:01:02.800 --> 00:01:10.560]  通常都是用來比喻群眾的意見、要求或者需要
[00:01:10.560 --> 00:01:15.320]  我很希望我能夠在今次分享完訊息之後
[00:01:15.320 --> 00:01:22.320]  我們大家都會有一個回應
[00:01:22.320 --> 00:01:27.640]  就是我們會認同我們要用心去聆聽社區
[00:01:27.640 --> 00:01:29.640]  和輪舍的呼聲
[00:01:29.640 --> 00:01:31.680]  原來是很重要的事情
[00:01:31.680 --> 00:01:36.320]  我們願意去開始學習如何去聆聽
[00:01:36.320 --> 00:01:38.840]  更加願意去採取行動
[00:01:38.840 --> 00:01:42.480]  讓自己有更多的機會去聆聽
[00:01:42.480 --> 00:01:43.400]  好嗎?
[00:01:43.400 --> 00:01:48.600]  讓我們一起先做一個祈禱
[00:01:48.600 --> 00:01:49.360]  親愛的天父
[00:01:49.360 --> 00:01:52.080]  我們感謝你眷顧我們
[00:01:52.080 --> 00:01:54.800]  你眷顧我們的教會
[00:01:54.800 --> 00:01:57.680]  我們能夠稱為屬於你的人
[00:01:57.680 --> 00:02:02.520]  被你招聚成為一個見證你的群體
[00:02:02.520 --> 00:02:04.360]  是有你的心意
[00:02:04.360 --> 00:02:06.640]  也是你給我們的福氣
[00:02:06.640 --> 00:02:08.400]  感謝天父
[00:02:08.400 --> 00:02:11.680]  我們恭敬將以下的時間交托
[00:02:11.680 --> 00:02:13.840]  求聖靈高沒僕人
[00:02:13.840 --> 00:02:17.480]  能夠按你的意思講得清楚
[00:02:17.480 --> 00:02:19.240]  又求聖靈幫助
[00:02:19.240 --> 00:02:21.880]  叫聆聽的人能夠聆聽得明白
[00:02:21.880 --> 00:02:25.760]  讓我們一起同心領受你的教導
[00:02:25.760 --> 00:02:27.360]  活在當下
[00:02:27.360 --> 00:02:28.600]  我們這樣的禱告
[00:02:28.600 --> 00:02:30.920]  奉靠主耶穌基督的名
[00:02:30.920 --> 00:02:33.080]  阿們
[00:02:33.080 --> 00:02:37.400]  相信在上幾個主日信息中
[00:02:37.400 --> 00:02:38.720]  大家都明白
[00:02:38.720 --> 00:02:40.760]  為什麼用心聆聽
[00:02:40.760 --> 00:02:43.800]  是一個祝福別人的方法
[00:02:43.800 --> 00:02:44.880]  簡單來說
[00:02:44.880 --> 00:02:47.720]  我們一般人都是用耳朵去聆聽
[00:02:47.720 --> 00:02:51.360]  而不是用心去聆聽別人的故事
[00:02:51.360 --> 00:02:53.520]  後者用心聆聽
[00:02:53.520 --> 00:02:58.440]  實際是能夠令對方感受到真心的關懷
[00:02:58.440 --> 00:02:59.840]  真心的愛
