
[00:00:00.000 --> 00:00:02.800]  Hello 大家好 我是林牧師
[00:00:02.800 --> 00:00:05.800]  2020年3月17號星期二
[00:00:05.800 --> 00:00:09.320]  想和大家介紹《珍妮廚房》裡面的一個新節目
[00:00:09.320 --> 00:00:12.240]  叫做《林牧師信箱》
[00:00:12.240 --> 00:00:14.800]  是的 我們從現在開始
[00:00:14.800 --> 00:00:18.400]  如果你有什麼聖經問題或者靈明的分享
[00:00:18.400 --> 00:00:21.760]  都可以電郵或者郵寄給我
[00:00:21.760 --> 00:00:24.760]  我想你記住這個地址
[00:00:24.760 --> 00:00:28.200]  香港銅鑼灣禮頓道119號
[00:00:28.200 --> 00:00:30.440]  所以你除了電郵給我
[00:00:30.440 --> 00:00:34.440]  你都可以寫一封信直接拿到來我們教會
[00:00:34.440 --> 00:00:37.640]  這個地址是非常重要 我想你記住
[00:00:37.640 --> 00:00:40.440]  今天想和大家讀第一封信
[00:00:40.440 --> 00:00:42.440]  第一封信很厲害的
[00:00:42.440 --> 00:00:46.240]  題目叫做《踏上了新歡》
[00:00:46.240 --> 00:00:48.840]  是不是覺得有些煽情
[00:00:48.840 --> 00:00:52.600]  是一個移情別戀的故事
[00:00:52.600 --> 00:00:57.120]  幸好這個故事還沒有到一個不可收拾的地步
[00:00:57.120 --> 00:00:59.360]  這封信寫給我的時候
[00:00:59.360 --> 00:01:01.800]  她一開始已經在說
[00:01:01.800 --> 00:01:05.200]  林牧師救命啊 我愛上了阿妮
[00:01:05.200 --> 00:01:09.520]  好像她愛上了一個新歡
[00:01:09.520 --> 00:01:12.000]  寫信的人叫做阿愛
[00:01:12.000 --> 00:01:14.480]  阿愛是一個姐妹
[00:01:14.480 --> 00:01:17.800]  阿愛有一個很好的男朋友叫做阿實
[00:01:17.800 --> 00:01:20.680]  其實他們已經訂婚了
[00:01:20.680 --> 00:01:25.680]  阿愛和阿實有一個很浪漫的愛情故事
[00:01:25.680 --> 00:01:29.520]  我們可以說是叫做美味情緣
[00:01:29.520 --> 00:01:34.600]  阿實是一個餐廳的主人和廚師
[00:01:34.600 --> 00:01:40.120]  有一次阿愛有些朋友將她帶到阿實的餐廳
[00:01:40.120 --> 00:01:43.280]  她一吃就愛上了阿實的食物
[00:01:43.280 --> 00:01:46.520]  也後來就愛上了阿實
[00:01:46.520 --> 00:01:51.320]  他們由拍拖定情的整個旅程裡面
[00:01:51.320 --> 00:01:55.880]  都有一個每一個週的約定
[00:01:55.880 --> 00:01:57.000]  很有趣的
