
[00:00:00.000 --> 00:00:01.600]  各位D中紙美評壓
[00:00:01.600 --> 00:00:04.000]  哎,對不起,忘記了轉檯
[00:00:04.000 --> 00:00:07.000]  各位弟姐妹,早晨
[00:00:07.000 --> 00:00:11.000]  因爲最近經常在操練國語
[00:00:11.000 --> 00:00:16.000]  好,很開心今天我們能夠坐在這裏
[00:00:16.000 --> 00:00:20.000]  特別我想我們上個星期一起去見證
[00:00:20.000 --> 00:00:26.000]  在我們將來新唐的土地裏面一起去敬拜
[00:00:26.000 --> 00:00:28.000]  不知道心裏面有什麼感動
[00:00:28.000 --> 00:00:32.000]  我看到第一代被差遣出來的弟兄姐妹
[00:00:32.000 --> 00:00:35.000]  你們的心應該比我們更加着藥
[00:00:35.000 --> 00:00:40.000]  所以我深信上帝比我們恩全家有他的使命
[00:00:40.000 --> 00:00:41.000]  有他的照命
[00:00:41.000 --> 00:00:44.000]  不過大前提就是我們必須要問
[00:00:44.000 --> 00:00:47.000]  我們聽了好幾個星期《照命人生》
[00:00:47.000 --> 00:00:51.000]  可能我們都聽了很多不同的牧者、孫教士
[00:00:51.000 --> 00:00:55.000]  分享他們過中怎麼去經歷上帝的帶領
[00:00:55.000 --> 00:00:57.000]  不知道你有什麼感受呢
[00:00:57.000 --> 00:00:59.000]  今天如果我問你
[00:00:59.000 --> 00:01:02.000]  神給你的照命人生是什麼
[00:01:02.000 --> 00:01:04.000]  你可不可以回應得到
[00:01:04.000 --> 00:01:06.000]  可不可以和我們分享得到呢
[00:01:06.000 --> 00:01:10.000]  盼望當我們一直在這個系列裏面
[00:01:10.000 --> 00:01:13.000]  我都鼓勵你去思考、去思想這個問題
[00:01:13.000 --> 00:01:16.000]  去尋求神在你的生命裏面
[00:01:16.000 --> 00:01:18.000]  那個照命人生是什麼
[00:01:18.000 --> 00:01:22.000]  可能你都會說我只不過是一個打工仔
[00:01:22.000 --> 00:01:24.000]  一個"師奶仔"
[00:01:24.000 --> 00:01:27.000]  或者我已經退休了
[00:01:27.000 --> 00:01:29.000]  耶利米這裏說我年紀輕
[00:01:29.000 --> 00:01:31.000]  可能你的年紀已經一般了
[00:01:31.000 --> 00:01:34.000]  我還可以爲神做些什麼呢
[00:01:34.000 --> 00:01:37.000]  當我們聽到"照命"這個詞彙
[00:01:37.000 --> 00:01:42.000]  有時候都會覺得好像和自己很遠
[00:01:42.000 --> 00:01:45.000]  這些是很屬靈的人才有的
[00:01:45.000 --> 00:01:47.000]  我這些這麼平凡的人
