
[00:00:00.000 --> 00:00:03.320]  今日的經文是我們記載了在
[00:00:03.320 --> 00:00:07.500]  《使徒行傳》的三章一至十節和第十六節
[00:00:07.500 --> 00:00:11.360]  我嘗試去分拆一下這段經文
[00:00:11.360 --> 00:00:14.360]  裡面所說的內容是什麼
[00:00:14.360 --> 00:00:16.260]  第一,在什麼時候發生的呢?
[00:00:16.260 --> 00:00:19.460]  我們首先從一個宏觀的角度去看整個《使徒行傳》
[00:00:19.460 --> 00:00:21.520]  它開始的時候,耶穌升天
[00:00:21.520 --> 00:00:25.160]  然後在第二章,使徒經歷聖靈充滿
[00:00:25.160 --> 00:00:27.160]  然後給得起來的講道
[00:00:27.160 --> 00:00:29.660]  帶了三千人信耶穌
[00:00:29.660 --> 00:00:32.960]  然後成立了一個初期的教會的建立
[00:00:32.960 --> 00:00:36.960]  這是第二章,然後就到第三章這段經文
[00:00:36.960 --> 00:00:40.300]  然後我們從微觀去看三章一開始的時候
[00:00:40.300 --> 00:00:41.800]  它記錄了這件事
[00:00:41.800 --> 00:00:43.600]  就是在新初的時間
[00:00:43.600 --> 00:00:46.800]  彼得和約翰上聖殿去禱告
[00:00:46.800 --> 00:00:48.800]  新初就是下午三點鐘
[00:00:48.800 --> 00:00:51.060]  一群虔誠的猶太人
[00:00:51.060 --> 00:00:54.060]  他們無論在耶路撒冷,在任何的地方
[00:00:54.060 --> 00:00:56.860]  他們一天都有三次
[00:00:56.860 --> 00:01:00.160]  無論是早上正午,和下午三點
[00:01:00.160 --> 00:01:01.760]  就是這個新初的時間
[00:01:01.760 --> 00:01:05.160]  他們去親近,他們去經歷神
[00:01:05.160 --> 00:01:06.660]  在哪裡發生呢?
[00:01:06.660 --> 00:01:08.660]  耶路撒冷,上聖殿
[00:01:08.660 --> 00:01:10.660]  然後他們經過一個叫美門
[00:01:10.660 --> 00:01:14.160]  是進聖殿裡面一定要經過的一個門口
[00:01:14.160 --> 00:01:15.660]  對於彼得和約翰
[00:01:15.660 --> 00:01:18.760]  當然他們要進入聖殿,一定會經過這個美門
[00:01:18.760 --> 00:01:20.960]  但是對於一個生來瘸腿的人
[00:01:20.960 --> 00:01:22.960]  有人天天抬他來這裡
[00:01:22.960 --> 00:01:24.260]  都有一個原因
