
[00:00:00.000 --> 00:00:03.440]  近日就傳出著名的基督徒藝人
[00:00:03.440 --> 00:00:06.640]  涉及婚外情和家庭暴力
[00:00:06.640 --> 00:00:09.440]  令很多人都很憤怒、很不滿
[00:00:09.440 --> 00:00:11.840]  再加上他是基督徒
[00:00:11.840 --> 00:00:14.040]  並且公開分享見證
[00:00:14.040 --> 00:00:15.080]  所以令到很多人
[00:00:15.080 --> 00:00:16.560]  甚至我們教會的弟兄姊妹
[00:00:16.560 --> 00:00:18.560]  都有很多的疑惑、很多的不安
[00:00:18.560 --> 00:00:22.440]  怎麼解釋基督徒做出這樣的事情呢?
[00:00:22.440 --> 00:00:25.360]  師傅今天要講的經文是《真言第五章》
[00:00:25.360 --> 00:00:27.520]  並且題目我上個月已經定了
[00:00:27.520 --> 00:00:29.800]  因為中堂有一組敬拜小組的弟兄姊妹
[00:00:29.800 --> 00:00:32.640]  他們很認真、很謹慎地去預備
[00:00:32.640 --> 00:00:34.200]  不是說其他人不謹慎
[00:00:34.200 --> 00:00:35.080]  他們都預備
[00:00:35.080 --> 00:00:37.480]  他們連聖餐歌也要在一個月前給
[00:00:37.480 --> 00:00:38.880]  有得聖餐的詩歌
[00:00:38.880 --> 00:00:41.040]  當然也要給經文、講題
[00:00:41.040 --> 00:00:42.080]  就已經出了
[00:00:42.080 --> 00:00:43.200]  有時沒有這麼快出到
[00:00:43.200 --> 00:00:46.120]  也要找一下題目怎樣才貼切
[00:00:46.120 --> 00:00:47.720]  那個就出了
[00:00:47.720 --> 00:00:51.040]  所以適逢剛好社會發生這樣的事情
[00:00:51.040 --> 00:00:52.280]  令到我們疑惑
[00:00:52.280 --> 00:00:55.480]  找婚姻立界線
[00:00:55.480 --> 00:00:58.920]  面對著社會的風氣
[00:00:58.920 --> 00:01:00.920]  婚姻的界線
[00:01:00.920 --> 00:01:04.720]  愛情的界線越來越模糊
[00:01:04.720 --> 00:01:07.360]  對我們未婚的弟兄姊妹
[00:01:07.360 --> 00:01:09.360]  或者已婚的弟兄姊妹
[00:01:09.360 --> 00:01:11.560]  我也很想我們一起再看聖經
[00:01:11.560 --> 00:01:13.280]  怎樣來教導我們
[00:01:13.280 --> 00:01:15.360]  面對婚姻中的關係
[00:01:15.360 --> 00:01:18.160]  面對戀愛裡面的關係
[00:01:18.160 --> 00:01:20.920]  以致我們能夠立足在這個社會
[00:01:20.920 --> 00:01:22.920]  持守聖體的心儀
[00:01:22.920 --> 00:01:24.600]  一起好好地去進行
[00:01:24.600 --> 00:01:26.600]  上個月提到
[00:01:26.600 --> 00:01:29.400]  《真言》第五章開始至第七章
[00:01:29.400 --> 00:01:31.160]  進入了一個新的題目
[00:01:31.160 --> 00:01:33.600]  就是講遠離淫婦
[00:01:33.600 --> 00:01:36.160]  所羅門是用了三章的篇幅
[00:01:36.160 --> 00:01:37.960]  第五章、第六章、第七章
[00:01:37.960 --> 00:01:39.320]  來講這個題目
[00:01:39.320 --> 00:01:43.600]  相信當時在這個社會裡面
[00:01:43.600 --> 00:01:47.760]  面對著的就是很多婚外情的問題
[00:01:47.760 --> 00:01:51.640]  熟悉作者所羅門背景的人
[00:01:51.640 --> 00:01:52.760]  大概都明白
[00:01:52.760 --> 00:01:55.000]  其實所羅門他也不能去哪裡
[00:01:55.000 --> 00:01:57.360]  所羅門是一個皇帝
[00:01:57.360 --> 00:01:59.080]  為了管理國家
[00:01:59.080 --> 00:02:01.560]  當時可能很多邦交
[00:02:01.560 --> 00:02:03.920]  要來對彼此討好的時候
[00:02:03.920 --> 00:02:06.440]  將很多公主送入皇宮
[00:02:06.440 --> 00:02:09.000]  以致所羅門有多少後宮妃嬪
