
[00:00:00.000 --> 00:00:01.320]  大英姊妹 平安
[00:00:01.320 --> 00:00:02.480]  平安
[00:00:02.480 --> 00:00:03.680]  Are you ready?
[00:00:03.680 --> 00:00:07.480]  Ready on what?
[00:00:07.480 --> 00:00:15.280]  這句「Are you ready」是在什麼情況下你會聽到的?
[00:00:15.280 --> 00:00:19.280]  有沒有記憶?
[00:00:19.280 --> 00:00:22.520]  通常什麼情況他會問
[00:00:22.520 --> 00:00:23.760]  Are you ready?
[00:00:23.760 --> 00:00:24.800]  要回來了
[00:00:28.400 --> 00:00:31.520]  我記得好像跑步的時候
[00:00:31.520 --> 00:00:32.720]  那些比賽
[00:00:32.720 --> 00:00:33.240]  是嗎?
[00:00:33.240 --> 00:00:35.200]  賽跑他們會問
[00:00:35.200 --> 00:00:36.560]  Are you ready?
[00:00:36.560 --> 00:00:37.960]  Get set
[00:00:37.960 --> 00:00:39.240]  And then?
[00:00:39.240 --> 00:00:40.640]  Go
[00:00:40.640 --> 00:00:42.040]  有沒有他會問你
[00:00:42.040 --> 00:00:42.920]  Are you ready?
[00:00:42.920 --> 00:00:43.560]  那你
[00:00:43.560 --> 00:00:46.280]  這個應該是一個問題
[00:00:46.280 --> 00:00:48.520]  那你會不會抖頭想一想
[00:00:48.520 --> 00:00:50.920]  Yeah, am I ready?
[00:00:50.920 --> 00:00:51.840]  他沒有的
[00:00:51.840 --> 00:00:53.600]  他沒有機會讓你想一想
[00:00:53.600 --> 00:00:54.320]  Are you ready?
[00:00:54.320 --> 00:00:56.240]  他就馬上說什麼
[00:00:56.240 --> 00:00:57.160]  Get set
[00:00:57.160 --> 00:00:59.240]  那你就go
[00:00:59.240 --> 00:01:04.720]  所以那個負責說這句話的人
[00:01:04.720 --> 00:01:06.800]  他是應該
[00:01:06.800 --> 00:01:09.400]  是預備你是ready的
[00:01:09.400 --> 00:01:11.760]  還有他是預備你go的
[00:01:11.760 --> 00:01:14.120]  所以這個Are you ready?
[00:01:14.120 --> 00:01:18.640]  應該是一直以來在他心中的
[00:01:18.640 --> 00:01:20.000]  Are you ready?
[00:01:20.000 --> 00:01:21.480]  He is always ready
[00:01:21.480 --> 00:01:24.520]  And he is always prepared to go
[00:01:24.520 --> 00:01:26.160]  所以這個Are you ready?
[00:01:26.160 --> 00:01:28.360]  是我今天需要去問一下
[00:01:28.360 --> 00:01:31.240]  我們的大兄姊妹
[00:01:31.240 --> 00:01:34.960]  Are you ready?
[00:01:34.960 --> 00:01:35.600]  No
[00:01:35.600 --> 00:01:37.520]  那我現在可以下來了
[00:01:37.520 --> 00:01:39.040]  我們還有半個小時
[00:01:39.040 --> 00:01:42.920]  去聽這個Are you ready?的訊息
[00:01:42.920 --> 00:01:44.560]  我們一起祈禱
[00:01:44.560 --> 00:01:45.760]  天父我們多謝你
[00:01:45.760 --> 00:01:47.760]  給我們今早這段時間
[00:01:47.760 --> 00:01:50.280]  可以讓我們再一次去思考
[00:01:50.280 --> 00:01:53.320]  是否預備好了
[00:01:53.320 --> 00:01:53.720]  神啊
[00:01:53.720 --> 00:01:55.800]  當我們來到你面前
[00:01:55.800 --> 00:01:59.320]  打開你的書信
[00:01:59.320 --> 00:02:00.840]  你的福音
[00:02:00.840 --> 00:02:04.920]  你自己曾經在世上的時候
[00:02:04.920 --> 00:02:07.040]  耶穌你教訓我們
[00:02:07.040 --> 00:02:09.800]  這十個童女
[00:02:09.800 --> 00:02:10.720]  這一個事
[00:02:10.720 --> 00:02:13.120]  這一個
[00:02:13.120 --> 00:02:16.600]  我們需要記住去學習
[00:02:16.600 --> 00:02:17.840]  天父求你
[00:02:17.840 --> 00:02:21.920]  今天你聖靈就在我們當中
[00:02:21.920 --> 00:02:23.920]  無論我們預備好了沒有
[00:02:23.920 --> 00:02:26.560]  無論我們信耶穌還是沒有
[00:02:26.560 --> 00:02:33.040]  還未在尋求信仰的時候
[00:02:33.040 --> 00:02:36.040]  神幫助我們打開我們的心
[00:02:36.040 --> 00:02:37.680]  來跟我們說話
[00:02:37.680 --> 00:02:43.760]  這樣祈禱是奉主耶穌基督的聖名而求
[00:02:43.760 --> 00:02:45.680]  預備好了嗎
[00:02:45.680 --> 00:02:49.920]  我記得我讀少年的時期
[00:02:49.920 --> 00:02:53.080]  少年離開我很久了
[00:02:53.080 --> 00:02:55.200]  我少年的時候
[00:02:55.200 --> 00:02:58.520]  其實我有機會去接觸福音的
[00:02:58.520 --> 00:03:02.640]  我接觸福音因為我學校的下面
[00:03:02.640 --> 00:03:05.120]  就是一間教會
[00:03:05.120 --> 00:03:07.600]  我有些小同學
[00:03:07.600 --> 00:03:08.880]  有些小朋友
[00:03:08.880 --> 00:03:11.440]  那時候我已經中一了
[00:03:11.440 --> 00:03:15.120]  就會介紹我去這個教會
[00:03:15.120 --> 00:03:17.840]  他們有一個學生團體
[00:03:17.840 --> 00:03:19.040]  那我去了
[00:03:19.040 --> 00:03:21.920]  我去因為很好玩
[00:03:21.920 --> 00:03:24.240]  因為那些小朋友一起去玩
[00:03:24.240 --> 00:03:26.200]  那種玩的心情
[00:03:26.200 --> 00:03:28.920]  所以如果你問我那個時候
[00:03:28.920 --> 00:03:30.760]  那個不知道是全道牧師
[00:03:30.760 --> 00:03:33.520]  我不知道他的身份
