
[00:00:00.000 --> 00:00:02.000]  鴻祖明問候頂智慧平安。
[00:00:02.000 --> 00:00:04.000]  鴻祖問候頂智慧平安。
[00:00:04.000 --> 00:00:12.000]  我今天的題目是去到耶利米亞在聖殿門前宣講的第四講。
[00:00:12.000 --> 00:00:17.000]  今天講題是在聖殿門口的宣講第四講。
[00:00:17.000 --> 00:00:21.000]  是講災難的神域。
[00:00:21.000 --> 00:00:23.000]  講災難的神域。
[00:00:23.000 --> 00:00:24.000]  神域是Oracle。
[00:00:24.000 --> 00:00:26.000]  神域是Oracle。
[00:00:26.000 --> 00:00:31.000]  在阿摩斯書你應該見過這個字Oracle。
[00:00:31.000 --> 00:00:34.000]  在阿摩斯書大家應該見過這個詞。
[00:00:34.000 --> 00:00:41.000]  現在這裏有七章二十一節到八章三節有三個神域。
[00:00:41.000 --> 00:00:45.000]  就是從七章二十一節到八章三節有三個神域。
[00:00:45.000 --> 00:00:46.000]  今天我就講第一個。
[00:00:46.000 --> 00:00:48.000]  今天講第一個。
[00:00:48.000 --> 00:00:50.000]  這個第一個裏面主要講原因。
[00:00:50.000 --> 00:00:52.000]  這個第一個主要講原因。
[00:00:52.000 --> 00:00:57.000]  原因是因爲他們沒有誠實。
[00:00:57.000 --> 00:00:59.000]  因爲他們沒有誠實。
[00:00:59.000 --> 00:01:01.000]  這個字很漂亮。
[00:01:01.000 --> 00:01:03.000]  這個字非常漂亮。
[00:01:03.000 --> 00:01:04.000]  原文呢?
[00:01:04.000 --> 00:01:05.000]  原文。
[00:01:05.000 --> 00:01:06.000]  我們每個人都知道。
[00:01:06.000 --> 00:01:08.000]  我們每個人都知道。
[00:01:08.000 --> 00:01:11.000]  祈禱的時候你們每個人都說什麼?
[00:01:11.000 --> 00:01:12.000]  祈禱我們講什麼?
[00:01:12.000 --> 00:01:13.000]  阿門。
[00:01:13.000 --> 00:01:14.000]  阿門。
[00:01:14.000 --> 00:01:15.000]  這個就是原文。
[00:01:15.000 --> 00:01:16.000]  這就是原文。
[00:01:16.000 --> 00:01:17.000]  阿門。
[00:01:17.000 --> 00:01:18.000]  阿門。
[00:01:18.000 --> 00:01:20.000]  翻譯可以multi這麼多。
[00:01:20.000 --> 00:01:22.000]  翻譯可以multi這麼多。
[00:01:22.000 --> 00:01:24.000]  翻譯可以有多種?
[00:01:24.000 --> 00:01:25.000]  我感謝主。
[00:01:25.000 --> 00:01:26.000]  我感謝主。
[00:01:26.000 --> 00:01:28.000]  我感謝主。
[00:01:28.000 --> 00:01:31.000]  編這個秩序表的弟兄。
[00:01:31.000 --> 00:01:33.000]  編這個秩序表的弟兄。
[00:01:33.000 --> 00:01:35.000]  我相信是弟兄不是姐妹。
[00:01:35.000 --> 00:01:37.000]  我相信是弟兄不是姐妹。
[00:01:37.000 --> 00:01:39.000]  我相信是弟兄不是姐妹。
[00:01:39.000 --> 00:01:42.000]  他用仰向呼音四章二十三到二十四節。
[00:01:42.000 --> 00:01:45.000]  他用仰向呼音四章二十三到二十四節。
[00:01:45.000 --> 00:01:51.000]  就比如說我們要拜上帝,要用心靈和誠實。
[00:01:51.000 --> 00:01:53.000]  就拜上帝要用心靈和誠實。
[00:01:53.000 --> 00:01:54.000]  就拜上帝要用心靈和誠實。
[00:01:54.000 --> 00:01:56.000]  我想問考考你,很簡單。
[00:01:56.000 --> 00:01:57.000]  我想問考考你,很簡單。
[00:01:57.000 --> 00:01:58.000]  我想考考大家。
[00:01:58.000 --> 00:02:00.000]  心靈和誠實,哪一個是阿門?
[00:02:00.000 --> 00:02:03.000]  心靈和誠實,哪一個是阿門?
[00:02:03.000 --> 00:02:04.000]  心靈和誠實,哪一個是阿門?
[00:02:04.000 --> 00:02:08.000]  誠實。
[00:02:08.000 --> 00:02:09.000]  誠實,很容易答。
[00:02:09.000 --> 00:02:10.000]  很容易答,誠實。
[00:02:10.000 --> 00:02:11.000]  很容易答,誠實。
[00:02:11.000 --> 00:02:17.000]  原來是敬拜上帝。
[00:02:17.000 --> 00:02:18.000]  原來是敬拜上帝。
[00:02:18.000 --> 00:02:19.000]  原來是敬拜上帝。
[00:02:19.000 --> 00:02:21.000]  這句話是耶穌說的,對不對?
[00:02:21.000 --> 00:02:22.000]  這句話是耶穌說的,對不對?
[00:02:22.000 --> 00:02:23.000]  這句話是耶穌說的,對不對?
[00:02:23.000 --> 00:02:24.000]  是耶穌說的。
