
[00:00:00.000 --> 00:00:01.400]  丁芝梅,早晨
[00:00:01.400 --> 00:00:02.480]  早晨
[00:00:02.480 --> 00:00:07.800]  之前講壇就講完《約翰一書》
[00:00:07.800 --> 00:00:11.400]  今日我們就進入《傳道書》裏面
[00:00:11.400 --> 00:00:13.640]  未講《傳道書》之前
[00:00:13.640 --> 00:00:15.880]  先問大家一個問題,好嗎?
[00:00:15.880 --> 00:00:19.680]  那你對《傳道書》的印象是怎樣的?
[00:00:19.680 --> 00:00:21.920]  沒錯
[00:00:21.920 --> 00:00:23.440]  無身事
[00:00:23.440 --> 00:00:26.800]  是,說起無身事,很虛空的
[00:00:26.800 --> 00:00:30.920]  OK,是,大家的印象都是對的
[00:00:30.920 --> 00:00:31.920]  負面,是吧?
[00:00:31.920 --> 00:00:33.880]  就是那個感覺,讀完之後
[00:00:33.880 --> 00:00:35.720]  是有一種負面的感覺
[00:00:35.720 --> 00:00:38.000]  還有呢,是你裏面覺得
[00:00:38.000 --> 00:00:40.920]  唉,那即是怎樣?好像很悲觀
[00:00:40.920 --> 00:00:42.640]  又或者是,即是
[00:00:42.640 --> 00:00:44.600]  甚至乎可能當你心情不好
[00:00:44.600 --> 00:00:46.840]  或者你正在經歷困難的時候
[00:00:46.840 --> 00:00:48.840]  唉,真的很絕望
[00:00:48.840 --> 00:00:54.360]  年輕人很喜歡說,唉,很灰,真的很灰
[00:00:54.360 --> 00:00:57.280]  還有,剛才大家很快已經回答了我
[00:00:57.280 --> 00:00:59.680]  是不停地怎樣呢?就是虛空了
[00:00:59.680 --> 00:01:03.080]  在整本書裏面出現了三十八字
[00:01:03.080 --> 00:01:04.720]  講虛空的
[00:01:04.720 --> 00:01:06.240]  其實整本《傳道書》
[00:01:06.240 --> 00:01:08.800]  我想令我們一種很快有種感覺
[00:01:08.800 --> 00:01:10.720]  就是,唉,真的很難明白
[00:01:10.720 --> 00:01:12.440]  但可能有些人又很喜歡讀
[00:01:12.440 --> 00:01:15.480]  因為覺得,嘩,很有智慧
[00:01:15.480 --> 00:01:17.240]  那裏面呢,其實是
[00:01:17.240 --> 00:01:19.000]  為甚麼會令我們又覺得
[00:01:19.000 --> 00:01:21.720]  是很有智慧,但又很矛盾
[00:01:21.720 --> 00:01:23.000]  因為它又講人生
[00:01:23.000 --> 00:01:25.560]  又確實人生有很多的矛盾
[00:01:25.560 --> 00:01:27.080]  有很多不明白
[00:01:27.080 --> 00:01:30.520]  總是你讀完又一塊雲
[00:01:30.520 --> 00:01:33.240]  又或者是,你都不知道去到哪裏
[00:01:33.240 --> 00:01:34.240]  所以呢,有些人就說
[00:01:34.240 --> 00:01:36.880]  唉,這樣嗎?那麼年輕,先不要讀
[00:01:36.880 --> 00:01:39.200]  四十歲之後才好讀
[00:01:39.200 --> 00:01:42.440]  四十歲之後可能你會明白多一點
[00:01:42.440 --> 00:01:45.680]  人生,或者明白多一點生命裏面那種的
[00:01:45.680 --> 00:01:48.600]  矛盾,那種無奈
[00:01:48.600 --> 00:01:50.960]  好像我們說
[00:01:50.960 --> 00:01:55.600]  苦瓜那樣,苦瓜的名字叫甚麼,大家知道嗎?
[00:01:55.600 --> 00:01:57.000]  (半生瓜)
[00:01:57.000 --> 00:02:01.080]  是的,厲害啊
