
[00:00:00.000 --> 00:00:06.000]  我們繼續 今天我們講到的主題就是基督眼中的教會
[00:00:06.000 --> 00:00:10.000]  by the way 我去年他答應去多倫多講道的時候
[00:00:10.000 --> 00:00:13.000]  我沒想過是這麼大陣仗的
[00:00:13.000 --> 00:00:16.000]  我打算是一個人去 然後我就回來
[00:00:16.000 --> 00:00:21.000]  不過那個是一個多倫多區的聯會搞的培靈會
[00:00:21.000 --> 00:00:23.000]  他們每年搞一次
[00:00:23.000 --> 00:00:26.000]  他就去年的時候contact我
[00:00:26.000 --> 00:00:29.000]  就問我有沒有興趣去他們中間去做講員
[00:00:29.000 --> 00:00:32.000]  所以我就去那裏一年三晚
[00:00:32.000 --> 00:00:34.000]  和一個禮拜六下午
[00:00:34.000 --> 00:00:37.000]  有大概四個環節
[00:00:37.000 --> 00:00:39.000]  我就負責的
[00:00:39.000 --> 00:00:41.000]  負責人就問
[00:00:41.000 --> 00:00:44.000]  你們教會想不想有一個
[00:00:44.000 --> 00:00:46.000]  因爲是一個conference
[00:00:46.000 --> 00:00:48.000]  他就問你們教會
[00:00:48.000 --> 00:00:51.000]  或者你們的侍工會不會有一個攤位
[00:00:51.000 --> 00:00:53.000]  給個攤位給你
[00:00:53.000 --> 00:00:54.000]  我就想了一會
[00:00:54.000 --> 00:00:56.000]  不如這樣 我們都拿個攤位
[00:00:56.000 --> 00:00:58.000]  隨便拿張桌子
[00:00:58.000 --> 00:01:00.000]  就放一些東西在那裏
[00:01:00.000 --> 00:01:02.000]  所以就有些同工和我一起去
[00:01:02.000 --> 00:01:05.000]  所以非常美好的安排
[00:01:05.000 --> 00:01:08.000]  三天希望能夠祝福到當地的教會
[00:01:08.000 --> 00:01:10.000]  講到教會
[00:01:10.000 --> 00:01:13.000]  我們繼續看這個series
[00:01:13.000 --> 00:01:16.000]  就是《啟示錄》的七教會的書信
[00:01:16.000 --> 00:01:20.000]  今次我們去到第五間
[00:01:20.000 --> 00:01:22.000]  第五間的教會
[00:01:22.000 --> 00:01:23.000]  第五封的書信
[00:01:23.000 --> 00:01:25.000]  這個地方叫做Sardis
[00:01:25.000 --> 00:01:28.000]  因爲這封書信是比較短的
[00:01:28.000 --> 00:01:30.000]  不如我們有聖經說打開
[00:01:30.000 --> 00:01:31.000]  如果沒有的話
[00:01:31.000 --> 00:01:33.000]  我們就在powerpoint上面
[00:01:33.000 --> 00:01:34.000]  我們能夠看得到
[00:01:34.000 --> 00:01:36.000]  因爲短的書信
[00:01:36.000 --> 00:01:39.000]  不如我們讀一次好嗎
[00:01:39.000 --> 00:01:42.000]  我們一起看完整封的書信
[00:01:42.000 --> 00:01:43.000]  有多少節
[00:01:43.000 --> 00:01:44.000]  六節
[00:01:44.000 --> 00:01:47.000]  它說你要寫信給撒敵教會的使者
[00:01:47.000 --> 00:01:50.000]  乃有上帝的七靈 七火星的者仰說
[00:01:50.000 --> 00:01:51.000]  我知道你的行爲
[00:01:51.000 --> 00:01:55.000]  就算名義上你是活的
[00:01:55.000 --> 00:01:57.000]  實際上你是死的
[00:01:57.000 --> 00:01:58.000]  你要警醒
[00:01:58.000 --> 00:02:00.000]  堅固那些聖下
[00:02:00.000 --> 00:02:02.000]  快要死的
[00:02:02.000 --> 00:02:04.000]  因爲我發現你的行爲
[00:02:04.000 --> 00:02:05.000]  在我上帝面前
[00:02:05.000 --> 00:02:07.000]  沒有一樣是完全的
[00:02:07.000 --> 00:02:09.000]  所以要記得
[00:02:09.000 --> 00:02:12.000]  你所領受和聽見的
[00:02:12.000 --> 00:02:13.000]  要遵守
[00:02:13.000 --> 00:02:14.000]  要悔改
[00:02:14.000 --> 00:02:16.000]  你若不警醒
[00:02:16.000 --> 00:02:18.000]  我必如拆一樣來道
[00:02:18.000 --> 00:02:21.000]  我何時來到你那裏
[00:02:21.000 --> 00:02:23.000]  你絕對不會知道
[00:02:23.000 --> 00:02:25.000]  然而在撒敵
[00:02:25.000 --> 00:02:27.000]  你還有幾位
[00:02:27.000 --> 00:02:31.000]  是未受污衊自己衣服的
[00:02:31.000 --> 00:02:33.000]  他們會穿白衣
[00:02:33.000 --> 00:02:34.000]  與我同行
[00:02:34.000 --> 00:02:37.000]  因爲他們是陪穿的
[00:02:37.000 --> 00:02:39.000]  得勝的必這樣穿白衣
[00:02:39.000 --> 00:02:42.000]  我也不從生命冊上
[00:02:42.000 --> 00:02:45.000]  逃去他的名
[00:02:45.000 --> 00:02:47.000]  我要在我父面前
[00:02:47.000 --> 00:02:49.000]  在我父的衆視者面前
[00:02:49.000 --> 00:02:51.000]  宣認他的名
[00:02:51.000 --> 00:02:52.000]  凡有耳朵的
[00:02:52.000 --> 00:02:54.000]  都應當聽
[00:02:54.000 --> 00:02:56.000]  聖靈向宗教會所說的話
[00:02:56.000 --> 00:02:59.000]  很短的一封書信
[00:02:59.000 --> 00:03:01.000]  第五封書信給七個教會
[00:03:01.000 --> 00:03:04.000]  第五間是撒敵的教會
[00:03:04.000 --> 00:03:06.000]  我們回到
[00:03:06.000 --> 00:03:08.000]  頭三節的時候
[00:03:08.000 --> 00:03:09.000]  我們發現撒敵
[00:03:09.000 --> 00:03:12.000]  到底是一個怎樣的地方
[00:03:12.000 --> 00:03:14.000]  一個怎樣的教會
[00:03:14.000 --> 00:03:15.000]  他說這個教會
[00:03:15.000 --> 00:03:18.000]  耶穌說我知道你們的行爲
[00:03:18.000 --> 00:03:19.000]  我知道你們所做的事
[00:03:19.000 --> 00:03:21.000]  知道你們的生活
[00:03:21.000 --> 00:03:23.000]  在名義上你們是活的
[00:03:23.000 --> 00:03:25.000]  實際上是死的
[00:03:25.000 --> 00:03:27.000]  這些說話真的很絕
[00:03:27.000 --> 00:03:30.000]  聖經裏面有很多說話是很絕的
[00:03:30.000 --> 00:03:32.000]  我希望大家讀經的時候
[00:03:32.000 --> 00:03:33.000]  讀到這些味道
[00:03:33.000 --> 00:03:35.000]  不然我們讀經的時候
[00:03:35.000 --> 00:03:37.000]  災了靈脩的時間
