
[00:00:00.000 --> 00:00:04.000]  「偉蚌」呢,就是關乎「名譽」的。
[00:00:04.000 --> 00:00:07.000]  咁今日我哋嚟呢個聚集呢,
[00:00:07.000 --> 00:00:11.000]  亦都關乎一個嘅「名譽」。
[00:00:11.000 --> 00:00:14.000]  就係我哋嘅「天父」嘅「名譽」。
[00:00:14.000 --> 00:00:17.000]  我哋嚟到歸一切嘅「名譽」,
[00:00:17.000 --> 00:00:19.000]  俾我哋嘅「天父」。
[00:00:19.000 --> 00:00:23.000]  每一個「主日」呢,都係一個「天父節」。
[00:00:23.000 --> 00:00:27.000]  父親節,係我哋在天上之父。
[00:00:27.000 --> 00:00:29.000]  我哋喺呢度嚟敬拜佢。
[00:00:29.000 --> 00:00:31.000]  親近佢。
[00:00:31.000 --> 00:00:33.000]  原因就因為有佢嘅
[00:00:33.000 --> 00:00:35.000]  獨生子耶穌基督
[00:00:35.000 --> 00:00:37.000]  我哋嘅救主,
[00:00:37.000 --> 00:00:39.000]  亦都係我哋嘅掌興。
[00:00:39.000 --> 00:00:43.000]  佢嘅拯救,讓我哋可以
[00:00:43.000 --> 00:00:45.000]  跟住主耶穌一樣,
[00:00:45.000 --> 00:00:49.000]  佢清,佢有膽,
[00:00:49.000 --> 00:00:51.000]  咁向佢見。
[00:00:51.000 --> 00:00:55.000]  「天父」,就「阿爸父」。
[00:00:55.000 --> 00:00:59.000]  聖經講嘅「阿爸父」。
[00:00:59.000 --> 00:01:01.000]  我讀呢,就係「阿爸父」。
[00:01:01.000 --> 00:01:04.000]  因為要「阿爸」多啲「阿爸」。
[00:01:04.000 --> 00:01:07.000]  叫自己嘅「老豆」做「老豆」嘅,叫手。
[00:01:07.000 --> 00:01:08.000]  叫「老豆」喎。
[00:01:08.000 --> 00:01:10.000]  OK,呢啲嘢好獨特嘅。
[00:01:10.000 --> 00:01:13.000]  叫佢做「Daddy」嘅,
[00:01:13.000 --> 00:01:14.000]  都少啲。
[00:01:14.000 --> 00:01:16.000]  叫佢做「爸爸」嘅,
[00:01:16.000 --> 00:01:17.000]  都少啲。
[00:01:17.000 --> 00:01:18.000]  叫佢做「阿爸」嘅,
[00:01:18.000 --> 00:01:19.000]  做多啲。
[00:01:19.000 --> 00:01:21.000]  「阿爸」好似地道啲「阿爸」。
[00:01:21.000 --> 00:01:24.000]  OK,咁今日我哋一齊嚟到去
[00:01:24.000 --> 00:01:28.000]  睇一睇呢個嘅詩篇「一百二十篇」。
[00:01:28.000 --> 00:01:34.000]  呢個「一百二十篇」呢,就係佢嘅上行詩嘅開始。
[00:01:34.000 --> 00:01:38.000]  上行詩係一個前聖女情上嘅詩歌。
[00:01:38.000 --> 00:01:44.000]  因為有誹謗,所以我哋希望有和平。
[00:01:44.000 --> 00:01:46.000]  我願和平。
[00:01:46.000 --> 00:01:50.000]  我一齊讀詩篇嘅「一百二十篇」。
[00:01:50.000 --> 00:01:55.000]  我哋讀埋下面嘅字喎,「上行或極登階之詩」,好唔好呀?
[00:01:55.000 --> 00:01:57.000]  跟住呢,第二篇唔使讀喇。
[00:01:57.000 --> 00:02:00.000]  第二篇唔使讀,我哋睇呢個字喇。
[00:02:00.000 --> 00:02:05.000]  「第一百二十篇,上行或極登階之詩,
