
[00:00:00.000 --> 00:00:02.420]  弟兄姊妹 主一來平安
[00:00:02.420 --> 00:00:06.980]  今天很高興再一次在網上
[00:00:06.980 --> 00:00:11.220]  在時空和大家有個見面的時間
[00:00:11.220 --> 00:00:13.600]  其實你們回來教會不是見我的
[00:00:13.600 --> 00:00:15.480]  我們是一齊去見我們的神
[00:00:15.480 --> 00:00:18.960]  我們神一向都是看不到的 看不見的
[00:00:18.960 --> 00:00:23.120]  所以雖然我們今天不是在教會一起聚會
[00:00:23.120 --> 00:00:27.020]  但我希望大家都是帶著一個心靈
[00:00:27.020 --> 00:00:30.020]  誠實的心靈來到主的面前
[00:00:30.020 --> 00:00:31.880]  我們一齊去敬拜我們的主
[00:00:31.880 --> 00:00:35.580]  一齊去歌頌祂 一齊去聽祂的道
[00:00:35.580 --> 00:00:41.480]  一齊為教會 為世界各地 為眾人去代求
[00:00:41.480 --> 00:00:46.240]  今天我們的講題就是「活的盼望」
[00:00:46.240 --> 00:00:49.560]  「盼望」是什麼呢?
[00:00:49.560 --> 00:00:56.960]  上次我講到關於在創造天地開始的時候
[00:00:56.960 --> 00:01:00.680]  神創造了這個時間 大家都記得了
[00:01:00.680 --> 00:01:02.400]  講了很多負面的事情
[00:01:02.400 --> 00:01:06.760]  因為時間的確是我們的頭號敵人
[00:01:06.760 --> 00:01:08.960]  我都講過 大家不信的話
[00:01:08.960 --> 00:01:11.360]  你看回舊的照片就知道了
[00:01:11.360 --> 00:01:14.860]  原來我五年前 十年前
[00:01:14.860 --> 00:01:17.560]  我的樣子真的年輕很多
[00:01:17.560 --> 00:01:18.820]  歲月催人老
[00:01:18.820 --> 00:01:20.900]  這個是改變不了的事實
[00:01:20.900 --> 00:01:27.060]  時間也告訴我們 提醒了我們過去的事
[00:01:27.060 --> 00:01:30.940]  我們只有遺憾 我們不可以回頭
[00:01:30.940 --> 00:01:34.820]  未來的事 我們也不要太多的幻想
[00:01:34.820 --> 00:01:37.580]  也不可以有太多的願望或者預測
[00:01:37.580 --> 00:01:41.520]  因為很多時候都不是正如我們所想的
[00:01:41.520 --> 00:01:43.060]  就會發生的
[00:01:43.060 --> 00:01:47.520]  但也可以正面一點去講關於這個時間
[00:01:47.520 --> 00:01:50.940]  就是因為我們有時間才有盼望
[00:01:50.940 --> 00:01:52.940]  大家想一下 如果這個世界沒有時間
[00:01:52.940 --> 00:01:55.020]  根本就沒有盼望這件事
[00:01:55.020 --> 00:01:59.300]  所謂盼望就是我們盼望有些事情會發生
[00:01:59.300 --> 00:02:00.780]  通常是好的事情
[00:02:00.780 --> 00:02:04.760]  我們不會盼望一些不好的事情發生
[00:02:04.760 --> 00:02:08.900]  有盼望 做人要有盼望就是這個意思
[00:02:08.900 --> 00:02:16.380]  所以雖然我們是一個時間的限制之下
[00:02:16.380 --> 00:02:20.420]  但是形成了我們做人的所謂盼望
[00:02:20.420 --> 00:02:23.260]  那盼望是什麼呢?
[00:02:23.260 --> 00:02:27.720]  通常十居其九我們盼望一些很物質的事情
[00:02:27.720 --> 00:02:30.480]  因為這個是一個物質的世界
[00:02:30.480 --> 00:02:33.720]  我們所謂物質不只是錢財那麼簡單
[00:02:33.720 --> 00:02:35.800]  你說我盼望有一個好的健康
[00:02:35.800 --> 00:02:37.540]  健康其實也是物質的
[00:02:37.540 --> 00:02:39.680]  是會過去的 不是永恆的
[00:02:39.680 --> 00:02:42.340]  你說盼望我兒子會讀書很厲害
[00:02:42.340 --> 00:02:44.020]  這些都是物質的事情
[00:02:44.020 --> 00:02:47.280]  但我們偏偏是因為我們生存在一個物質的世界
[00:02:47.280 --> 00:02:49.860]  我們的盼望通常我們第一件事就是想
[00:02:49.860 --> 00:02:50.740]  就是想什麼呢?
[00:02:50.740 --> 00:02:52.860]  就是想這個世界上物質的東西
[00:02:52.860 --> 00:02:55.100]  物質的需要
[00:02:55.100 --> 00:02:56.320]  聖經有一句說話
[00:02:56.320 --> 00:02:58.900]  就在《馬太福音》六章二十一節
[00:02:58.900 --> 00:03:00.860]  大家都很熟悉的 就是耶穌說的
[00:03:00.860 --> 00:03:03.580]  祂說你們的財寶在哪裡
[00:03:03.580 --> 00:03:05.020]  你的心在哪裡
[00:03:05.020 --> 00:03:06.300]  這個很真的
[00:03:06.300 --> 00:03:08.420]  你的財寶在哪裡
[00:03:08.420 --> 00:03:09.920]  你的心就在哪裡
[00:03:09.920 --> 00:03:13.700]  如果你的財寶就是你那份工作
[00:03:13.700 --> 00:03:15.660]  那你就很緊張那份工作
[00:03:15.660 --> 00:03:19.140]  如果你認為你世上的財寶就是你的兒女
[00:03:19.140 --> 00:03:20.660]  或者你的孫兒
[00:03:20.660 --> 00:03:23.860]  那麼你的心就經常都在那裡
[00:03:23.860 --> 00:03:24.500]  是不是?
[00:03:24.500 --> 00:03:26.780]  這個是耶穌基督說的
[00:03:26.780 --> 00:03:28.580]  說得很真實的
[00:03:28.580 --> 00:03:31.540]  就有朋友他幸運嗎?
[00:03:31.540 --> 00:03:34.220]  就是家裡被人打劫
[00:03:34.220 --> 00:03:36.060]  他第一件事回到家裡
[00:03:36.060 --> 00:03:37.500]  他找什麼?
[00:03:37.500 --> 00:03:40.100]  他當然是找一些最貴重的東西
[00:03:40.100 --> 00:03:41.100]  有沒有不見到
[00:03:41.100 --> 00:03:41.700]  是不是?
[00:03:41.700 --> 00:03:43.380]  這個是人之常情
[00:03:43.380 --> 00:03:44.660]  是一定會的
[00:03:44.660 --> 00:03:45.580]  為什麼這樣?
[00:03:45.580 --> 00:03:47.540]  因為他的財寶在哪裡
[00:03:47.540 --> 00:03:49.540]  他的心就在哪裡
[00:03:49.540 --> 00:03:52.140]  我們一生人就是追求這些盼望
[00:03:52.140 --> 00:03:52.700]  是不是?
[00:03:52.700 --> 00:03:54.300]  我們很小的時候
[00:03:54.300 --> 00:03:55.820]  我們讀書的時候
[00:03:55.820 --> 00:03:57.340]  讀書是什麼原因?
[00:03:57.340 --> 00:03:58.900]  是不是真的求學問?
[00:03:58.900 --> 00:04:00.100]  有多少人真的讀書說
[00:04:00.100 --> 00:04:01.980]  我想認識更多的東西呢?
[00:04:01.980 --> 00:04:02.900]  通常都不是的
[00:04:02.900 --> 00:04:04.020]  因為父母
[00:04:04.020 --> 00:04:06.540]  因為那些朋友
[00:04:06.540 --> 00:04:09.860]  通常都教導我們就是讀好書
[00:04:09.860 --> 00:04:12.420]  日後出來賺多點錢
[00:04:12.420 --> 00:04:13.620]  多數是這樣的
[00:04:13.620 --> 00:04:16.820]  有多少人真的想求學問而讀書呢?
[00:04:16.820 --> 00:04:17.420]  是不是?
[00:04:17.420 --> 00:04:18.740]  因為心在哪裡?
[00:04:18.740 --> 00:04:20.660]  心其實就在將來
[00:04:20.660 --> 00:04:22.740]  將來希望有一份好的工作
[00:04:22.740 --> 00:04:24.540]  將來希望出人頭地
[00:04:24.540 --> 00:04:28.220]  因為將來希望可以賺多點錢
[00:04:28.220 --> 00:04:28.820]  是不是?
[00:04:28.820 --> 00:04:31.340]  通常我們有一句話
[00:04:31.340 --> 00:04:33.260]  就是我們有小朋友的時候
[00:04:33.260 --> 00:04:35.820]  我們是望子成龍
[00:04:35.820 --> 00:04:36.420]  龍是什麼?
[00:04:36.420 --> 00:04:37.740]  龍是天子
[00:04:37.740 --> 00:04:38.740]  龍是很厲害的
[00:04:38.740 --> 00:04:39.500]  知不知道?
[00:04:39.500 --> 00:04:41.100]  所以屬龍的朋友
[00:04:41.100 --> 00:04:41.500]  是不是?
[00:04:41.500 --> 00:04:42.940]  是特別厲害的
[00:04:42.940 --> 00:04:43.580]  是不是?
[00:04:43.580 --> 00:04:45.620]  因為是天上的神物
[00:04:45.620 --> 00:04:47.940]  龍是代表皇帝
[00:04:47.940 --> 00:04:49.220]  望子成龍
[00:04:49.220 --> 00:04:50.060]  當然了
[00:04:50.060 --> 00:04:51.220]  皇帝只有一個而已
[00:04:51.220 --> 00:04:54.500]  不會每個小朋友都變成皇帝
[00:04:54.500 --> 00:04:57.860]  但是意思就是希望將來有富貴的
[00:04:57.860 --> 00:04:58.860]  有權的
[00:04:58.860 --> 00:04:59.820]  有勢的
[00:04:59.820 --> 00:05:01.100]  那就最好了
[00:05:01.100 --> 00:05:01.580]  是不是?
[00:05:01.580 --> 00:05:02.820]  望子成龍
[00:05:02.820 --> 00:05:05.660]  後來大家都知道
[00:05:05.660 --> 00:05:07.660]  沒什麼可能做到皇帝
[00:05:07.660 --> 00:05:09.820]  中國也廢除了皇帝
[00:05:09.820 --> 00:05:13.460]  但是有一個沒有打的明星叫做成龍
[00:05:13.460 --> 00:05:14.100]  那就是
